appleL02113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,,,,,,,,,,,,,,,,,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,,,,,,,,,,,,,,,,,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.經常移轉收入,309955,326100,320278,268482,319889,281218,308226,5.Current transfer receipts,,5.經常移轉收入,342959,285025,339169,280529,289370,354141,339648,5.Current transfer receipts,,5.經常移轉收入,310914,298351,314212,337741,303279,323411,335923,5.Current transfer receipts,,,,,,,,,,,,,,,,
(1)從私人,74555,95433,92896,50945,92651,53051,69883,(1)From individuals,,(1)從私人,77806,51022,66742,54794,46647,75570,61492,(1)From individuals,,(1)從私人,59865,48108,60738,48712,78381,69788,73900,(1)From individuals,,,,,,,,,,,,,,,,
(2)從政府,66079,55230,46370,72394,62265,68044,64146,(2)From government,,(2)從政府,64675,71257,81449,68996,67192,107092,110277,(2)From government,,(2)從政府,88796,98811,84142,120475,58467,78309,59930,(2)From government,,,,,,,,,,,,,,,,
(3)社會保險受益,165424,173731,177351,140605,157073,158605,169033,(3)Benefit of social insurance,,(3)社會保險受益,195704,160144,186309,152284,172777,166798,164546,(3)Benefit of social insurance,,(3)社會保險受益,158419,150731,166814,164480,164937,171394,197723,(3)Benefit of social insurance,,,,,,,,,,,,,,,,
(4)從企業,3344,1706,1567,3899,6968,1419,4745,(4)From enterprises,,(4)從企業,4774,1507,3084,4456,2754,4680,3333,(4)From enterprises,,(4)從企業,3510,700,2518,4074,1121,3921,4177,(4)From enterprises,,,,,,,,,,,,,,,,
(5)從國外,552,0,2094,639,932,100,418,(5)From abroad,,(5)從國外,0,1095,1584,0,0,0,0,(5)From abroad,,(5)從國外,324,0,0,0,373,0,193,(5)From abroad,,,,,,,,,,,,,,,,
6.雜項收入,42,9,12,27,45,45,50,6.Miscellaneous receipts,,6.雜項收入,86,0,343,36,7,265,87,6.Miscellaneous receipts,,6.雜項收入,10,0,0,206,2,8,10,6.Miscellaneous receipts,,,,,,,,,,,,,,,,
三、非消費支出,244576,253455,317731,273740,255517,215552,235816,C.Nonconsumption expenditures,,三、非消費支出,176439,387308,229097,182146,156726,164999,146424,C.Nonconsumption expenditures,,三、非消費支出,178425,133848,166539,134878,164412,354364,242757,C.Nonconsumption expenditures,,,,,,,,,,,,,,,,
1.利息支出,13111,12321,14547,18039,18590,10178,12397,1.Interest,,1.利息支出,6243,30729,10202,11657,5196,6219,5081,1.Interest,,1.利息支出,7085,2372,7098,1971,4681,20577,8011,1.Interest,,,,,,,,,,,,,,,,
2.經常移轉支出,231465,241134,303184,255701,236927,205374,223419,2.Current transfer expenditures,,2.經常移轉支出,170196,356580,218895,170489,151530,158780,141343,2.Current transfer expenditures,,2.經常移轉支出,171340,131476,159441,132907,159731,333787,234746,2.Current transfer expenditures,,,,,,,,,,,,,,,,
(1)對私人,50154,58975,79625,46684,53346,35024,48093,(1)To private,,(1)對私人,40555,65079,44742,27962,27170,25591,25010,(1)To private,,(1)對私人,38290,24503,44554,26582,36167,48875,53264,(1)To private,,,,,,,,,,,,,,,,
(2)對政府,38274,31618,60963,39563,39332,33394,37388,(2)To government,,(2)對政府,20105,98758,38598,21696,23494,21909,17671,(2)To government,,(2)對政府,20638,14586,20040,12422,14493,95055,44147,(2)To government,,,,,,,,,,,,,,,,
(3)社會保險,141512,150500,159397,167639,139493,136726,137273,(3)Social insurance,,(3)社會保險,109342,188797,134812,120699,100682,109590,98095,(3)Social insurance,,(3)社會保險,112358,92305,94773,93864,105284,186575,137114,(3)Social insurance,,,,,,,,,,,,,,,,
(4)對國外,1525,41,3198,1815,4757,229,665,(4)To abroad,,(4)對國外,194,3946,743,131,183,1690,567,(4)To abroad,,(4)對國外,55,83,75,39,3788,3281,221,(4)To abroad,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,,,,,,,,,,,,,,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,,,,,,,,,,,,,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,,,,,,,,,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,,,,,,,,,,
113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分(續三),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.3),,,,,第2表 平均每戶家庭收支按區域別分(續四),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.4),,,,,第2表 平均每戶家庭收支按區域別分(續完),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.End),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,,,,,,,,,,,,,,,,,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,,,,,,,,,,,,,,,,,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、消費支出,888699,909382,1136637,922775,973022,776782,878620,D.Consumption expenditures,,四、消費支出,772616,1130910,790033,680430,600709,671112,667369,D.Consumption expenditures,,四、消費支出,731275,561103,630082,537812,723538,1094975,928867,D.Consumption expenditures,,,,,,,,,,,,,,,,
1.食品及非酒精飲料,126971,112695,166047,142694,123592,110630,122636,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,140872,134273,133254,124141,103331,98473,126483,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,120315,89882,100266,108372,108052,172525,126605,1.Food and non-alcoholic beverages,,,,,,,,,,,,,,,,
