第19表所得收入者平均每人可支配所得及中位數所得按行業別分,,,,,,,,
Table 19. Mean and Median Disposable Income of IncomeRecipients by Industry,,,,,,,,
,,,,,,,,
,所得收入者平均每人可支配所得,所得收入者中位數可支配所得,,,,,,
Mean disposable income,Median disposable income,,,,,,,
,113年,114年,113年,114年,,,,
2024,2025,2024,2025,,,,,
,金 額,年增率,金 額,年增率,金 額,年增率,金 額,年增率
(元),(%),(元),(%),(元),(%),(元),(%),
Value,Change,Value,Change,Value,Change,Value,Change,
(NT$),(%),(NT$),(%),(NT$),(%),(NT$),(%),
全體所得收入者：All income recipients,605889,2.99,636558,5.0599999999999996,499891,5.66,518510,3.72
按行業別分：Industry,,,,,,,,
"1.農林漁牧業Agriculture,Forestry,Fishing andAnimal Husbandry",501417,2.94,516150,2.94,405847,5.44,407152,0.32
2.礦業、土石採取業及製造業Mining and Quarrying andManufacturing,720566,2.86,756920,5.05,565274,5.42,599481,6.05
"3.電力、燃氣、用水供應及汙染整治業Electricity,Gas,Water Supply andRemediation Services",753075,-0.36,705414,-6.33,678561,5.4,673827,-0.7
4.營建工程業Construction,675508,3.83,722461,6.95,572364,3.31,618951,8.14
5.批發及零售業Wholesale and Retail Trade,646981,3.67,709571,9.67,531144,7.21,558937,5.23
6.住宿及餐飲業Accommodation and Food Services,541696,2.77,610935,12.78,465742,5.0199999999999996,509700,9.44
7.運輸、倉儲、出版影音及資通訊業Transportation and Storage andInformation and Communication,747849,1.59,793927,6.16,642201,4.16,682558,6.28
8.金融、保險及不動產業Finance and Insurance andReal estate,925206,9.1199999999999992,930138,0.53,758306,6.86,794584,4.78
"9.專業、科學及技術服務業Professional, Scientific andTechnical Services",804127,-0.52,833617,3.67,627731,-6.69,676401,7.75
10.教育業Education,760932,-1.21,813657,6.93,632547,-4.22,683274,8.02
11.醫療保健及社會工作服務業Human Health and SocialWorkServices,716070,-5.29,801837,11.98,536882,-2.75,602997,12.31
12.公共行政及國防；強制性社會安全Public Administration and Defence ;Compulsory Social Security,867807,4.47,948188,9.26,799475,2.23,872950,9.19
13.支援服務業Support Services,537675,6.17,579963,7.86,475029,4.3600000000000003,509684,7.3
"14.藝術、娛樂、休閒及其他服務業Arts, Entertainment, Recreationand Other Services",599955,4.3,631201,5.21,526699,8.18,544881,3.45
15.無行業Non-working,408055,6.57,409179,0.28000000000000003,293321,-0.92,314390,7.18
