2020-08-14T00:00:00L02108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分,Table 2. Average Family Income and Expenditure per Household by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
(1)本業薪資,369893.27306,709684.7765,403850.7248,399248.08127,295773.92184,226389.96157,251243.9949,(1)Full time payroll
(2)兼業薪資,53359.819205,58716.578649,58541.299621,30891.687793,48867.826234,53260.146254,36858.510432,(2)Part time payroll
(3)其他收入,87439.181383,267916.3855,116466.69793,94334.84856,72484.726051,63847.87288,55436.286876,(3)Other receipts or subsidies
2.產業主所得,176839.91524,134465.19607,144370.98014,193320.87443,209323.63668,213490.08355,172504.17698,2.Entrepreneurial income
3.財產所得收入,30760.754104,68180.828874,54971.084672,19906.869481,27192.709517,29855.962912,23864.746126,3. Property income
4.自用住宅設算租金收入,66112.539839,73504.817707,47718.513947,51905.619845,45577.633661,46643.005604,42497.922409,4.Imputed rent income
5.經常移轉收入,308838.45691,226963.43599,247058.6743,237168.00099,241585.26828,300306.12452,268184.98739,5.Current transfer receipts
(1)從私人,64885.7066,42164.900551,54092.391493,54755.761583,44592.484156,76060.824604,58783.128726,(1)From individuals
(2)從政府,57663.547769,57133.237744,58222.567677,51666.199289,59486.64861,67506.942284,74135.302445,(2)From government
(3)社會保險受益,178688.63362,123543.00437,132721.25771,130291.75365,135047.30877,152935.67746,134395.0852,(3)Benefit of social insurance
(4)從企業,3468.2947771,1645.8180857,2022.4574155,454.28646698,1668.9766442,3344.0190236,871.47101863,(4)From enterprises
(5)從國外,4132.2741415,2476.4752396,0,0,789.85010121,458.66114237,0,(5)From abroad
6.雜項收入,230.84664382,122.91688477,49.563489256,16.216904345,86.777825137,89.670392916,6.7770146657,6.Miscellaneous receipts
二、非消費支出,172075.59225,314970.42145,172940.38001,163549.31824,146841.9679,136229.22477,115770.84583,B.Nonconsumption expenditures
1.利息支出,11355.936484,26316.008248,4612.3208237,4528.8881009,3968.2807786,4859.3528967,1284.6207753,1.Interest
2.經常移轉支出,160719.65577,288654.4132,168328.05919,159020.43014,142873.68712,131369.87188,114486.22505,2.Current transfer expenditures
(1)對私人,40391.299916,61549.435149,38693.032744,27779.17274,29796.03356,32815.720057,22068.762902,(1)To private
(2)對政府,24683.515312,66366.588678,25046.261558,26309.262962,22383.041653,20550.856843,17230.752969,(2)To government
(3)社會保險,95094.66463,156408.04956,103938.76533,104246.78242,88923.554628,77768.29971,75155.080299,(3)Social insurance
(4)對國外,550.17591014,4330.3398175,649.99955499,685.21201523,1771.057278,234.99526638,31.628882661,(4)To abroad
,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分(續二),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,County,County,County,County,City,City,City,
,,,,,,,,
家庭戶數,288710,83149.999999,126329,40946.999999,153933,166833,100209,No. of households
平均每戶人數,2.87,2.51,2.51,2.6,2.91,3.18,2.93,No. of persons per household
平均每戶成年人數,2.31,2.03,2.14,2.18,2.47,2.5,2.46,No. of adults per household
平均每戶就業人數,1.22,1.05,1.07,1.06,1.21,1.45,1.25,No. of persons employed per household
平均每戶所得收入者人數,1.6,1.49,1.51,1.5,1.73,1.84,1.64,No. of income recipients per household
一、所得收入總計,964546.95229,874385.79228,956972.9692,1037554.1751,1140480.911,1602825.9799,1208298.1965,A.Total receipts
1.受僱人員報酬,469859.43686,407819.29574,456143.86916,507286.7403,669332.49615,1075962.6851,655467.14636,1.Compensation of employees
(1)本業薪資,342791.20187,275106.03774,308906.86134,354674.41024,498328.72439,717662.45664,433933.05941,(1)Full time payroll
(2)兼業薪資,54781.401911,70141.324833,68023.728936,50612.677291,48429.299013,53722.212987,100516.66684,(2)Part time payroll
(3)其他收入,72286.833077,62571.933168,79213.278888,101999.65276,122574.47275,304578.01548,121017.42011,(3)Other receipts or subsidies
2.產業主所得,145246.73354,144340.21657,133238.03673,151531.53316,91307.148213,131953.69121,191510.43761,2.Entrepreneurial income
3.財產所得收入,34077.997611,25308.989061,30555.209043,12707.482682,38473.453696,79054.077895,41919.858373,3. Property income
4.自用住宅設算租金收入,38861.717134,35109.391777,60111.83764,49308.550093,51148.964191,75049.14826,61483.993899,4.Imputed rent income
5.經常移轉收入,276339.67489,261679.88942,276830.2653,316612.32558,290179.19885,240700.98548,257868.20734,5.Current transfer receipts
(1)從私人,78082.736235,60397.268075,73224.100336,55328.266653,81883.423216,57149.886185,49072.375466,(1)From individuals
(2)從政府,66850.794214,71380.82188,56534.220266,82367.093684,43866.292304,60688.379151,40846.926477,(2)From government
(3)社會保險受益,130176.2894,129609.68065,143682.22144,177740.04179,157667.27359,118117.34423,167012.00079,(3)Benefit of social insurance
(4)從企業,1229.8550455,292.11882053,3389.7232513,1176.9234477,6762.2097454,1562.2714142,936.90460719,(4)From enterprises
(5)從國外,0,0,0,0,0,3183.1045041,0,(5)From abroad
6.雜項收入,161.3922516,128.00970685,93.751329232,107.54333349,39.649906425,105.39190951,48.55289379,6.Miscellaneous receipts
二、非消費支出,147963.15755,127610.85171,147312.41434,169829.59252,183411.69629,325298.96847,188838.7061,B.Nonconsumption expenditures
1.利息支出,4614.4529022,4266.7746657,6298.3623706,3961.378897,8075.2361255,24293.147764,6043.3103122,1.Interest
2.經常移轉支出,143348.70464,123344.07705,141014.05197,165868.21362,175336.46017,301005.8207,182795.39579,2.Current transfer expenditures
(1)對私人,36921.836334,31095.272383,36990.303835,45631.282283,44151.653698,54460.732179,44326.778181,(1)To private
(2)對政府,18352.265662,14922.011094,18626.870569,20182.308182,20773.884456,93163.691482,30558.061877,(2)To government
(3)社會保險,87854.849584,75183.8447,85145.450083,100054.62315,108179.24424,152385.86975,107333.14187,(3)Social insurance
(4)對國外,219.75306302,2142.9488683,251.42747933,0,2231.6777758,995.52729469,577.41385501,(4)To abroad
,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分(續三),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.3),,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
三、消費支出,829198.82563,810975.20245,1152500.5118,853094.79902,894519.24356,714444.69672,842427.50967,C.Consumption expenditures
1.食品及非酒精飲料,116605.16931,97119.271185,161150.49399,124429.52624,118857.72361,109372.33284,116738.89663,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9479.0004254,8246.2433213,8370.6739324,9864.4913994,9121.373789,8942.4298109,9173.1477666,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23219.992024,24805.470758,32880.641526,25211.176185,28478.086308,15178.708545,20047.670671,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,195833.5362,218099.33382,306002.25067,211776.78114,212944.26803,151152.02289,180895.588,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,177839.58332,199333.15572,286574.03807,193131.55043,194668.43634,134713.08348,163812.42233,(1)Rent and water charges
(2)電費及燃料,17993.95288,18766.178096,19428.212599,18645.230711,18275.831686,16438.93941,17083.165678,(2)Power and fuel
5.家具設備及家務維護,21626.436024,22887.036591,35622.513013,19104.627804,21005.632086,15847.881929,21024.255282,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,132718.65681,125790.86464,155721.81591,117297.95474,135317.13737,128448.65025,145269.34197,6.Health
7.交通,77372.283218,66201.306087,82267.516521,93050.405355,89592.264907,67408.240658,82583.276812,7.Transport
(1)個人交通工具之購置,13724.676606,4942.8255963,4714.7137541,18798.214365,22689.347936,11852.422268,21440.23938,(1)Purchase of vehicles
