appleL0598年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 98 年,,,,單位：元,2 0 0 9 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,7688014,810243,1238261,751916,3188329,81986,1171220,446058,No. of households
平均每戶人數,3.34,1,2,2.65,3.9,3.07,5.46,2.95,No. of persons per household
平均每戶成年人數,2.57,1,2,2.11,2.82,2.06,3.89,2.69,No. of adults per household
平均每戶就業人數,1.46,0.47,0.76,1.29,1.82,0.75,2.09,1.43,No. of persons employed per household
平均每戶所得收入者人數,1.64,1,1.24,1.5,1.82,1.3,2.15,1.62,No. of income recipients per household
一、所得收入總計,1074180,450607,802101,828432,1308224,694713,1375724,981498,A.Total receipts
1.受僱人員報酬,608940,183746,331208,475566,822443,207948,765707,513094,1.Compensation of employees
(1)本業薪資,457531,135834,195136,381477,623596,138653,598094,401022,(1)Full time payroll
(2)兼業薪資,40335,15693,78965,21768,39721,40050,33808,30741,(2)Part time payroll
(3)其他收入,111074,32220,57107,72322,159127,29244,133805,81331,(3)Other receipts or subsidies
2.產業主所得,145223,50860,105602,84634,187366,72561,190621,121677,2.Entrepreneurial income
3.財產所得收入,50660,23334,74847,25864,52532,48693,57277,44552,3. Property income
4.自用住宅設算租金收入,66407,46132,65103,54744,73683,51856,72199,61984,4.Imputed rent income
5.經常移轉收入,202780,146361,225178,187442,172065,313482,289664,239999,5.Current transfer receipts
(1)從私人,55435,67414,85420,60130,32910,133904,59091,79501,(1)From individuals
(2)從政府,60086,40760,64030,54788,51050,96195,92351,66410,(2)From government
(3)社會保險受益,84337,35154,72083,68189,87006,75404,134575,85560,(3)Benefit of social insurance
(4)從企業,1895,776,2483,3063,1013,227,3116,3732,(4)From enterprises
(5)從國外,1027,2257,1162,1273,86,7752,531,4796,(5)From abroad
6.雜項收入,170,174,164,181,135,174,255,192,6.Miscellaneous receipts
二、非消費支出,186575,75056,131085,126697,242179,79418,224893,165758,B.Nonconsumption expenditures
1.利息支出,14531,6857,9650,12982,20408,2094,11800,12079,1.Interest
2.經常移轉支出,172044,68199,121434,113715,221772,77324,213093,153679,2.Current transfer expenditures
(1)對私人,48303,28627,45910,25632,60293,24822,47749,48967,(1)To private
(2)對政府,32492,13153,25952,19148,42754,11776,37164,26455,(2)To government
(3)社會保險,87784,23103,43251,67733,115324,39298,125830,74864,(3)Social insurance
(4)對國外,3466,3316,6322,1202,3402,1429,2351,3392,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
98年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 98 年,,,,單位：元,2 0 0 9 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,705680,310486,514383,564311,844186,533490,932814,638119,C.Consumption expenditures
1.食品及非酒精飲料,107850,35205,79456,82478,124489,96209,163509,98463,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9862,5028,6780,7398,10864,6728,14926,11472,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22483,8523,14268,17558,28146,13124,30541,19032,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,171482,115130,156051,156884,192931,140875,184014,160698,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,150999,104825,140041,139389,170140,122668,155682,140962,(1)Rent and water charges
(2)電費及燃料,20483,10304,16010,17495,22790,18207,28332,19736,(2)Power and fuel
5.家具設備及家務維護,17850,7597,16059,12042,21256,14941,21885,16830,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,101969,44109,95436,76382,103793,97764,159461,105108,6.Health
7.交通,66326,22610,41075,44526,86955,29774,87239,56936,7.Transport
(1)個人交通工具之購置,8898,2868,5119,5055,12481,1474,11579,5531,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43567,13335,26509,28455,56775,19782,59699,38913,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9575,5005,6671,8301,12203,6816,10056,8544,(3)Transport services
(4)汽、機車保險費,4287,1402,2777,2715,5496,1702,5906,3947,(4)Insurance of vehicles
8.通訊,23526,8987,12847,20997,30106,15389,29908,21556,8.Communication
9.休閒與文化,35389,16063,29391,26777,44907,23407,37874,29301,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),12091,5644,14508,7135,14617,6232,11117,11028,(1)Package holidays
(2)娛樂消遣及文化服務,8720,5866,7360,8072,9957,7191,9445,8300,(2)Recreational and cultural services
(3)書報雜誌文具,6610,1301,2029,5375,9756,5507,8581,3588,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7968,3251,5493,6195,10578,4478,8730,6385,(4)Recreational facilities
10.教育,42510,984,519,30381,69152,29777,62472,14436,10.Education
11.餐廳及旅館,66112,27769,34156,59043,84426,39202,84484,62182,11.Restaurants and hotels
12.什項消費,40321,18480,28345,29845,47160,26300,56501,42105,12.Miscellaneous goods and services
可支配所得,887605,375550,671016,701735,1066045,615295,1150832,815740,Disposable income
