appleL0298年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2009",,98年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2009",,98年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2009"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 98 年,,,,單位：元,2 0 0 9 Unit:NT$,,,,,民 國 98 年,,,,單位：元,2 0 0 9 Unit:NT$,,,,,,民 國 98 年,,,,,單位：元,2 0 0 9 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,7688014,962831,575303,1355076,150753,644525,155306,No. of households,,家庭戶數,168240,455093,356344,167989,225184,172731,361442,423280,No. of households,,家庭戶數,271046,79198,119080,32282,145149,136188,373118,93943,263913,No. of households
平均每戶人數,3.34,3.22,3.18,3.48,3.11,3.5,3.68,No. of persons per household,,平均每戶人數,3.54,3.55,3.56,3.54,2.97,2.89,3.29,3.39,No. of persons per household,,平均每戶人數,3.23,2.94,2.94,2.95,3.25,3.51,3.26,2.84,3.28,No. of persons per household
平均每戶成年人數,2.57,2.59,2.4900000000000002,2.67,2.4,2.6,2.58,No. of adults per household,,平均每戶成年人數,2.6,2.66,2.72,2.75,2.35,2.34,2.5099999999999998,2.66,No. of adults per household,,平均每戶成年人數,2.4900000000000002,2.23,2.17,2.2599999999999998,2.59,2.66,2.5299999999999998,2.2200000000000002,2.56,No. of adults per household
平均每戶就業人數,1.46,1.36,1.42,1.55,1.25,1.5,1.64,No. of persons employed per household,,平均每戶就業人數,1.46,1.56,1.58,1.53,1.4,1.38,1.45,1.54,No. of persons employed per household,,平均每戶就業人數,1.47,1.32,1.1299999999999999,1.22,1.35,1.46,1.35,1.17,1.54,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.63,1.6,1.73,1.53,1.73,1.86,No. of income recipients per household,,平均每戶所得收入者人數,1.63,1.64,1.68,1.61,1.44,1.57,1.58,1.68,No. of income recipients per household,,平均每戶所得收入者人數,1.57,1.5,1.43,1.57,1.63,1.81,1.54,1.41,1.62,No. of income recipients per household
