L10100年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 100 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(6)數位相機,51.65,36.79,53.45,(6)Digital camera
(7)電視遊樂器,10.119999999999999,4.17,10.84,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),82.92,69.98,84.48,(8)Cable TV(MOD included)
(9)家用電腦,71.930000000000007,54.68,74.03,(9)Personal computer
(10)電話機,96.06,98.3,95.78,(10)Telephone
(11)行動電話,91.7,84.96,92.52,(11)Cell phone
(12)連網(使用電腦或其他設備),68.989999999999995,51.24,71.14,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 1,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,59.11,64.92,58.41,(13)Sedan vehicle
(14)機車,82.97,88.37,82.31,(14)Motorcycle
(15)電磁爐,37.770000000000003,27.3,39.04,(15)Electro-magnetic oven
(16)冷暖氣機,88.75,80.790000000000006,89.72,(16)Air conditioner
(17)除濕機,30.87,15.24,32.770000000000003,(17)Dehumidifier
(18)洗衣機,97.63,97.42,97.65,(18)Washing machine
(19)烘衣機,16.28,14.13,16.54,(19)Drier
(20)空氣清淨機,9.98,3.28,10.79,(20)Air-clean machine
(21)濾水器,32.840000000000003,21.85,34.17,(21)Water filter machine
(22)吸塵器,39.89,27.43,41.4,(22)Vacuum cleaner
(23)熱水器,97.8,95.87,98.03,(23)Geyser
(24)開飲機,49.35,54.94,48.67,(24)Hot-warm water fountain
(25)微波爐,43.39,28.96,45.14,(25)Microwave oven
(26)報紙,19.16,22.04,18.809999999999999,(26)Newspaper
(27)期刊雜誌,7.48,4.0999999999999996,7.89,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,158.6,156.69999999999999,158.83000000000001,(1)Color TV
一般彩色電視機,89.93,102.82,88.36,Non-LCD TV
液晶、電漿電視,68.67,53.88,70.459999999999994,LCD、PDP TV
(2)數位影音光碟機,41.11,24.32,43.14,(2)DVD player
(3)攝影機,8.36,3.93,8.9,(3)Movies camera
(4)音響,33.270000000000003,23.9,34.409999999999997,(4)Stereo
(5)鋼琴(含電子琴),10.09,5.25,10.68,(5)Piano
(6)數位相機,62.03,42.12,64.45,(6)Digital camera
(7)電視遊樂器,11.03,4.42,11.83,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.63,71.349999999999994,87.36,(8)Cable TV(MOD included)
(9)家用電腦,103.32,74.39,106.83,(9)Personal computer
(10)電話機,107.84,106.77,107.97,(10)Telephone
(11)行動電話,234.85,215.28,237.22,(11)Cell phone
(12)汽車,71.11,87.47,69.13,(12)Sedan vehicle
(13)機車,147.5,167.31,145.1,(13)Motorcycle
(14)電磁爐,38.4,28.06,39.65,(14)Electro-magnetic oven
(15)冷暖氣機,207.55,177.99,211.14,(15)Air conditioner
(16)除濕機,36.96,17.86,39.270000000000003,(16)Dehumidifier
(17)洗衣機,100.02,101.58,99.83,(17)Washing machine
(18)烘衣機,16.34,14.21,16.600000000000001,(18)Drier
(19)空氣清淨機,11.17,3.57,12.1,(19)Air-clean machine
(20)濾水器,33.42,22.33,34.76,(20)Water filter machine
(21)吸塵器,42.09,28.34,43.75,(21)Vacuum cleaner
(22)熱水器,104.81,105.45,104.73,(22)Geyser
(23)開飲機,50.91,57.29,50.14,(23)Hot-warm water fountain
(24)微波爐,43.76,29.48,45.49,(24)Microwave oven
(25)報紙,20.010000000000002,22.47,19.71,(25)Newspaper
(26)期刊雜誌,8.99,4.7,9.51,(26)Magazine
