appleL0288年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1999"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 88 年,,,,,單位：元,1 9 9 9 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
家庭戶數,6431105,681803,1162020,1105800,1647891,1073191,461012,177040,72059,50289,No. of households
平均每戶人數,3.63,1,2,3,4,5,6,7,8,9.9499999999999993,No. of persons per household
平均每戶成年人數,2.54,1,1.91,2.4500000000000002,2.58,3,3.79,4.47,5.3,6.35,No. of adults per household
平均每戶就業人數,1.6,0.53,0.95,1.55,1.8,1.99,2.38,2.7,3.25,4.0199999999999996,No. of persons employed per household
平均每戶所得收入者人數,1.67,1,1.25,1.61,1.75,1.91,2.2599999999999998,2.57,3.06,3.6,No. of income recipients per household
一、所得收入總計,1089575,455842,762419,1069914,1281503,1277530,1405043,1509063,1717248,2105014,A.Total receipts
1.受僱人員報酬,628065,207244,359037,636674,814048,736913,788785,840003,1020266,1161862,1.Compensation of employees
(1)本業薪資,485615,153016,247637,493209,633436,584960,622314,676292,817337,963144,(1)Full time payroll
(2)兼業薪資,30388,23783,49975,33515,22521,21464,34573,24181,39802,16819,(2)Part time payroll
(3)其他收入,112063,30445,61426,109950,158091,130489,131898,139530,163127,181900,(3)Other receipts or subsidies
2.產業主所得,179790,50029,94789,158893,201014,259806,285728,299144,292259,407117,2.Entrepreneurial income
3.財產所得收入,66888,32958,73203,66639,70564,68438,71838,82615,80765,112334,3. Property income
4.自用住宅設算租金收入,67517,39232,57528,67915,76065,74194,78844,79094,81241,86191,4.Imputed rent income
5.經常移轉收入,147096,126196,177643,139625,119600,137921,179614,207787,242488,337288,5.Current transfer receipts
(1)從私人,44135,59733,77217,41654,28287,29599,33545,38625,45092,67425,(1)From individuals
(2)從政府,35071,35091,40762,32474,24506,33654,46701,55817,74404,100800,(2)From government
(3)社會保險受益,66133,30175,57986,62763,65397,73336,97970,112307,122767,150874,(3)Benefit of social insurance
(4)從企業,1054,92,337,1280,1155,1331,1101,798,225,18189,(4)From enterprises
(5)從國外,703,1105,1342,1454,254,1,297,240,0,0,(5)From abroad
6.雜項收入,218,183,218,168,212,258,233,420,228,221,6.Miscellaneous receipts
二、非消費支出,200522,75894,133761,200180,251516,235882,237230,255413,294666,350139,B.Nonconsumption expenditures
1.利息支出,45657,19324,28145,49363,60241,53952,45047,44904,63237,53934,1.Interest
2.經常移轉支出,154865,56570,105616,150817,191275,181929,192183,210509,231429,296206,2.Current transfer expenditures
(1)對私人,50701,25586,42083,50508,61226,54981,54381,58831,61681,80306,(1)To private
(2)對政府,32218,10372,20482,34289,43833,35473,34961,35726,39790,55610,(2)To government
(3)社會保險,67930,17893,35200,61750,82525,89356,99824,114727,128005,159726,(3)Social insurance
(4)對國外,4017,2719,7851,4270,3691,2119,3016,1225,1953,564,(4)To abroad
,,,,,,,,,,,
88年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1999"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分(續),,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household (Cont.),,,
民 國 88 年,,,,,單位：元,1 9 9 9 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
三、消費支出,655282,280975,442958,619209,765996,800330,875753,924427,994683,1251161,C.Consumption expenditures
1.食品費,153578,52260,91884,137494,176430,201006,226003,247807,286341,359564,1.Food
2.飲料費,6332,2947,4036,5786,7147,7785,9136,9620,12011,14174,2.Beverage
3.菸草,4893,2638,3085,4535,4994,6054,7471,8452,9837,13812,3.Tobacco
4.衣著、鞋、襪類,26729,9511,16034,25143,31645,33575,37128,41762,46978,57724,4.Clothing and footwear
5.房地租及水費,145365,93888,123488,145716,163941,158484,164954,163239,154290,197153,5.Rent and water charges
6.燃料及燈光,17849,8355,12861,16851,19644,21729,24197,26381,31120,34916,6.Fuel and light
7.家具及家庭設備,12872,5949,9328,12959,16355,13841,13732,15750,17563,27166,7.Furniture and family facilities
8.家事管理,13505,5524,7998,15961,18207,13714,16317,12019,15913,12437,8.Household operations
9.保健及醫療,71852,32761,62501,68683,69756,81067,107290,129236,123693,158411,9.Health care and medical
10.運輸交通及通訊,72828,24797,41319,72676,89709,92387,96039,94870,112856,137177,10.Transport and communications
(1)交通及通訊工具之購置,12874,3399,6103,13159,16476,18072,17882,11555,18382,13360,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,31369,8906,16868,31166,38951,39284,42008,46592,56074,71554,(2)Operation of transport equipment
(3)乘交通設備之費用,9302,4630,6387,8848,10797,11740,11974,11266,10756,15488,(3)Purchased transportation
(4)其他通訊費,14135,6433,9045,14454,17066,16937,17043,17877,19406,25897,(4)Other communications
(5)汽機車保險費支出,5149,1427,2916,5049,6418,6355,7133,7580,8236,10878,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,84912,23187,39745,70165,115417,117972,117599,114330,117493,134710,"11.Recreation ,education and culture"
