appleL06107年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 107 年,,,單位：元,2 0 1 8 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8643140,1728628,1728628,1728628,1728628,1728628,No. of households
平均每戶人數,3.05,1.68,2.5,3.17,3.7,4.1900000000000004,No. of persons per household
平均每戶成年人數,2.5499999999999998,1.57,2.14,2.58,3.02,3.44,No. of adults per household
平均每戶就業人數,1.42,0.44,1.01,1.43,1.87,2.34,No. of persons employed per household
平均每戶所得收入者人數,1.77,1.1000000000000001,1.37,1.71,2.1,2.56,No. of income recipients per household
一、所得收入總計,1249031,403795,762104,1075361,1466883,2537010,A.Total receipts
1.受僱人員報酬,707123,92567,355147,597558,891639,1598703,1.Compensation of employees
(1)本業薪資,522907,73671,273493,449838,666691,1150844,(1)Full time payroll
(2)兼業薪資,46297,7726,26804,44757,51993,100203,(2)Part time payroll
(3)其他收入,137918,11170,54849,102963,172954,347655,(3)Other receipts or subsidies
2.產業主所得,158872,27451,74765,129743,180632,381770,2.Entrepreneurial income
3.財產所得收入,56416,14142,28235,37983,50344,151374,3. Property income
4.自用住宅設算租金收入,74649,39634,62217,68431,88109,114852,4.Imputed rent income
5.經常移轉收入,251904,229869,241683,241585,256117,290267,5.Current transfer receipts
(1)從私人,70046,93092,83869,64785,55873,52612,(1)From individuals
(2)從政府,47839,55280,48407,48193,46745,40569,(2)From government
(3)社會保險受益,130726,81041,107597,126683,150366,187944,(3)Benefit of social insurance
(4)從企業,2188,423,865,1336,2595,5720,(4)From enterprises
(5)從國外,1105,33,946,588,538,3421,(5)From abroad
6.雜項收入,67,132,57,60,42,44,6.Miscellaneous receipts
二、非消費支出,212726,58848,124329,186863,255613,437980,B.Nonconsumption expenditures
1.利息支出,10421,2273,6485,10201,13062,20083,1.Interest
2.經常移轉支出,202306,56575,117844,176662,242551,417897,2.Current transfer expenditures
(1)對私人,48885,15713,26816,39851,57332,104716,(1)To private
(2)對政府,34216,7415,15169,22427,31093,94975,(2)To government
(3)社會保險,117324,33102,75243,113136,152687,212449,(3)Social insurance
(4)對國外,1881,345,616,1248,1438,5757,(4)To abroad
,,,,,,,
107年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 107 年,,,單位：元,2 0 1 8 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,811359,363169,594513,776708,974620,1347785,C.Consumption expenditures
1.食品及非酒精飲料,116444,65000,94135,117564,137052,168468,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9781,5479,8418,9989,11684,13334,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22783,7452,14134,20845,28435,43050,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,194288,113789,165133,188924,222064,281531,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,175747,101913,149374,170027,200498,256923,(1)Rent and water charges
(2)電費及燃料,18541,11876,15759,18897,21566,24608,(2)Power and fuel
5.家具設備及家務維護,20006,7245,13375,17257,23554,38598,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,128632,61518,96492,123770,155508,205873,6.Health
7.交通,75810,23241,48192,70470,90856,146288,7.Transport
(1)個人交通工具之購置,14128,2310,7281,10863,12795,37392,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,45374,15406,30615,44829,58056,77962,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10455,3622,6618,9268,12736,20030,(3)Transport services
(4)汽、機車保險費,5853,1903,3678,5509,7268,10904,(4)Insurance of vehicles
8.通訊,25570,9730,18517,25562,32535,41506,8.Communication
9.休閒與文化,46572,13897,24293,37927,54011,102734,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),24561,5608,9524,17731,27484,62457,(1)Package holidays
(2)娛樂消遣及文化服務,11647,5586,8474,10342,13443,20392,(2)Recreational and cultural services
(3)書報雜誌文具,3951,870,2464,4072,5387,6961,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6413,1833,3830,5782,7697,12924,(4)Recreational facilities
10.教育,28541,2815,13473,27240,41949,57226,10.Education
11.餐廳及旅館,99978,37220,70701,98764,125916,167290,11.Restaurants and hotels
12.什項消費,42955,15783,27650,38398,51056,81887,12.Miscellaneous goods and services
可支配所得,1036304,344948,637775,888498,1211270,2099030,Disposable income
消費支出,811359,363169,594513,776708,974620,1347785,Consumption expenditures
儲蓄,224945,-18221,43261,111790,236650,751245,Saving
所得總額,1310447,438085,811611,1138219,1537142,2627179,Current receipts
