appleL06101年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 101 年,,,單位：元,2 0 1 2 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8077323,1615465,1615465,1615465,1615465,1615463,No. of households
平均每戶人數,3.23,1.83,2.76,3.43,3.87,4.24,No. of persons per household
平均每戶成年人數,2.5499999999999998,1.62,2.19,2.62,3,3.34,No. of adults per household
平均每戶就業人數,1.46,0.51,1.0900000000000001,1.52,1.9,2.2799999999999998,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.06,1.28,1.62,1.97,2.4500000000000002,No. of income recipients per household
一、所得收入總計,1122379,362289,684764,983543,1330415,2250888,A.Total receipts
1.受僱人員報酬,647332,88412,325859,547013,818234,1457143,1.Compensation of employees
(1)本業薪資,480144,71584,256612,419634,619987,1032905,(1)Full time payroll
(2)兼業薪資,42664,8518,21870,34965,42108,105860,(2)Part time payroll
(3)其他收入,124524,8310,47376,92415,156139,318379,(3)Other receipts or subsidies
2.產業主所得,148332,32173,86303,139559,183093,300533,2.Entrepreneurial income
3.財產所得收入,47446,13338,21426,33982,44013,124469,3. Property income
4.自用住宅設算租金收入,67398,36928,53800,65588,78169,102506,4.Imputed rent income
5.經常移轉收入,211718,191214,197198,197243,206767,266167,5.Current transfer receipts
(1)從私人,57935,78240,65510,51967,43402,50555,(1)From individuals
(2)從政府,50284,61790,53729,49198,48377,38325,(2)From government
(3)社會保險受益,101259,50905,76899,93856,112310,172323,(3)Benefit of social insurance
(4)從企業,1434,177,575,1139,1319,3960,(4)From enterprises
(5)從國外,807,101,485,1083,1360,1004,(5)From abroad
6.雜項收入,154,224,178,158,139,70,6.Miscellaneous receipts
二、非消費支出,198796,60927,117950,173468,236862,404772,B.Nonconsumption expenditures
1.利息支出,12149,3649,8264,12983,15415,20436,1.Interest
2.經常移轉支出,186646,57278,109686,160486,221447,384336,2.Current transfer expenditures
(1)對私人,48192,16728,26306,39187,55452,103290,(1)To private
(2)對政府,33848,7287,13848,21601,32694,93812,(2)To government
(3)社會保險,102423,32736,68742,98553,130510,181572,(3)Social insurance
(4)對國外,2183,527,790,1145,2791,5661,(4)To abroad
,,,,,,,
101年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 101 年,,,單位：元,2 0 1 2 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,727693,327157,531922,700722,880096,1198566,C.Consumption expenditures
1.食品及非酒精飲料,110918,60706,91395,114022,131344,157124,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9481,5220,8379,9809,11272,12725,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22053,6830,13797,19655,27191,42791,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,177264,107454,146861,173396,200488,258122,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,156540,94008,128671,152014,176715,231293,(1)Rent and water charges
(2)電費及燃料,20724,13445,18191,21382,23774,26829,(2)Power and fuel
5.家具設備及家務維護,18167,6593,11153,15913,21028,36148,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,105869,52591,80689,102012,126649,167404,6.Health
7.交通,69320,20083,43672,64481,88936,129427,7.Transport
(1)個人交通工具之購置,8598,1360,3098,5321,11504,21704,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,46445,13614,30901,46183,59734,81792,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10021,3823,6977,9019,12407,17879,(3)Transport services
(4)汽、機車保險費,4256,1285,2695,3958,5290,8052,(4)Insurance of vehicles
8.通訊,25413,8982,17999,25857,32411,41816,8.Communication
9.休閒與文化,38440,11656,20967,31493,44648,83435,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),15550,3088,5819,10000,16608,42232,(1)Package holidays
(2)娛樂消遣及文化服務,9968,4908,7309,9283,11647,16694,(2)Recreational and cultural services
(3)書報雜誌文具,5374,1382,3523,5535,7108,9322,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7548,2278,4316,6676,9285,15186,(4)Recreational facilities
10.教育,34417,5121,18377,35266,50325,62998,10.Education
11.餐廳及旅館,77000,28353,54341,74884,96958,130467,11.Restaurants and hotels
12.什項消費,39350,13568,24292,33934,48845,76110,12.Miscellaneous goods and services
可支配所得,923584,301362,566814,810075,1093553,1846116,Disposable income
消費支出,727693,327157,531922,700722,880096,1198566,Consumption expenditures
儲蓄,195891,-25795,34891,109353,213457,647550,Saving
所得總額,1176877,395610,726844,1036149,1392460,2333324,Current receipts
