appleL04106年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 106 年,,,單位：元,2 0 1 7 Unit:NT$,,,,,民 國 106 年,,單位：元,2 0 1 7 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
家庭戶數,8559187,432413,777181,1324473,433574,1192699,No. of households,,家庭戶數,441251,969158,850728,412393,1725317,No. of households
平均每戶人數,3.07,3.55,3.38,3.47,3.2,3.19,No. of persons per household,,平均每戶人數,2.83,3.61,3.59,2.96,1.9,No. of persons per household
平均每戶成年人數,2.54,2.8,2.62,2.8,2.72,2.62,No. of adults per household,,平均每戶成年人數,2.46,2.91,2.91,2.4,1.79,No. of adults per household
平均每戶就業人數,1.43,1.87,1.66,1.76,1.64,1.79,No. of persons employed per household,,平均每戶就業人數,1.69,1.94,1.9,1.54,0.05,No. of persons employed per household
平均每戶所得收入者人數,1.75,2.0099999999999998,1.91,1.95,1.91,1.77,No. of income recipients per household,,平均每戶所得收入者人數,1.5,2.02,2.0299999999999998,1.7,1.19,No. of income recipients per household
一、所得收入總計,1231112,2564186,1854646,1556119,1208111,1163603,A.Total receipts,,一、所得收入總計,827663,1250547,1188865,839274,625835,A.Total receipts
1.受僱人員報酬,695838,1703766,1322245,1063623,826204,483818,1.Compensation of employees,,1.受僱人員報酬,166681,700847,765537,521760,132283,1.Compensation of employees
(1)本業薪資,517444,1237904,979492,795794,608633,379836,(1)Full time payroll,,(1)本業薪資,114322,585810,603057,433088,29920,(1)Full time payroll
(2)兼業薪資,43307,45321,45613,36093,54696,22586,(2)Part time payroll,,(2)兼業薪資,33892,13857,26763,19861,91478,(2)Part time payroll
(3)其他收入,135086,420541,297140,231735,162875,81396,(3)Other receipts or subsidies,,(3)其他收入,18467,101181,135718,68811,10885,(3)Other receipts or subsidies
2.產業主所得,156791,333301,154545,141140,38941,338152,2.Entrepreneurial income,,2.產業主所得,321999,218057,121975,29949,641,2.Entrepreneurial income
3.財產所得收入,55466,205077,76841,52400,48982,31896,3. Property income,,3.財產所得收入,28665,21461,21813,14874,80869,3. Property income
4.自用住宅設算租金收入,73780,121974,100558,89525,75841,65376,4.Imputed rent income,,4.自用住宅設算租金收入,48850,67986,63000,48260,63892,4.Imputed rent income
5.經常移轉收入,249137,200045,200421,209392,218069,244242,5.Current transfer receipts,,5.經常移轉收入,261291,242096,216446,224205,348011,5.Current transfer receipts
(1)從私人,70221,39120,45186,45965,60651,51750,(1)From individuals,,(1)從私人,61417,41479,41638,49567,160515,(1)From individuals
(2)從政府,48115,34453,34554,35999,39788,48783,(2)From government,,(2)從政府,83011,47375,45581,61248,58181,(2)From government
(3)社會保險受益,127233,121976,118723,122514,111779,139981,(3)Benefit of social insurance,,(3)社會保險受益,114343,150045,126624,112191,125454,(3)Benefit of social insurance
(4)從企業,2147,2333,1138,2635,2634,2467,(4)From enterprises,,(4)從企業,2174,2364,2004,1199,2007,(4)From enterprises
(5)從國外,1420,2164,820,2278,3216,1261,(5)From abroad,,(5)從國外,346,833,597,0,1854,(5)From abroad
6.雜項收入,100,23,35,39,74,120,6.Miscellaneous receipts,,6.雜項收入,177,101,94,228,139,6.Miscellaneous receipts
二、非消費支出,212171,554507,386580,288248,209914,181232,B.Nonconsumption expenditures,,二、非消費支出,104275,198253,201644,127520,72198,B.Nonconsumption expenditures
1.利息支出,10838,27145,22724,16013,10589,10898,1.Interest,,1.利息支出,1497,8955,9579,4762,2963,1.Interest
2.經常移轉支出,201333,527361,363856,272235,199325,170334,2.Current transfer expenditures,,2.經常移轉支出,102778,189298,192065,122759,69236,2.Current transfer expenditures
(1)對私人,49002,144965,93159,63804,44046,41221,(1)To private,,(1)對私人,29586,39763,37603,22148,22516,(1)To private
(2)對政府,33811,134311,74823,45955,26038,21658,(2)To government,,(2)對政府,16290,23395,21890,12388,12512,(2)To government
(3)社會保險,115799,226874,185956,160881,128818,106171,(3)Social insurance,,(3)社會保險,55888,125787,132196,87782,33459,(3)Social insurance
(4)對國外,2721,21212,9918,1596,423,1284,(4)To abroad,,(4)對國外,1013,353,375,441,749,(4)To abroad
,,,,,,,,,,,,,,,
106年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2017",,106年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2017"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 106 年,,,單位：元,2 0 1 7 Unit:NT$,,,,,民 國 106 年,,單位：元,2 0 1 7 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
