appleL0486年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 86 年,,,單位：元,1 9 9 7 Unit:NT$,,,,,民 國 86 年,,單位：元,1 9 9 7 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
家庭戶數,6104309,450323,355918,845086,305966,898704,No. of households,,家庭戶數,425670,946796,905648,294689,675509,No. of households
平均每戶人數,3.84,4.2,3.77,3.99,3.66,4.05,No. of persons per household,,平均每戶人數,3.56,4.46,4.29,3.74,2.02,No. of persons per household
平均每戶成年人數,2.6,2.72,2.67,2.68,2.64,2.67,No. of adults per household,,平均每戶成年人數,2.66,2.85,2.74,2.63,1.7,No. of adults per household
平均每戶就業人數,1.69,1.89,1.82,1.8,1.7,1.95,No. of persons employed per household,,平均每戶就業人數,1.96,1.95,1.94,1.8,0.12,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.83,1.85,1.83,1.76,1.6,No. of income recipients per household,,平均每戶所得收入者人數,1.51,1.89,1.9,1.78,1.07,No. of income recipients per household
一、所得收入總計,1054049,1816661,1656701,1325972,1096627,987212,A.Total receipts,,一、所得收入總計,674035,980188,973720,798886,519578,A.Total receipts
1.受僱人員報酬,609840,981441,1209243,982316,797339,346939,1.Compensation of employees,,1.受僱人員報酬,193326,610816,599438,517073,160667,1.Compensation of employees
(1)本業薪資,475677,762133,926874,747716,596361,272519,(1)Full time payroll,,(1)本業薪資,153305,529704,483102,429141,60033,(1)Full time payroll
(2)兼業薪資,25953,20044,34959,22603,41772,15312,(2)Part time payroll,,(2)兼業薪資,22726,9266,16563,22435,75876,(2)Part time payroll
(3)其他收入,108210,199263,247410,211997,159205,59107,(3)Other receipts or subsidies,,(3)其他收入,17295,71846,99773,65497,24757,(3)Other receipts or subsidies
2.產業主所得,189659,472153,140558,79562,43518,419099,2.Entrepreneurial income,,2.產業主所得,238143,163912,175125,73756,1472,2.Entrepreneurial income
3.財產所得收入,64651,162696,102034,74261,68454,50733,3. Property income,,3.財產所得收入,36760,36591,36085,31627,93977,3. Property income
4.自用住宅設算租金收入,64449,103053,91952,77211,70433,62294,4.Imputed rent income,,4.自用住宅設算租金收入,41744,58503,58022,47928,46875,4.Imputed rent income
5.經常移轉收入,125034,96344,112477,112401,116448,107791,5.Current transfer receipts,,5.經常移轉收入,163746,110107,104869,128222,215580,5.Current transfer receipts
(1)從私人,39824,27108,34338,36244,36365,30803,(1)From individuals,,(1)從私人,54091,26120,22974,35446,103955,(1)From individuals
(2)從政府,28132,15774,16123,16518,20914,25163,(2)From government,,(2)從政府,50652,26363,23971,31470,56860,(2)From government
(3)社會保險受益,55962,53021,61649,57730,58579,51181,(3)Benefit of social insurance,,(3)社會保險受益,58403,57350,55804,61070,52387,(3)Benefit of social insurance
(4)從企業,629,367,172,611,373,519,(4)From enterprises,,(4)從企業,132,266,1827,236,717,(4)From enterprises
(5)從國外,487,74,196,1298,217,125,(5)From abroad,,(5)從國外,467,7,292,0,1660,(5)From abroad
6.雜項收入,416,975,438,221,435,357,6.Miscellaneous receipts,,6.雜項收入,316,259,181,280,1007,6.Miscellaneous receipts
二、非消費支出,190622,367116,297446,260050,198383,172393,B.Nonconsumption expenditures,,二、非消費支出,106437,172739,176961,128998,73869,B.Nonconsumption expenditures
1.利息支出,43332,86837,59093,64656,48082,45598,1.Interest,,1.利息支出,12572,38375,39818,24837,13298,1.Interest
2.經常移轉支出,147289,280279,238352,195394,150301,126795,2.Current transfer expenditures,,2.經常移轉支出,93865,134364,137143,104162,60571,2.Current transfer expenditures
(1)對私人,48991,87784,83193,64404,47457,44198,(1)To private,,(1)對私人,36260,43592,42993,32956,23526,(1)To private
(2)對政府,30439,84362,65362,47629,32384,22094,(2)To government,,(2)對政府,11618,21974,21691,13702,7564,(2)To government
(3)社會保險,65621,99590,81321,81223,68258,59045,(3)Social insurance,,(3)社會保險,45824,68657,72175,56653,26087,(3)Social insurance
(4)對國外,2238,8544,8477,2138,2202,1459,(4)To abroad,,(4)對國外,163,142,283,851,3393,(4)To abroad
,,,,,,,,,,,,,,,
86年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 86 年,,,單位：元,1 9 9 7 Unit:NT$,,,,,民 國 86 年,,單位：元,1 9 9 7 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,634477,1002338,879415,771388,659831,625525,C.Consumption expenditures,,三、消費支出,437411,612266,588556,507731,361503,C.Consumption expenditures
1.食品費,151355,205183,174551,170513,155979,155035,1.Food,,1.食品費,113853,161958,155649,140383,80091,1.Food
