2020-08-14T00:00:00L04108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,by Occupation of Household Heads,,,
民 國 108 年,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,
,,,,,,,
(1)從私人,66907.721836,46736.843797,47684.155043,60310.548886,147743.68331,(1)From individuals,
(2)從政府,92433.85827,48558.491147,47532.498409,56332.134914,56430.894796,(2)From government,
(3)社會保險受益,137692.71149,153842.24243,133328.06424,125759.80084,144010.13395,(3)Benefit of social insurance,
(4)從企業,1836.6675281,4391.0315645,3432.2560056,964.38220404,1965.1969545,(4)From enterprises,
(5)從國外,0,422.57086398,63.227569952,939.00887751,1566.1420123,(5)From abroad,
6.雜項收入,91.966628203,61.032942929,83.513628986,124.10635785,90.070822788,6.Miscellaneous receipts,
二、非消費支出,107215.75608,208900.82902,209701.92036,140088.90003,68151.578617,B.Nonconsumption expenditures,
1.利息支出,2014.5385683,9615.2819555,7871.8973617,4339.7372975,2450.8368611,1.Interest,
2.經常移轉支出,105201.21751,199285.54707,201830.023,135749.16274,65700.741755,2.Current transfer expenditures,
(1)對私人,26328.62259,41451.331664,35393.30913,23926.508305,20474.101447,(1)To private,
(2)對政府,17396.306187,22720.051217,20795.9808,13120.897899,12548.746945,(2)To government,
(3)社會保險,61139.82877,134551.44264,145251.2361,98088.540384,31727.819292,(3)Social insurance,
(4)對國外,336.45996525,562.72154669,389.49696578,613.21614868,950.07407137,(4)To abroad,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,by Occupation of Household Heads (cont.2),,,
民 國 108 年,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,
,,,,,,,
三、消費支出,829198.82563,1404936.8086,1116392.4369,1020477.5714,849516.9178,788386.08543,C.Consumption expenditures
1.食品及非酒精飲料,116605.16931,147765.75698,137033.70134,134189.20108,121000.17971,114130.37751,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9479.0004254,11011.944395,5945.1355352,8625.45595,7473.661003,10464.278151,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,23219.992024,46531.406324,35433.603278,31700.55253,24760.67094,21994.368267,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,195833.5362,324637.33353,256827.23345,232241.2162,198194.37117,188523.3533,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,177839.58332,303106.41421,236858.72554,212210.29358,180111.57108,170398.6451,(1)Rent and water charges
(2)電費及燃料,17993.95288,21530.919328,19968.507907,20030.922613,18082.800098,18124.708204,(2)Power and fuel
5.家具設備及家務維護,21626.436024,48077.756319,32748.348052,28233.062006,22184.89948,19421.787036,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,132718.65681,173172.83105,146515.93307,143339.29157,142572.0174,121964.26149,6.Health
7.交通,77372.283218,162484.93202,123294.67655,105493.05821,79108.996248,68930.151659,7.Transport
(1)個人交通工具之購置,13724.676606,41767.875056,27088.065561,18261.627167,14847.850978,11978.893731,(1)Purchase of vehicles
