appleL0296年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2007",,96年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2007",,96年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2007"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),,,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 96 年,,,,單位：元,2 0 0 7 Unit:NT$,,,,,民 國 96 年,,,,單位：元,2 0 0 7 Unit:NT$,,,,,,民 國 96 年,,,,,單位：元,2 0 0 7 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,7414281,941991,555213,1293152,145647,611651,145234,No. of households,,家庭戶數,161658,439087,346002,163185,217200,167730,350932,412585,No. of households,,家庭戶數,265539,77595,116072,30235,141571,129193,357584,90228,254997,No. of households
平均每戶人數,3.38,3.31,3.27,3.48,3.31,3.55,3.75,No. of persons per household,,平均每戶人數,3.52,3.67,3.64,3.57,3.02,3.12,3.27,3.16,No. of persons per household,,平均每戶人數,3.18,2.88,2.93,2.99,3.23,3.48,3.42,3.04,3.4,No. of persons per household
平均每戶成年人數,2.57,2.58,2.5499999999999998,2.65,2.4700000000000002,2.61,2.71,No. of adults per household,,平均每戶成年人數,2.65,2.66,2.68,2.68,2.39,2.41,2.5499999999999998,2.4500000000000002,No. of adults per household,,平均每戶成年人數,2.44,2.2200000000000002,2.23,2.2200000000000002,2.44,2.58,2.63,2.33,2.59,No. of adults per household
平均每戶就業人數,1.5,1.42,1.46,1.56,1.3,1.57,1.66,No. of persons employed per household,,平均每戶就業人數,1.5,1.61,1.64,1.65,1.48,1.36,1.55,1.47,No. of persons employed per household,,平均每戶就業人數,1.43,1.22,1.17,0.98,1.31,1.53,1.45,1.29,1.66,No. of persons employed per household
平均每戶所得收入者人數,1.66,1.62,1.61,1.72,1.53,1.78,1.91,No. of income recipients per household,,平均每戶所得收入者人數,1.71,1.68,1.69,1.72,1.48,1.57,1.66,1.64,No. of income recipients per household,,平均每戶所得收入者人數,1.5,1.47,1.46,1.35,1.58,1.84,1.61,1.48,1.7,No. of income recipients per household
一、所得收入總計,1108674,1550134,1188933,1099472,909097,1210511,1098234,A.Total receipts,,一、所得收入總計,1000447,982475,922001,860836,794205,750236,878863,937628,A.Total receipts,,一、所得收入總計,953471,860701,878356,789752,999562,1554456,1255984,899387,1101839,A.Total receipts
1.受僱人員報酬,640733,897783,698931,685602,422409,765817,711855,1.Compensation of employees,,1.受僱人員報酬,586032,551409,470977,420262,334289,314102,500883,556360,1.Compensation of employees,,1.受僱人員報酬,467771,422678,416161,378688,588011,1031198,714046,512998,639413,1.Compensation of employees
(1)本業薪資,485369,667561,524844,543843,308781,567969,544236,(1)Full time payroll,,(1)本業薪資,432537,435423,372885,294738,268743,245912,389435,432494,(1)Full time payroll,,(1)本業薪資,350358,300873,294489,299252,450234,659425,500170,385351,504406,(1)Full time payroll
(2)兼業薪資,37132,56740,38605,20612,51399,38561,30884,(2)Part time payroll,,(2)兼業薪資,49815,32024,23552,59785,13894,17359,33960,24900,(2)Part time payroll,,(2)兼業薪資,30333,49147,48554,20063,41318,65988,78333,33850,25569,(2)Part time payroll
(3)其他收入,118233,173482,135483,121148,62229,159287,136734,(3)Other receipts or subsidies,,(3)其他收入,103680,83962,74541,65740,51651,50831,77489,98967,(3)Other receipts or subsidies,,(3)其他收入,87080,72658,73119,59373,96459,305784,135543,93798,109437,(3)Other receipts or subsidies
2.產業主所得,160457,196283,175537,134706,150990,121720,115243,2.Entrepreneurial income,,2.產業主所得,123556,171740,172248,158665,170854,140322,136430,135183,2.Entrepreneurial income,,2.產業主所得,218881,171093,174413,119201,109651,155936,235474,130570,187730,2.Entrepreneurial income
3.財產所得收入,54538,129567,66237,43695,31622,47784,21664,3. Property income,,3.財產所得收入,43670,32471,39779,38377,35337,28477,20702,30607,3. Property income,,3.財產所得收入,43064,42669,29314,37626,22426,98939,69807,42692,56106,3. Property income
4.自用住宅設算租金收入,65747,102011,63445,69014,66026,94244,73893,4.Imputed rent income,,4.自用住宅設算租金收入,50916,52322,54199,44700,41618,43247,53163,38247,4.Imputed rent income,,4.自用住宅設算租金收入,38651,31260,55666,30760,42328,67506,72352,45699,63295,4.Imputed rent income
5.經常移轉收入,187030,223992,184622,166371,237996,180904,175083,5.Current transfer receipts,,5.經常移轉收入,196099,174515,184574,198785,212032,223962,167528,177187,5.Current transfer receipts,,5.經常移轉收入,184901,192924,202651,223158,236822,200787,164123,167340,155186,5.Current transfer receipts
(1)從私人,53986,106063,47051,44616,67825,45240,44363,(1)From individuals,,(1)從私人,40425,38666,37628,36458,58326,59681,38760,49849,(1)From individuals,,(1)從私人,55968,41736,54816,44976,69749,56772,43662,43729,41664,(1)From individuals
(2)從政府,42184,34886,35154,33577,58339,37775,56723,(2)From government,,(2)從政府,53075,38038,48130,63016,63060,72590,50970,42045,(2)From government,,(2)從政府,51953,64056,57323,79891,44783,49368,30616,44183,32593,(2)From government
(3)社會保險受益,86893,79635,96927,83369,107739,85371,73119,(3)Benefit of social insurance,,(3)社會保險受益,101108,94315,95054,98098,87830,90730,76834,81847,(3)Benefit of social insurance,,(3)社會保險受益,76646,84090,88297,97991,121296,89322,87317,79184,79332,(3)Benefit of social insurance
(4)從企業,2279,1595,2700,1624,2510,9343,192,(4)From enterprises,,(4)從企業,1491,2642,2144,757,1369,960,620,997,(4)From enterprises,,(4)從企業,333,3042,2215,300,621,5008,1776,243,1365,(4)From enterprises
(5)從國外,1689,1812,2789,3186,1582,3174,686,(5)From abroad,,(5)從國外,0,854,1618,457,1446,0,344,2448,(5)From abroad,,(5)從國外,0,0,0,0,373,317,753,0,232,(5)From abroad
6.雜項收入,168,498,161,83,54,42,497,6.Miscellaneous receipts,,6.雜項收入,174,18,224,47,75,125,156,44,6.Miscellaneous receipts,,6.雜項收入,203,78,151,320,325,91,182,88,110,6.Miscellaneous receipts
二、非消費支出,184800,262330,208573,186504,158227,206722,188054,B.Nonconsumption expenditures,,二、非消費支出,173906,148202,145630,138627,130489,111348,140000,145703,B.Nonconsumption expenditures,,二、非消費支出,157357,140241,153676,145290,148054,276993,206931,169349,179962,B.Nonconsumption expenditures
1.利息支出,18278,26507,27528,18744,12769,20926,16651,1.Interest,,1.利息支出,15421,12811,11344,12629,6885,6496,13631,11397,1.Interest,,1.利息支出,6751,15410,20707,7659,16707,29569,23833,18603,22604,1.Interest
2.經常移轉支出,166522,235824,181045,167760,145458,185796,171402,2.Current transfer expenditures,,2.經常移轉支出,158485,135391,134285,125998,123604,104852,126369,134307,2.Current transfer expenditures,,2.經常移轉支出,150606,124831,132969,137631,131347,247424,183098,150746,157358,2.Current transfer expenditures
