appleL0597年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 97 年,,,,單位：元,2 0 0 8 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,7544629,812033,1165133,723694,3226902,86902,1113500,416465,No. of households
平均每戶人數,3.35,1,2,2.7,3.9,3.1,5.51,2.97,No. of persons per household
平均每戶成年人數,2.56,1,2,2.11,2.81,1.99,3.86,2.63,No. of adults per household
平均每戶就業人數,1.49,0.5,0.76,1.29,1.86,0.66,2.14,1.39,No. of persons employed per household
平均每戶所得收入者人數,1.65,1,1.23,1.51,1.83,1.22,2.19,1.62,No. of income recipients per household
一、所得收入總計,1099994,475274,795571,841322,1356023,721335,1356088,1029773,A.Total receipts
1.受僱人員報酬,623282,213492,309103,489516,839786,220121,770909,545586,1.Compensation of employees
(1)本業薪資,472570,157452,177305,393026,645873,137671,607451,417725,(1)Full time payroll
(2)兼業薪資,39310,17631,81636,24391,34626,51651,33559,38194,(2)Part time payroll
(3)其他收入,111401,38410,50162,72099,159287,30799,129899,89667,(3)Other receipts or subsidies
2.產業主所得,149688,49760,102608,75169,206288,44571,182422,101596,2.Entrepreneurial income
3.財產所得收入,51913,32367,78426,34989,53360,34060,46395,52527,3. Property income
4.自用住宅設算租金收入,66852,43339,62949,53480,76047,55971,71514,65418,4.Imputed rent income
5.經常移轉收入,208079,136125,242277,187977,180397,366173,284614,264496,5.Current transfer receipts
(1)從私人,53337,62188,87930,60555,29941,156289,51970,90216,(1)From individuals
(2)從政府,42666,35550,61845,39349,30059,70616,62040,48709,(2)From government
(3)社會保險受益,108210,36578,90753,82228,118008,133888,165160,108318,(3)Benefit of social insurance
(4)從企業,2386,303,1275,5479,2007,707,3651,4081,(4)From enterprises
(5)從國外,1479,1506,473,366,383,4673,1792,13172,(5)From abroad
6.雜項收入,181,191,208,192,144,439,234,151,6.Miscellaneous receipts
二、非消費支出,186308,84554,126143,125220,241760,78906,216341,171637,B.Nonconsumption expenditures
1.利息支出,18247,9120,11772,15971,24945,10594,15736,14520,1.Interest
2.經常移轉支出,168061,75434,114371,109248,216815,68312,200605,157117,2.Current transfer expenditures
(1)對私人,49801,31157,44943,26792,62263,23125,47830,54007,(1)To private
(2)對政府,35322,15996,25446,21137,47765,11906,36265,31236,(2)To government
(3)社會保險,79897,22509,37323,60775,105029,32966,114428,66877,(3)Social insurance
(4)對國外,3040,5772,6659,545,1757,316,2082,4998,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
97年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 97 年,,,,單位：元,2 0 0 8 Unit:NT$,,,,
