家庭戶數,5567351,827128,407203,900312,110516,370683,90121,No. of households,,家庭戶數,125174,329032,282331,133778,180828,136978,275519,308152,No. of households,,家庭戶數,221990,65542,93764,24316,99936,87235,232536,68418,195859,No. of households
平均每戶人數,4.0199999999999996,3.97,3.9,4.08,4.09,4.2699999999999996,4.3099999999999996,No. of persons per household,,平均每戶人數,4.1500000000000004,4.3,4.29,4.09,3.64,3.71,3.84,3.81,No. of persons per household,,平均每戶人數,4.0599999999999996,3.32,3.8,3.38,3.92,3.98,3.93,3.96,4.2,No. of persons per household
平均每戶成年人數,2.61,2.59,2.57,2.61,2.81,2.72,2.83,No. of adults per household,,平均每戶成年人數,2.74,2.61,2.8,2.6,2.41,2.48,2.57,2.52,No. of adults per household,,平均每戶成年人數,2.68,2.2000000000000002,2.42,2.36,2.7,2.59,2.6,2.52,2.76,No. of adults per household
平均每戶就業人數,1.75,1.66,1.66,1.69,1.74,1.87,2.02,No. of persons employed per household,,平均每戶就業人數,1.9,1.89,1.95,1.85,1.68,1.77,1.9,1.71,No. of persons employed per household,,平均每戶就業人數,1.9,1.48,1.65,1,1.73,1.67,1.66,1.53,1.81,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.69,1.67,1.71,1.83,1.83,2,No. of income recipients per household,,平均每戶所得收入者人數,1.8,1.75,1.81,1.72,1.55,1.52,1.75,1.72,No. of income recipients per household,,平均每戶所得收入者人數,1.75,1.49,1.68,1.37,1.78,1.82,1.64,1.6,1.77,No. of income recipients per household
5.經常移轉收入,79238,88776,72752,69708,109812,70358,93582,5.Current transfer receipts,,5.經常移轉收入,93715,65993,67854,78358,97351,88350,82427,74259,5.Current transfer receipts,,5.經常移轉收入,91600,66085,110783,109352,104851,86907,68234,85988,65227,5.Current transfer receipts
(1)從私人,33960,48283,34401,23495,42112,29462,37845,(1)From individuals,,(1)從私人,46216,28112,25927,28448,46506,36543,31055,25507,(1)From individuals,,(1)從私人,43579,29418,51107,55280,35510,31562,30468,40235,26109,(1)From individuals
(2)從政府,10221,8306,8342,10162,21083,7142,19252,(2)From government,,(2)從政府,8768,4970,6895,12909,10271,11252,13909,14392,(2)From government,,(2)從政府,10664,11000,18374,21564,16974,15089,5095,13929,11332,(2)From government
(3)從企業,34669,31614,29238,35120,46617,33704,36043,(3)From enterprises,,(3)從企業,38604,32911,34327,37001,40573,40555,37463,34360,(3)From enterprises,,(3)從企業,37358,25667,41118,32507,52176,40256,31833,31823,27654,(3)From enterprises
(4)從國外,388,573,771,932,0,51,442,(4)From abroad,,(4)從國外,126,0,706,0,0,0,0,0,(4)From abroad,,(4)從國外,0,0,184,0,192,0,839,0,132,(4)From abroad
6.雜項收入,254,720,313,87,224,140,361,6.Miscellaneous receipts,,6.雜項收入,127,227,189,17,292,80,255,183,6.Miscellaneous receipts,,6.雜項收入,316,456,0,318,114,23,59,192,91,6.Miscellaneous receipts
二、非消費支出,134380,170763,170868,138805,146465,143524,136344,B.Nonconsumption expenditures,,二、非消費支出,125734,122732,84597,102519,75258,84986,112163,117305,B.Nonconsumption expenditures,,二、非消費支出,110078,101546,149427,77856,140479,192597,147224,148839,114364,B.Nonconsumption expenditures
1.利息支出,33747,36473,44727,43463,32115,40468,28624,1.Interest,,1.利息支出,12936,25695,16958,25554,10763,15616,30602,30511,1.Interest,,1.利息支出,22519,36040,42511,19859,29421,49096,46582,39810,32837,1.Interest
2.經常移轉支出,100633,134290,126141,95342,114350,103056,107720,2.Current transfer expenditures,,2.經常移轉支出,112799,97037,67639,76965,64495,69370,81561,86794,2.Current transfer expenditures,,2.經常移轉支出,87558,65506,106916,57997,111057,143500,100642,109028,81527,2.Current transfer expenditures
(1)對私人,42363,52002,59133,35513,51349,45429,43343,(1)To private,,(1)對私人,61128,41303,23257,36153,27809,31973,35688,40124,(1)To private,,(1)對私人,42849,32448,54785,23152,50612,67460,39728,39458,30119,(1)To private
