appleL0588年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1999"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 88 年,,,,單位：元,1 9 9 9 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,6431105,681803,808733,492797,3092056,71158,984701,299857,No. of households
平均每戶人數,3.63,1,2,2.76,4.13,3.2,5.86,3.11,No. of persons per household
平均每戶成年人數,2.54,1,2,2.0499999999999998,2.6,1.96,4.03,2.81,No. of adults per household
平均每戶就業人數,1.6,0.53,0.89,1.38,1.84,0.82,2.31,1.71,No. of persons employed per household
平均每戶所得收入者人數,1.67,1,1.23,1.52,1.77,1.2,2.25,1.8,No. of income recipients per household
一、所得收入總計,1089575,455842,769562,850213,1256315,669427,1419303,1084532,A.Total receipts
1.受僱人員報酬,628065,207244,332271,522137,765958,210178,810935,633499,1.Compensation of employees
(1)本業薪資,485615,153016,212359,418069,600249,145643,633582,502542,(1)Full time payroll
(2)兼業薪資,30388,23783,64093,16520,23146,36263,36641,30043,(2)Part time payroll
(3)其他收入,112063,30445,55819,87549,142563,28272,140711,100914,(3)Other receipts or subsidies
2.產業主所得,179790,50029,99666,94083,230820,67940,240264,133532,2.Entrepreneurial income
3.財產所得收入,66888,32958,85815,45572,70016,65838,77611,60807,3. Property income
4.自用住宅設算租金收入,67517,39232,59654,54390,74827,59735,78396,65360,4.Imputed rent income
5.經常移轉收入,147096,126196,191928,133829,114485,265598,211818,191120,5.Current transfer receipts
(1)從私人,44135,59733,81985,50845,24628,141432,44463,72541,(1)From individuals
(2)從政府,35071,35091,45835,30017,25046,55282,56503,42502,(2)From government
(3)社會保險受益,66133,30175,63375,50492,64168,65893,106988,67201,(3)Benefit of social insurance
(4)從企業,1054,92,146,728,599,66,3463,3249,(4)From enterprises
(5)從國外,703,1105,588,1747,45,2926,401,5628,(5)From abroad
6.雜項收入,218,183,228,202,208,138,279,214,6.Miscellaneous receipts
二、非消費支出,200522,75894,135266,143406,242884,85647,246212,194162,B.Nonconsumption expenditures
1.利息支出,45657,19324,25549,37201,59452,13510,46055,37724,1.Interest
2.經常移轉支出,154865,56570,109717,106205,183432,72137,200157,156438,2.Current transfer expenditures
(1)對私人,50701,25586,44252,33120,59174,28131,55505,56304,(1)To private
(2)對政府,32218,10372,21491,20816,40429,10555,38455,29546,(2)To government
(3)社會保險,67930,17893,33526,51846,81383,33176,101328,60767,(3)Social insurance
(4)對國外,4017,2719,10448,423,2445,275,4869,9821,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
88年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1999"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 88 年,,,,單位：元,1 9 9 9 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,655282,280975,438924,529921,760016,497490,853578,602192,C.Consumption expenditures
1.食品費,153578,52260,90106,124924,178129,119479,219680,140079,1.Food
2.飲料費,6332,2947,4001,4866,7297,3854,8463,6365,2.Beverage
3.菸草,4893,2638,2929,4055,5188,3424,7531,5344,3.Tobacco
4.衣著、鞋、襪類,26729,9511,15598,20924,31775,15615,35837,26134,4.Clothing and footwear
5.房地租及水費,145365,93888,122507,132083,160713,122571,160670,142772,5.Rent and water charges
6.燃料及燈光,17849,8355,12840,15331,19826,15203,24130,16704,6.Fuel and light
7.家具及家庭設備,12872,5949,9319,9059,15144,7797,15044,15114,7.Furniture and family facilities
8.家事管理,13505,5524,7942,9545,17083,9535,15745,9853,8.Household operations
9.保健及醫療,71852,32761,67918,56178,70062,77891,114745,73266,9.Health care and medical
10.運輸交通及通訊,72828,24797,39488,51615,89317,39175,96740,66254,10.Transport and communications
(1)交通及通訊工具之購置,12874,3399,5353,6079,16612,6283,18452,10559,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,31369,8906,16922,20905,38453,13318,44033,28252,(2)Operation of transport equipment
(3)乘交通設備之費用,9302,4630,5862,9131,11070,7033,10150,9002,(3)Purchased transportation
(4)其他通訊費,14135,6433,8410,12310,16885,10012,16927,13533,(4)Other communications
(5)汽機車保險費支出,5149,1427,2940,3190,6296,2529,7178,4907,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,84912,23187,36688,62927,114354,53069,97330,54634,"11.Recreation ,education and culture"
(1)旅遊費用,21438,11032,22552,14382,23989,10761,24267,20627,(1)Traveling
(2)娛樂消遣服務,9044,5252,6136,8203,10633,6177,9850,8529,(2)Recreation service
(3)書報雜誌文具,5638,2049,3150,4269,7216,3810,6356,4562,(3)Books and stationery
(4)娛樂器材及附屬品,8193,3387,4332,6371,10522,5118,8698,7586,(4)Recreation facilities
(5)教育與研究費,40599,1467,517,29703,61994,27203,48159,13329,(5)Education and research
12.什項消費,44566,19157,29588,38413,51127,29877,57662,45673,12.Miscellaneous
可支配所得,889053,379948,634296,706807,1013431,583780,1173091,890370,Disposable income
消費支出,655282,280975,438924,529921,760016,497490,853578,602192,Consumption expenditures
儲蓄,233770,98973,195372,176886,253415,86290,319513,288178,Saving
所得總額,1135817,481619,810812,891453,1306930,709836,1473757,1128301,Current receipts
