黃麗妃L0883年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 83 年,,1 9 9 4,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,5567351,4810037,757314,Total
"未滿200,000元",146822,91711,55111,"Under NT$200,000"
"200,000～299,999",245317,165808,79509,"200,000～299,999"
"300,000～399,999",280815,200218,80597,"300,000～399,999"
"400,000～499,999",370144,284948,85196,"400,000～499,999"
"500,000～599,999",485550,406624,78926,"500,000～599,999"
"600,000～699,999",541363,471772,69591,"600,000～699,999"
"700,000～799,999",548315,488568,59747,"700,000～799,999"
"800,000～899,999",503631,459726,43905,"800,000～899,999"
"900,000～999,999",443935,405537,38398,"900,000～999,999"
"1,000,000～1,099,999",341313,308626,32687,"1,000,000～1,099,999"
"1,100,000～1,199,999",298111,273428,24683,"1,100,000～1,199,999"
"1,200,000～1,299,999",252845,228574,24271,"1,200,000～1,299,999"
"1,300,000～1,399,999",195340,180660,14680,"1,300,000～1,399,999"
"1,400,000～1,499,999",160861,148594,12267,"1,400,000～1,499,999"
"1,500,000～1,649,999",200643,184968,15675,"1,500,000～1,649,999"
"1,650,000～1,799,999",136448,125921,10527,"1,650,000～1,799,999"
"1,800,000～1,999,999",140128,130368,9760,"1,800,000～1,999,999"
"2,000,000～2,299,999",124787,115376,9411,"2,000,000～2,299,999"
"2,300,000～2,699,999",73173,66513,6660,"2,300,000～2,699,999"
"2,700,000～3,499,999",51217,47454,3763,"2,700,000～3,499,999"
"3,500,000元及以上",26593,24643,1950,"Above $3,500,000"
