appleL05104年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 104 年,,,,單位：元,2 0 1 5 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8386495,991637,1598503,865369,2975369,100553,1196715,658349,No. of households
平均每戶人數,3.1,1,2,2.48,3.75,2.94,5.24,2.98,No. of persons per household
平均每戶成年人數,2.5299999999999998,1,2,2.0699999999999998,2.91,2.1,3.81,2.75,No. of adults per household
平均每戶就業人數,1.43,0.47,0.71,1.3,1.87,0.7,2.17,1.5,No. of persons employed per household
平均每戶所得收入者人數,1.72,1,1.3,1.54,1.97,1.41,2.38,1.82,No. of income recipients per household
一、所得收入總計,1167284,478212,854821,895375,1494766,736880,1571630,1171980,A.Total receipts
1.受僱人員報酬,665122,199416,326819,535914,952398,260127,924747,649440,1.Compensation of employees
(1)本業薪資,493144,145395,184713,427469,714781,162625,714880,497891,(1)Full time payroll
(2)兼業薪資,45639,21550,91595,16471,42295,66462,36413,37377,(2)Part time payroll
(3)其他收入,126340,32471,50511,91974,195321,31041,173454,114171,(3)Other receipts or subsidies
2.產業主所得,147585,40050,111457,81128,206837,54439,203567,129321,2.Entrepreneurial income
3.財產所得收入,52896,24683,78733,27098,56818,43122,56016,44661,3. Property income
4.自用住宅設算租金收入,72486,44950,72563,56387,82641,58322,83056,71997,4.Imputed rent income
5.經常移轉收入,229085,169014,265159,194693,195975,320764,304115,276435,5.Current transfer receipts
(1)從私人,67194,83451,103957,64064,37008,157598,60316,92678,(1)From individuals
(2)從政府,49433,35937,49722,48168,42295,62579,73549,57139,(2)From government
(3)社會保險受益,109387,47297,108531,79924,114430,96884,166631,118784,(3)Benefit of social insurance
(4)從企業,1856,1103,1737,2219,1814,1333,2540,1834,(4)From enterprises
(5)從國外,1214,1227,1213,318,428,2370,1080,6000,(5)From abroad
6.雜項收入,109,100,90,154,98,106,129,126,6.Miscellaneous receipts
二、非消費支出,202388,74453,130359,141574,282711,78092,265011,192057,B.Nonconsumption expenditures
1.利息支出,10113,4423,6400,7411,15521,2629,10075,8015,1.Interest
2.經常移轉支出,192276,70030,123959,134163,267190,75463,254936,184042,2.Current transfer expenditures
(1)對私人,44529,27104,42220,23761,58932,19826,42721,45647,(1)To private
(2)對政府,32518,11998,24991,18603,46743,12771,37532,29609,(2)To government
(3)社會保險,113304,30023,52513,91578,159842,42849,173346,106202,(3)Social insurance
(4)對國外,1924,905,4235,221,1673,18,1337,2585,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
104年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2015"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 104 年,,,,單位：元,2 0 1 5 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,759647,338629,570590,600447,935468,579723,1056804,754813,C.Consumption expenditures
1.食品及非酒精飲料,111500,39039,86940,83791,129990,104734,179878,109872,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9119,4651,5696,8274,10524,5304,14224,10225,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22459,8619,14564,17196,29662,14622,31296,21966,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,187145,128278,173683,164166,214047,158053,207163,185179,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,167148,118337,157421,147239,191295,139016,178440,165098,(1)Rent and water charges
(2)電費及燃料,19997,9940,16262,16926,22752,19037,28723,20081,(2)Power and fuel
5.家具設備及家務維護,18605,8488,15933,12974,22864,12692,24312,19013,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,114303,47665,101331,85380,124938,86620,178352,123929,6.Health
7.交通,69490,23903,43719,48544,93282,39328,99415,70948,7.Transport
(1)個人交通工具之購置,11719,4566,5628,7765,15332,10719,17736,15362,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43046,13236,27942,28710,58276,18817,63424,41299,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9719,4448,6746,8928,12877,7635,11102,9445,(3)Transport services
(4)汽、機車保險費,5006,1652,3403,3142,6797,2157,7153,4842,(4)Insurance of vehicles
8.通訊,26760,9775,14904,23981,35811,17498,37266,26190,8.Communication
9.休閒與文化,42626,17050,35646,30140,58596,23097,47345,36742,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),21089,7287,21718,12836,29509,6636,19894,17522,(1)Package holidays
(2)娛樂消遣及文化服務,10759,6390,8006,8955,13668,8362,12552,10363,(2)Recreational and cultural services
(3)書報雜誌文具,4658,763,1567,3613,7221,4577,7397,2852,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6120,2610,4355,4735,8198,3523,7503,6005,(4)Recreational facilities
10.教育,30616,570,516,21884,53022,32880,55884,12892,10.Education
11.餐廳及旅館,85579,32356,46869,75317,112961,52732,122362,87633,11.Restaurants and hotels
12.什項消費,41446,18235,30790,28800,49773,32162,59306,50224,12.Miscellaneous goods and services
可支配所得,964895,403759,724462,753801,1212055,658788,1306618,979923,Disposable income
消費支出,759647,338629,570590,600447,935468,579723,1056804,754813,Consumption expenditures
儲蓄,205248,65130,153873,153354,276587,79065,249815,225110,Saving
所得總額,1224600,513804,913639,941417,1560420,785130,1633945,1227804,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
