appleL13100年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 100 年,,2 0 1 1,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,13373384,1560851,11812533,No. of income recipients
一、所得收入總計,611134,453162,632007,A.Total receipts
1.受僱人員報酬,382495,215635,404543,1.Compensation of employees
(1)本業薪資,285922,165955,301774,(1)Full time payroll
(2)兼業薪資,23121,14292,24288,(2)Part time payroll
(3)其他收入,73451,35389,78481,(3)Other receipts or subsidies
2.產業主所得,87496,119683,83243,2.Entrepreneurial income
(1)農業淨收入,9932,75392,1282,(1)Net agricultural income
(2)營業淨收入,77564,44291,81960,(2)Net operation surplus
3.財產所得收入,28031,13721,29922,3. Property income
4.自用住宅設算租金收入,37792,26773,39249,4.Imputed rent income
5.經常移轉收入,75251,77267,74985,5.Current transfer receipts
(1)從私人,26202,20011,27020,(1)From individuals
(2)從政府,17588,28551,16139,(2)From government
(3)社會保險受益,30015,27824,30305,(3)Benefit of social insurance
(4)從企業,751,754,751,(4)From enterprises
(5)從國外,695,127,770,(5)From abroad
6.雜項收入,69,83,67,6.Miscellaneous receipts
二、非消費支出,104096,68639,108781,B.Nonconsumption expenditures
1.利息支出,7518,1801,8273,1.Interest
2.經常移轉支出,96578,66837,100508,2.Current transfer expenditures
(1)對私人,26639,20443,27458,(1)To private
(2)對政府,19119,12252,20027,(2)To government
(3)社會保險,49124,33168,51233,(3)Social insurance
(4)對國外,1696,975,1791,(4)To abroad
三、可支配所得,507038,384524,523227,C.Disposable income
