appleL1286年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 86 年,,,,單位：元,1 9 9 7 Unit:NT$,,,,,民 國 86 年,,,,單位：元,1 9 9 7 Unit:NT$,,,,,,民 國 86 年,,,,,單位：元,1 9 9 7 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
所得收入者人數,10411639,1446177,746455,1737508,213687,792671,208381,No. of income recipients,,所得收入者人數,264025,615808,521802,238840,302179,233889,499310,581508,No. of income recipients,,所得收入者人數,400365,104768,162587,31875,198928,168169,457751,123525,361431,No. of income recipients
一、所得收入總計,586176,803847,648800,603089,510538,593102,522620,A.Total receipts,,一、所得收入總計,482539,514366,484338,485701,444109,441115,456706,518489,A.Total receipts,,一、所得收入總計,501719,419407,521987,458735,550685,649601,648536,605934,568951,A.Total receipts
1.受僱人員報酬,355881,490123,405295,390224,317036,382153,355311,1.Compensation of employees,,1.受僱人員報酬,312655,328568,282318,242332,231808,199110,253517,333104,1.Compensation of employees,,1.受僱人員報酬,273579,221387,278956,250608,376092,403883,353310,358311,302885,1.Compensation of employees
(1)本業薪資,278740,374014,315067,314447,251657,288665,283031,(1)Full time payroll,,(1)本業薪資,238430,264827,232508,192334,191933,160325,204205,266064,(1)Full time payroll,,(1)本業薪資,210966,175637,213052,192575,298140,293064,263899,267331,239644,(1)Full time payroll
(2)兼業薪資,13871,19678,21400,8829,14735,14410,6544,(2)Part time payroll,,(2)兼業薪資,20675,10188,5275,9940,5669,10677,12373,12042,(2)Part time payroll,,(2)兼業薪資,14317,19270,20889,14246,14529,30742,18118,19920,11208,(2)Part time payroll
(3)其他收入,63270,96430,68827,66948,50644,79078,65737,(3)Other receipts or subsidies,,(3)其他收入,53550,53553,44534,40057,34206,28108,36939,54998,(3)Other receipts or subsidies,,(3)其他收入,48295,26480,45015,43787,63422,80077,71293,71060,52033,(3)Other receipts or subsidies
2.產業主所得,111159,139398,106584,98170,75829,98955,61998,2.Entrepreneurial income,,2.產業主所得,71173,95677,113073,144698,110443,130093,106273,99174,2.Entrepreneurial income,,2.產業主所得,118664,112122,116318,91652,76764,105222,156701,109595,146456,2.Entrepreneurial income
(1)農業淨收入,11936,2986,3156,2062,15775,4637,13776,(1)Net agricultural income,,(1)農業淨收入,10760,12834,19975,35379,31024,52606,26077,18645,(1)Net agricultural income,,(1)農業淨收入,37983,45986,18370,51219,287,1336,4250,5276,3933,(1)Net agricultural income
(2)營業淨收入,94017,130795,99047,91023,55357,90438,47922,(2)Net operation surplus,,(2)營業淨收入,59170,77253,91491,92539,67941,70608,77410,78379,(2)Net operation surplus,,(2)營業淨收入,74155,66135,92800,40433,75075,91248,137241,104319,140635,(2)Net operation surplus
(3)執行業務淨收入,5206,5617,4381,5085,4698,3881,300,(3)Net professional income,,(3)執行業務淨收入,1243,5589,1607,16780,11479,6878,2786,2150,(3)Net professional income,,(3)執行業務淨收入,6526,0,5149,0,1401,12638,15209,0,1887,(3)Net professional income
3.財產所得收入,35555,63712,45252,38975,31872,25976,19811,3. Property income,,3.財產所得收入,26076,27803,23797,24814,21952,24746,19202,19436,3. Property income,,3.財產所得收入,33235,11571,23193,31698,19884,40056,44507,52842,34499,3. Property income
4.自用住宅設算租金收入,36682,52039,40763,37206,20478,49782,44404,4.Imputed rent income,,4.自用住宅設算租金收入,27078,26279,29117,23891,25108,25412,29292,25686,4.Imputed rent income,,4.自用住宅設算租金收入,20698,24233,30326,12412,28528,40949,46819,33249,46821,4.Imputed rent income
5.經常移轉收入,46704,57616,50794,38491,65196,36203,40865,5.Current transfer receipts,,5.經常移轉收入,45506,36024,35946,49945,54713,61686,48245,41062,5.Current transfer receipts,,5.經常移轉收入,55353,49933,73106,72212,49339,59480,47091,51881,38276,5.Current transfer receipts
(1)從私人,17611,32491,22248,12681,22743,8583,14355,(1)From individuals,,(1)從私人,14903,9237,11896,15755,20014,28452,15630,11074,(1)From individuals,,(1)從私人,19554,14382,30128,23674,11996,16663,20826,21166,11644,(1)From individuals
(2)從政府,11006,8696,9718,9914,13279,11860,10890,(2)From government,,(2)從政府,9783,10590,9244,11892,14014,13424,12909,11822,(2)From government,,(2)從政府,13942,19200,17357,28296,14537,15131,9115,12085,8701,(2)From government
(3)社會保險受益,17498,15625,18491,14840,26236,14867,15602,(3)Benefit of social insurance,,(3)社會保險受益,20672,16150,14248,21247,20172,19186,19613,18120,(3)Benefit of social insurance,,(3)社會保險受益,21843,16264,25361,20242,22624,26767,16498,18557,17905,(3)Benefit of social insurance
(4)從企業,323,484,187,842,673,80,18,(4)From enterprises,,(4)從企業,147,48,559,550,2,203,92,46,(4)From enterprises,,(4)從企業,14,87,205,0,69,33,361,7,26,(4)From enterprises
(5)從國外,266,321,150,213,2265,814,0,(5)From abroad,,(5)從國外,0,0,0,501,511,421,0,0,(5)From abroad,,(5)從國外,0,0,54,0,113,886,290,66,0,(5)From abroad
6.雜項收入,194,960,113,24,126,32,231,6.Miscellaneous receipts,,6.雜項收入,52,15,87,22,86,68,177,28,6.Miscellaneous receipts,,6.雜項收入,191,161,88,152,79,11,108,55,14,6.Miscellaneous receipts
二、非消費支出,104773,129688,123073,116640,96862,110681,92765,B.Nonconsumption expenditures,,二、非消費支出,86638,97022,74153,77184,68286,74395,74950,95710,B.Nonconsumption expenditures,,二、非消費支出,85873,74706,94509,84533,94891,130807,119938,123353,107534,B.Nonconsumption expenditures
1.利息支出,25082,24836,30847,32831,21870,27851,15606,1.Interest,,1.利息支出,12350,25892,12282,18087,9203,12966,17689,23364,1.Interest,,1.利息支出,16552,14501,22870,13226,25299,36499,34180,28668,39680,1.Interest
2.經常移轉支出,79691,104852,92226,83810,74993,82830,77159,2.Current transfer expenditures,,2.經常移轉支出,74288,71130,61870,59098,59083,61428,57261,72346,2.Current transfer expenditures,,2.經常移轉支出,69321,60206,71640,71306,69592,94308,85758,94685,67854,2.Current transfer expenditures
(1)對私人,27569,33702,33055,27599,32657,26994,25604,(1)To private,,(1)對私人,30657,21238,18350,24644,23042,27121,20311,27676,(1)To private,,(1)對私人,29675,25390,30466,34928,24558,38885,26233,37205,19785,(1)To private
(2)對政府,17611,28210,22546,18625,14554,18015,14883,(2)To government,,(2)對政府,12926,15524,13672,11324,9597,10487,10826,12930,(2)To government,,(2)對政府,11752,8746,13603,7026,12238,19681,21842,20375,15159,(2)To government
(3)社會保險,33284,40575,34347,36567,27585,36558,36219,(3)Social insurance,,(3)社會保險,29967,33081,29848,23129,24889,23820,26079,31591,(3)Social insurance,,(3)社會保險,25799,23935,27012,28793,30950,34397,36259,32691,32307,(3)Social insurance
(4)對國外,1227,2366,2278,1018,197,1262,453,(4)To abroad,,(4)對國外,737,1286,0,0,1555,0,45,149,(4)To abroad,,(4)對國外,2095,2134,558,560,1847,1346,1424,4414,602,(4)To abroad
三、可支配所得,481404,674159,525727,486449,413675,482421,429854,C.Disposable income,,三、可支配所得,395901,417344,410185,408517,375824,366721,381756,422780,C.Disposable income,,三、可支配所得,415846,344701,427477,374202,455794,518794,528598,482581,461416,C.Disposable income
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,,,meaningless for precise statistics.,,,,
