appleL05103年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 103 年,,,,單位：元,2 0 1 4 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8290000,982582,1486267,801614,3095327,91508,1164754,667948,No. of households
平均每戶人數,3.15,1,2,2.4900000000000002,3.77,3.04,5.28,3.04,No. of persons per household
平均每戶成年人數,2.5499999999999998,1,2,2.09,2.9,2.14,3.84,2.77,No. of adults per household
平均每戶就業人數,1.45,0.47,0.72,1.29,1.89,0.85,2.14,1.49,No. of persons employed per household
平均每戶所得收入者人數,1.71,1,1.3,1.53,1.95,1.38,2.2999999999999998,1.77,No. of income recipients per household
一、所得收入總計,1157926,478342,853071,871955,1474036,791476,1526264,1122184,A.Total receipts
1.受僱人員報酬,667520,199193,321059,537649,958573,264301,878174,622369,1.Compensation of employees
(1)本業薪資,493931,145215,181950,421407,718828,183508,670328,480880,(1)Full time payroll
(2)兼業薪資,44037,18713,89297,24055,40949,42156,36165,32852,(2)Part time payroll
(3)其他收入,129552,35265,49812,92187,198797,38637,171681,108638,(3)Other receipts or subsidies
2.產業主所得,151601,47301,119698,72163,198469,102083,226485,130365,2.Entrepreneurial income
3.財產所得收入,50945,27106,82810,25569,54322,44100,47569,36743,3. Property income
4.自用住宅設算租金收入,69901,42220,69677,55512,79408,61213,80075,67777,4.Imputed rent income
5.經常移轉收入,217829,162348,259717,180916,183142,319436,293819,264851,5.Current transfer receipts
(1)從私人,63228,80904,100103,58536,35013,137219,59480,87950,(1)From individuals
(2)從政府,48386,33933,50683,49286,40171,65813,72117,57762,(2)From government
(3)社會保險受益,102305,45292,106669,69394,104792,116021,157238,106773,(3)Benefit of social insurance
(4)從企業,2535,1327,1842,2893,3026,384,3513,1743,(4)From enterprises
(5)從國外,1374,891,420,808,140,0,1471,10624,(5)From abroad
6.雜項收入,130,175,110,147,122,341,142,78,6.Miscellaneous receipts
二、非消費支出,201077,76000,131692,133222,279533,97141,251760,183180,B.Nonconsumption expenditures
1.利息支出,11839,5730,6810,8617,17972,4512,11035,9863,1.Interest
2.經常移轉支出,189238,70271,124882,124606,261561,92629,240725,173316,2.Current transfer expenditures
(1)對私人,45272,27078,42399,23920,59684,24921,42055,45668,(1)To private
(2)對政府,32093,11540,24879,17476,46243,15015,35130,27392,(2)To government
(3)社會保險,109480,29532,53425,82955,153117,52577,161461,98586,(3)Social insurance
(4)對國外,2393,2122,4180,254,2517,115,2079,1671,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
103年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2014"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 103 年,,,,單位：元,2 0 1 4 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,755169,330040,569235,588352,927044,609882,1034236,731269,C.Consumption expenditures
1.食品及非酒精飲料,110468,38368,87111,82546,129326,109029,172927,105901,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9377,4609,6004,8438,10565,6370,14459,11068,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22832,8345,14222,16727,30041,16256,31722,22620,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,184701,121304,170946,165285,210621,155777,202998,183807,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,163062,110628,153410,146864,185964,134476,172580,162300,(1)Rent and water charges
(2)電費及燃料,21639,10676,17536,18422,24657,21302,30418,21507,(2)Power and fuel
5.家具設備及家務維護,18464,7976,15274,14946,22598,13029,23208,18522,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,112270,49258,106935,78535,120361,108251,172554,115260,6.Health
7.交通,72146,24970,49328,48617,95601,40499,100790,66242,7.Transport
