appleL03109年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 109 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8829466,583855,8245611,No. of households
平均每戶人數,2.92,3.08,2.91,No. of persons per household
平均每戶成年人數,2.48,2.68,2.46,No. of adults per household
平均每戶就業人數,1.37,1.85,1.33,No. of persons employed per household
平均每戶所得收入者人數,1.76,1.81,1.76,No. of income recipients per household
一、所得收入總計,1293719,1094281,1307841,A.Total receipts
1.受僱人員報酬,725932,361766,751718,1.Compensation of employees
(1)本業薪資,537318,266516,556493,(1)Full time payroll
(2)兼業薪資,46561,24971,48089,(2)Part time payroll
(3)其他收入,142053,70279,147135,(3)Other receipts or subsidies
2.產業主所得,155828,322478,144028,2.Entrepreneurial income
3.財產所得收入,56716,32433,58436,3. Property income
4.自用住宅設算租金收入,76072,54866,77573,4.Imputed rent income
5.經常移轉收入,279122,322673,276038,5.Current transfer receipts
(1)從私人,71247,55811,72340,(1)From individuals
(2)從政府,61052,118372,56994,(2)From government
(3)社會保險受益,143566,144987,143465,(3)Benefit of social insurance
(4)從企業,2767,3502,2715,(4)From enterprises
(5)從國外,489,0,524,(5)From abroad
6.雜項收入,50,65,49,6.Miscellaneous receipts
二、非消費支出,214071,145196,218948,B.Nonconsumption expenditures
1.利息支出,10589,2343,11173,1.Interest
2.經常移轉支出,203481,142853,207774,2.Current transfer expenditures
(1)對私人,47164,33319,48145,(1)To private
(2)對政府,34291,23947,35024,(2)To government
(3)社會保險,120668,85498,123158,(3)Social insurance
(4)對國外,1358,89,1448,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 2 0,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,815100,698691,823342,C.Consumption expenditures
1.食品及非酒精飲料,118015,124745,117539,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9187,13954,8850,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22396,17706,22728,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,198145,132649,202783,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,180916,114627,185610,(1)Rent and water charges
(2)電費及燃料,17229,18023,17173,(2)Power and fuel
5.家具設備及家務維護,22907,17062,23321,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,139010,144199,138643,6.Health
7.交通,72553,72229,72576,7.Transport
(1)個人交通工具之購置,13425,12235,13509,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43889,48186,43584,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,8462,4116,8770,(3)Transport services
(4)汽、機車保險費,6777,7690,6712,(4)Insurance of vehicles
8.通訊,23191,20786,23361,8.Communication
9.休閒與文化,33993,21226,34897,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),12056,6681,12437,(1)Package holidays
(2)娛樂消遣及文化服務,11550,7703,11822,(2)Recreational and cultural services
(3)書報雜誌文具,3582,2782,3639,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6804,4059,6999,(4)Recreational facilities
10.教育,27471,18541,28104,10.Education
11.餐廳及旅館,106533,76620,108651,11.Restaurants and hotels
12.什項消費,41699,38974,41892,12.Miscellaneous goods and services
可支配所得,1079648,949084,1088893,Disposable income
消費支出,815100,698691,823342,Consumption expenditures
儲蓄,264548,250393,265551,Saving
所得總額,1356343,1134542,1372048,Current receipts
