第27表戶數五等分位組之平均每戶人數與就業人數,,,,,,,,
Table 27. Average Number of Persons and Employed Persons perHousehold by Disposable Income Quintile,,,,,,,,
單位：人,,,,,,,,
Unit：Person,,,,,,,,
年別,全體家庭,可支配所得按戶數五等分位組,第五分位組為第一分位組之倍數,,,,,
Disposable income quintile,,,,,,,,
Year,General Average,1,2,3,4,5,Ratio of highestgroup overlowest group,
最低所得組,Second 20%,Third 20%,Fourth 20%,最高所得組,,,,
Lowest 20%,Highest 20%,,,,,,,
平均每戶人數No. of persons per household,,,,,,,,
110年,2021,2.89,1.62,2.2999999999999998,2.95,3.52,4.03,2.4900000000000002
111年,2022,2.83,1.61,2.2599999999999998,2.9,3.45,3.91,2.4300000000000002
112年,2023,2.79,1.57,2.2000000000000002,2.84,3.43,3.89,2.48
113年,2024,2.78,1.6,2.21,2.81,3.4,3.9,2.44
114年,2025,2.69,1.55,2.08,2.7,3.35,3.77,2.4300000000000002
平均每戶就業人數No. of employed persons per household,,,,,,,,
69年,1980,1.93,1.45,1.66,1.76,2.11,2.65,1.83
70年,1981,1.92,1.45,1.68,1.78,2.08,2.61,1.8
75年,1986,1.83,1.1399999999999999,1.55,1.79,2.06,2.62,2.2999999999999998
76年,1987,1.8,1.1100000000000001,1.53,1.72,2.0299999999999998,2.61,2.35
77年,1988,1.78,1.0900000000000001,1.5,1.72,2.06,2.5299999999999998,2.3199999999999998
78年,1989,1.77,1.1000000000000001,1.51,1.7,2,2.52,2.29
79年,1990,1.77,1.05,1.46,1.7,2.0299999999999998,2.59,2.4700000000000002
80年,1991,1.76,1.1000000000000001,1.49,1.69,2,2.52,2.29
81年,1992,1.75,1.05,1.46,1.68,2.02,2.5499999999999998,2.4300000000000002
82年,1993,1.77,0.94,1.46,1.74,2.08,2.6,2.77
83年,1994,1.75,0.91,1.44,1.77,2.1,2.54,2.79
84年,1995,1.71,0.85,1.39,1.73,2.06,2.54,2.99
85年,1996,1.71,0.84,1.39,1.72,2.06,2.5499999999999998,3.04
86年,1997,1.69,0.8,1.36,1.74,2.0499999999999998,2.52,3.15
87年,1998,1.64,0.73,1.34,1.68,2.0099999999999998,2.4500000000000002,3.36
88年,1999,1.6,0.68,1.27,1.66,1.96,2.44,3.59
89年,2000,1.58,0.68,1.29,1.59,1.94,2.41,3.54
90年,2001,1.56,0.66,1.23,1.62,1.96,2.35,3.56
91年,2002,1.57,0.7,1.25,1.62,1.98,2.3199999999999998,3.31
92年,2003,1.54,0.62,1.2,1.59,1.94,2.35,3.79
93年,2004,1.53,0.6,1.21,1.59,1.93,2.34,3.9
94年,2005,1.51,0.56000000000000005,1.18,1.56,1.92,2.31,4.13
95年,2006,1.52,0.59,1.19,1.59,1.9,2.3199999999999998,3.93
96年,2007,1.5,0.6,1.1399999999999999,1.56,1.93,2.29,3.82
97年,2008,1.49,0.54,1.1499999999999999,1.55,1.94,2.27,4.2
98年,2009,1.46,0.53,1.1399999999999999,1.53,1.85,2.25,4.25
99年,2010,1.44,0.53,1.1000000000000001,1.5,1.84,2.21,4.17
