L10104年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 104 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
家庭戶數,8386495,786060,7600435,No. of households
平均每戶人數,3.1,3.34,3.08,No. of persons per household
平均每戶成年人數,2.5299999999999998,2.81,2.5,No. of adults per household
平均每戶就業人數,1.43,1.9,1.38,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.86,1.71,No. of income recipients per household
一、家庭住宅概況(％),,,,A.Housing (%)
1.住宅所有權,,,,1.By tenure of dwelling
(1)自有(戶內經常   居住成員所擁有),84.23,95.74,83.04,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,4.2300000000000004,1.71,4.49,"(2)Owned by spouse, parentsor children not living together"
(3)租押,8.2200000000000006,0.97,8.9700000000000006,(3)Rented
(4)其他(含配住及借用),3.32,1.59,3.5,(4)Allotted and others
2.住宅用途,,,,2.By usage of dwelling
(1)專用,96.31,96.14,96.33,(1)Independent
(2)併用,3.69,3.86,3.67,(2)Connected
3.建築式樣,,,,3.By style of building
(1)平房,9.66,27.72,7.79,(1)One story
(2)二～三層樓,39.76,66.010000000000005,37.04,(2)Two or three stories
(3)四～五層樓,29.48,5.22,31.99,(3)Four or five stories
(4)六層樓以上,21.1,1.05,23.18,"(4)Apartment, six stories or over"
4.具有自來水設備,95.67,87.61,96.51,4.Piped water equipment
5.有車家庭停車位情形,,,,5.Parking lot
(1)自有停車位,51.45,74.040000000000006,48.81,(1)Self-owned
(2)租借停車位,12.36,2.36,13.53,(2)Rented
(3)無停車位,36.19,23.59,37.659999999999997,(3)None
6.每戶建坪平均數(坪),43.99,54.52,42.9,6.Space per household average (pin)
7.每戶建坪中位數(坪),38,50,36,7.Space per household median (pin)
二、家庭主要設備,,,,B.Main household equipment (%)
1.普及率(％),,,,1.Percentage of household with equip.
(1)彩色電視機,99.2,99.56,99.16,(1)Color TV
一般彩色電視機,30.09,40.25,29.04,Non-LCD TV
液晶、電漿電視,82.2,76.53,82.78,LCD、PDP TV
(2)數位影音光碟機,24.45,9.32,26.02,(2)DVD player
(3)攝影機,5.32,1.97,5.67,(3)Movies camera
(4)音響,25.02,16.98,25.85,(4)Stereo
(5)鋼琴(含電子琴),8.57,3.82,9.06,(5)Piano
