appleL17,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,
第6表 所得收入者人數按性別及可支配所得組別分,,,,
Table 6. Numbers of Income Recipients by Sex,,,,
and Disposable Income Groups,,,,
,,,,單位：人
,民 國 95 年,,2 0 0 6,Unit：persons
可支配所得組別,合 計Total,性 別 Sex,Disposable income groups,
,,,,
男,女,,,
Male,Female,,,
總   計,12099722,7322437,4777285,Total
"未滿160,000元",734596,353575,381021,"Under NT$160,000"
"160,000～179,999",218858,101854,117004,"160,000～179,999"
"180,000～199,999",269396,131434,137962,"180,000～199,999"
"200,000～219,999",313272,131903,181369,"200,000～219,999"
"220,000～239,999",388526,170254,218272,"220,000～239,999"
"240,000～259,999",439302,183609,255692,"240,000～259,999"
"260,000～279,999",432698,193199,239499,"260,000～279,999"
"280,000～299,999",431078,193483,237596,"280,000～299,999"
"300,000～319,999",437321,212381,224939,"300,000～319,999"
"320,000～339,999",460712,226264,234448,"320,000～339,999"
"340,000～359,999",481002,239850,241152,"340,000～359,999"
"360,000～379,999",464143,245638,218504,"360,000～379,999"
"380,000～399,999",416328,249735,166592,"380,000～399,999"
"400,000～419,999",393986,223870,170116,"400,000～419,999"
"420,000～439,999",378291,232545,145746,"420,000～439,999"
"440,000～459,999",369316,239483,129833,"440,000～459,999"
"460,000～479,999",354739,239994,114745,"460,000～479,999"
"480,000～499,999",340054,225270,114784,"480,000～499,999"
"500,000～519,999",286741,196376,90365,"500,000～519,999"
"520,000～539,999",273777,194243,79534,"520,000～539,999"
"540,000～559,999",261408,191460,69948,"540,000～559,999"
"560,000～579,999",254910,180775,74135,"560,000～579,999"
"580,000～599,999",244787,174086,70701,"580,000～599,999"
"600,000～619,999",218809,159352,59457,"600,000～619,999"
"620,000～639,999",175233,130092,45141,"620,000～639,999"
"640,000～659,999",188216,138763,49453,"640,000～659,999"
"660,000～689,999",253968,181560,72408,"660,000～689,999"
"690,000～719,999",227355,169175,58180,"690,000～719,999"
"720,000～749,999",202255,145591,56664,"720,000～749,999"
"750,000～789,999",270194,201189,69005,"750,000～789,999"
"790,000～829,999",262577,193827,68750,"790,000～829,999"
"830,000～879,999",278680,207759,70921,"830,000～879,999"
"880,000～939,999",256913,188612,68301,"880,000～939,999"
"940,000～999,999",195110,141982,53128,"940,000～999,999"
"1,000,000～1,069,999",193806,145123,48683,"1,000,000～1,069,999"
"1,070,000～1,149,999",166293,126081,40212,"1,070,000～1,149,999"
"1,150,000～1,249,999",133792,102904,30889,"1,150,000～1,249,999"
"1,250,000～1,399,999",146575,118160,28415,"1,250,000～1,399,999"
"1,400,000～1,799,999",154560,128970,25590,"1,400,000～1,799,999"
"1,800,000～2,499,999",86435,75746,10689,"1,800,000～2,499,999"
"2,500,000元及以上",43709,36271,7438,"Above $2,500,000"
