作者不明2026-08-13T18:06:06.439L09114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分,Table 8. Household Housing and Household Facilities by Areas,,第8表  家庭住宅及主要設備概況按區域別分(續一),Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表  家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 114 年,,,,,2 0 2 5,,,,,民 國 114 年,,,,,2 0 2 5,,,,,民 國 114 年,,,,,2 0 2 5,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)六層樓以上,27.13,39.65,42.88,34.73,27.95,14.14,34.58,"(4)Apartment, six stories or over",,(4)六層樓以上,5.83,24.31,8.18,3.81,1.69,1.84,0,"(4)Apartment, six stories or over",,(4)六層樓以上,4.5,0.72,2.01,4.49,44.27,31.39,21.29,"(4)Apartment, six stories or over"
4.具有自來水設備,97.85,100,100,98.49,99.25,99.94,98.64,4.Piped water equipment,,4.具有自來水設備,98.55,92.96,90.29,97.38,91.41,99.74,98.62,4.Piped water equipment,,4.具有自來水設備,72.81,93.66,94.53,99.49,100,100,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,49.98,36.45,27.69,51.18,48.58,58.42,47.82,(1)Self-owned,,(1)自有停車位,59.21,70.26,57.74,49.1,54.44,67.88,71.25,(1)Self-owned,,(1)自有停車位,69.37,48.86,54.97,58.29,51.45,69.55,48.33,(1)Self-owned
(2)租借停車位,16.46,31.63,37.74,18.21,13.55,7.89,17.67,(2)Rented,,(2)租借停車位,8.94,4.48,6.91,5.59,3.95,4.12,2.12,(2)Rented,,(2)租借停車位,8.65,1.89,6.89,7.16,9.99,16.06,9.98,(2)Rented
(3)無停車位,33.56,31.92,34.56,30.61,37.87,33.7,34.51,(3)None,,(3)無停車位,31.85,25.26,35.35,45.31,41.61,28,26.64,(3)None,,(3)無停車位,21.98,49.26,38.14,34.54,38.56,14.39,41.69,(3)None
6.每戶建坪平均數(坪),40.16,29.53,28.42,43.82,46.92,44.47,39.95,6.Space per household average (pin),,6.每戶建坪平均數(坪),50.91,49.49,51.78,48.8,49.49,41.52,41.86,6.Space per household average (pin),,6.每戶建坪平均數(坪),50.93,43.33,40.62,43.47,30.77,47.73,42.53,6.Space per household average (pin)
7.每戶建坪中位數(坪),35,26,27,38,43,43,34,7.Space per household median (pin),,7.每戶建坪中位數(坪),48,45,50,47,48,40,40,7.Space per household median (pin),,7.每戶建坪中位數(坪),50,40,36,41,28,40,39,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.
