作者不明2026-08-13T18:06:06.439L09114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分,Table 8. Household Housing and Household Facilities by Areas,,第8表  家庭住宅及主要設備概況按區域別分(續一),Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表  家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 114 年,,,,,2 0 2 5,,,,,民 國 114 年,,,,,2 0 2 5,,,,,民 國 114 年,,,,,2 0 2 5,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(20)空氣清淨機,30.2,33.54,34.49,32.51,32.57,28.43,37.5,(20)Air-clean machine,,(20)空氣清淨機,14.43,35.92,22.27,22.91,17.64,8.93,10.3,(20)Air-clean machine,,(20)空氣清淨機,21.94,10.4,15.95,7.94,23.49,52.2,26.36,(20)Air-clean machine
(21)濾水器,44.65,47.94,49.79,52.03,52.15,43.28,45.46,(21)Water filter machine,,(21)濾水器,26.97,56.08,38.86,29.09,27.31,25.26,35,(21)Water filter machine,,(21)濾水器,25.3,22,21.64,10.91,43.92,69.33,43.19,(21)Water filter machine
(22)吸塵器,54.18,59.8,65.42,58.42,54.63,47.55,59.55,(22)Vacuum cleaner,,(22)吸塵器,43.88,67.84,57.47,34.3,39.02,23.64,37.97,(22)Vacuum cleaner,,(22)吸塵器,29.36,35.9,41.11,25.05,60.1,72.43,59.97,(22)Vacuum cleaner
(23)熱水器,99.8,100,100,99.87,99.85,99.8,99.67,(23)Geyser,,(23)熱水器,99.45,100,99.73,99.67,98.93,100,99.72,(23)Geyser,,(23)熱水器,99.33,100,99.72,100,99.33,100,98.71,(23)Geyser
(24)開飲機,35.45,34.98,23.12,42.37,36.97,29.35,28.37,(24)Hot-warm water fountain,,(24)開飲機,39.96,52.56,51.73,49.34,33.8,44.4,34.25,(24)Hot-warm water fountain,,(24)開飲機,44.8,35.55,50.97,57.73,25.04,37.7,15.04,(24)Hot-warm water fountain
(25)微波爐,51.36,59.03,58.24,62.9,52.12,44.66,45.01,(25)Microwave oven,,(25)微波爐,37.15,59.53,45.87,42.94,40.92,40.9,29.72,(25)Microwave oven,,(25)微波爐,39.74,36.46,30.85,37.94,53.77,67.43,42.12,(25)Microwave oven
(26)報紙,4.36,3.71,3.7,3.92,4.46,6.76,4.8,(26)Newspaper,,(26)報紙,2.06,3.63,4.03,5.1,6.14,3.91,6.77,(26)Newspaper,,(26)報紙,2.1,4.29,3.45,1.03,3.54,5.67,7.44,(26)Newspaper
(27)期刊雜誌,1.71,2.05,2.45,1.33,1.74,1.32,1.46,(27)Magazine,,(27)期刊雜誌,1.73,2.29,0.33,1.78,1.37,0.49,0.31,(27)Magazine,,(27)期刊雜誌,1.45,0,0,0,0.64,4.33,6.5,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households
(1)彩色電視機,138.72,125.52,132.34,146.32,141.83,144.5,147.93,(1)Color TV,,(1)彩色電視機,148.41,151.1,155.99,138.79,135.05,123.14,132.11,(1)Color TV,,(1)彩色電視機,138.66,126.26,131.67,150.32,152.59,147.82,126.73,(1)Color TV
(2)數位影音光碟機,5.03,5.45,9.21,4.81,5.89,4.22,4.12,(2)DVD player,,(2)數位影音光碟機,2.78,8.57,4.23,2.51,3.67,1.52,2.13,(2)DVD player,,(2)數位影音光碟機,1.7,3.14,3.73,2.03,4.8,5.98,1.92,(2)DVD player
(3)攝影機,2.85,3.02,4.26,3.23,2.71,2.56,1.71,(3)Movies camera,,(3)攝影機,2.33,6.37,3.23,1.76,0.63,1.04,2.24,(3)Movies camera,,(3)攝影機,3.22,2.15,1.16,0.95,5.64,3.23,2.26,(3)Movies camera
(4)音響,13.19,14.59,19.9,14.66,13.28,11.56,11,(4)Stereo,,(4)音響,8.3,25.97,16.04,5.77,11.22,4.42,6.69,(4)Stereo,,(4)音響,6.72,8.89,9.76,6.39,12.33,18.43,8.03,(4)Stereo
(5)鋼琴(含電子琴),5.84,2.24,10.04,6.32,7.16,6.05,7.03,(5)Piano,,(5)鋼琴(含電子琴),1.8,12.02,5.57,3.73,3.12,1.01,2.89,(5)Piano,,(5)鋼琴(含電子琴),3.59,5.38,4.03,3.38,4.88,15.32,9.03,(5)Piano
(6)數位相機,6.46,7.43,10.04,8.53,5.95,5.79,6.65,(6)Digital camera,,(6)數位相機,2.05,6.02,3.96,3.86,0.66,2.04,0.32,(6)Digital camera,,(6)數位相機,3.3,7.02,5.41,2.05,6.2,10.82,4.77,(6)Digital camera
(7)電視遊樂器,12.78,16.95,16,15.23,12.9,9.96,14.04,(7)Video game,,(7)電視遊樂器,5.43,27.13,8.17,4.96,2.83,2.61,2.84,(7)Video game,,(7)電視遊樂器,5.19,3.93,5.99,3.38,12.25,21.06,5.16,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),81.52,89.92,94.76,79.3,73.81,78.36,82.64,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),83.02,77.09,80.76,69.4,74.05,74.12,66.1,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),75.32,68.72,69.55,79.41,95.86,77.75,69.95,(8)Cable TV(MOD included)
(9)家用電腦,117.77,121.7,148.85,135.07,126.76,115.64,140.93,(9)Personal computer,,(9)家用電腦,87.3,141.53,91.23,69.33,73.22,44.77,60.43,(9)Personal computer,,(9)家用電腦,69.65,49.09,60.86,62.7,101.97,148.9,115.2,(9)Personal computer
(10)電話機,74.67,76.91,85.13,65.8,70.67,78.37,69.58,(10)Telephone,,(10)電話機,74.81,64.14,74.88,81.91,81.98,85,83.84,(10)Telephone,,(10)電話機,73.08,51.23,55.18,84.07,75.07,66.24,83.94,(10)Telephone
(11)行動電話,234.53,236.1,246.85,252.68,241.65,229.64,239.94,(11)Cell phone,,(11)行動電話,234.42,234.77,244.07,207.96,221.27,206.67,198.09,(11)Cell phone,,(11)行動電話,217.81,200.37,193.77,200.38,228.13,230.87,223.05,(11)Cell phone
(12)汽車,72.68,46.2,46.97,92.17,88.62,81.82,74.44,(12)Sedan vehicle,,(12)汽車,88.53,110.93,96.51,83.44,94.39,76.06,76.12,(12)Sedan vehicle,,(12)汽車,76.46,74.61,69.22,51.32,50.08,88.14,84.85,(12)Sedan vehicle
(13)機車,148.32,128.35,79.35,154.07,162.47,181.45,183.9,(13)Motorcycle,,(13)機車,153.04,138.6,171.02,158.68,151.59,166.1,143.21,(13)Motorcycle,,(13)機車,180.19,141.73,129.06,164.14,100.04,171.2,179.79,(13)Motorcycle
(14)電磁爐,33.36,42.37,35.44,40.25,29.17,32.37,29.55,(14)Electro-magnetic oven,,(14)電磁爐,26.96,27.03,29.8,20.29,30.67,18.01,20.41,(14)Electro-magnetic oven,,(14)電磁爐,24.02,23.16,26.1,16.38,51.97,54.02,33.9,(14)Electro-magnetic oven
(15)冷暖氣機,279.86,275.51,283.99,289.41,290.19,288.31,291.48,(15)Air conditioner,,(15)冷暖氣機,281.03,311.95,292.56,255.77,189.31,258,260.1,(15)Air conditioner,,(15)冷暖氣機,261.55,211.69,222.43,264.67,265.13,330.52,290.76,(15)Air conditioner
(16)除濕機,63.9,77.63,86.97,101.17,45.72,39.54,37.95,(16)Dehumidifier,,(16)除濕機,120.56,104.98,69.14,30.51,37.95,18.95,20.25,(16)Dehumidifier,,(16)除濕機,24.51,27.64,49.81,48.83,155.93,112.13,35.74,(16)Dehumidifier
(17)洗衣機,103.58,100.6,99.9,104.97,103.86,107.87,105.24,(17)Washing machine,,(17)洗衣機,107.45,107.21,104.07,101.1,104.18,102.21,105.38,(17)Washing machine,,(17)洗衣機,105.91,110.53,104.61,104.23,100.91,106.69,102.28,(17)Washing machine
(18)烘衣機,14.77,15.53,16.32,25.84,15.44,7.03,5.24,(18)Drier,,(18)烘衣機,23.18,38.62,27.25,9.6,15.5,3.67,10.98,(18)Drier,,(18)烘衣機,4.83,7.83,12.62,3.94,19.43,33.52,3.85,(18)Drier
(19)空氣清淨機,38.61,37.24,42.74,42.3,45.54,38.25,50.26,(19)Air-clean machine,,(19)空氣清淨機,15.87,54.85,29.4,29.06,22.82,11.87,12.87,(19)Air-clean machine,,(19)空氣清淨機,27.65,13.65,17.66,8.99,29.25,70.92,33.46,(19)Air-clean machine
(20)濾水器,45.02,47.98,49.95,52.56,52.7,43.61,45.74,(20)Water filter machine,,(20)濾水器,27.24,57.25,39.49,29.48,27.31,25.53,35,(20)Water filter machine,,(20)濾水器,26.35,22,21.92,10.91,44.24,71.34,44.47,(20)Water filter machine
(21)吸塵器,63.97,64.22,72.67,70.57,66.82,59.37,74.12,(21)Vacuum cleaner,,(21)吸塵器,53.94,89.01,74.04,40.41,45.8,25.52,42.43,(21)Vacuum cleaner,,(21)吸塵器,36.98,42,48.23,26.53,66.55,99.66,70.05,(21)Vacuum cleaner
(22)熱水器,108.82,100.49,101,114.07,117.66,109,104.86,(22)Geyser,,(22)熱水器,121.24,123.72,142.24,104.77,106.19,106.66,109.42,(22)Geyser,,(22)熱水器,104.4,113.01,114.41,106.93,100.32,130.38,107.44,(22)Geyser
(23)開飲機,36,35.05,23.12,43.78,37.62,29.88,28.96,(23)Hot-warm water fountain,,(23)開飲機,41.34,53.11,53.89,50.41,33.8,44.92,34.25,(23)Hot-warm water fountain,,(23)開飲機,45,37.38,50.97,57.73,25.04,39.38,15.04,(23)Hot-warm water fountain
(24)微波爐,51.57,59.07,58.54,62.97,52.23,45,45.29,(24)Microwave oven,,(24)微波爐,37.74,60.11,46.49,43.14,41.26,41.17,29.72,(24)Microwave oven,,(24)微波爐,39.95,36.82,31.42,37.94,53.77,67.77,42.12,(24)Microwave oven
(25)報紙,4.44,3.79,3.9,3.99,4.57,6.83,4.85,(25)Newspaper,,(25)報紙,2.06,3.63,4.03,5.1,6.14,3.91,6.77,(25)Newspaper,,(25)報紙,2.1,4.29,3.45,1.55,3.87,5.67,7.76,(25)Newspaper
(26)期刊雜誌,1.92,2.09,2.96,1.59,1.94,1.58,1.74,(26)Magazine,,(26)期刊雜誌,1.73,2.29,0.33,1.78,1.37,0.49,0.62,(26)Magazine,,(26)期刊雜誌,2.07,0,0,0,0.64,5.36,6.5,(26)Magazine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
