作者不明2026-08-13T18:04:29.785L11114年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,
第10表  家庭住宅及主要設備概況依可支配所得按戶數五等分位分,Table 10. Household Housing and Household Facilities by Five Equal Divisions,,,,,,
,,,,of Households according to Disposable Income,,,
民 國 114 年,,,,2 0 2 5,,,
,總 平 均,依  可  支  配  所  得,按  戶  數  五  等  分  位  分,,,,
,Five equal divisions of,households according to disposable income,,,,,
,General average,1,2,3,4,5,
,,,,,,,
(9)家用電腦,117.77,35.85,72.68,114.62,153.99,211.73,(9)Personal computer
(10)電話機,74.67,71.56,73.28,74.24,76.8,77.49,(10)Telephone
(11)行動電話,234.53,130.7,183.23,238.39,290.71,329.64,(11)Cell phone
(12)汽車,72.68,32.79,51.92,68.94,91.66,118.12,(12)Sedan vehicle
(13)機車,148.32,90.75,120.72,151.54,187.63,190.93,(13)Motorcycle
(14)電磁爐,33.36,23.28,29.04,33.72,36.53,44.22,(14)Electro-magnetic oven
(15)冷暖氣機,279.86,199.3,245.73,281.1,317.52,355.66,(15)Air conditioner
(16)除濕機,63.9,33.94,47.96,60.61,76.19,100.81,(16)Dehumidifier
(17)洗衣機,103.58,99.11,101.86,103.08,105.27,108.56,(17)Washing machine
(18)烘衣機,14.77,7.21,10.51,13.05,16.78,26.31,(18)Drier
(19)空氣清淨機,38.61,14.24,25.02,33.89,47.42,72.47,(19)Air-clean machine
(20)濾水器,45.02,26.67,36.97,42.91,51.21,67.33,(20)Water filter machine
(21)吸塵器,63.97,32.27,49.55,60.95,76.94,100.16,(21)Vacuum cleaner
(22)熱水器,108.82,103.33,106.08,107.42,111.78,115.47,(22)Geyser
(23)開飲機,36,32.33,33.93,37.21,39.28,37.27,(23)Hot-warm water fountain
(24)微波爐,51.57,35.46,46.67,50.83,59.57,65.3,(24)Microwave oven
(25)報紙,4.44,3.89,4.48,4.63,4.16,5.04,(25)Newspaper
(26)期刊雜誌,1.92,0.32,0.96,1.04,1.84,5.46,(26)Magazine
