appleL0697年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 97 年,,,單位：元,2 0 0 8 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,7544629,1508926,1508926,1508926,1508926,1508925,No. of households
平均每戶人數,3.35,1.88,2.91,3.62,4.0599999999999996,4.29,No. of persons per household
平均每戶成年人數,2.56,1.64,2.23,2.64,3.02,3.28,No. of adults per household
平均每戶就業人數,1.49,0.54,1.1499999999999999,1.55,1.94,2.27,No. of persons employed per household
平均每戶所得收入者人數,1.65,1.06,1.29,1.59,1.95,2.37,No. of income recipients per household
一、所得收入總計,1099994,362067,678715,958633,1290373,2210184,A.Total receipts
1.受僱人員報酬,623282,92426,320445,517428,762123,1423987,1.Compensation of employees
(1)本業薪資,472570,73178,256651,407822,595430,1029771,(1)Full time payroll
(2)兼業薪資,39310,10713,23094,29212,34397,99135,(2)Part time payroll
(3)其他收入,111401,8535,40699,80393,132296,295082,(3)Other receipts or subsidies
2.產業主所得,149688,33652,93102,149862,192791,279032,2.Entrepreneurial income
3.財產所得收入,51913,17201,27892,38844,48494,127135,3. Property income
4.自用住宅設算租金收入,66852,36862,53309,64009,76452,103628,4.Imputed rent income
5.經常移轉收入,208079,181659,183775,188340,210348,276270,5.Current transfer receipts
(1)從私人,53337,69394,58350,46363,44769,47812,(1)From individuals
(2)從政府,42666,65133,45443,40033,34179,28544,(2)From government
(3)社會保險受益,108210,46535,78679,99997,125294,190543,(3)Benefit of social insurance
(4)從企業,2386,309,661,970,2416,7572,(4)From enterprises
(5)從國外,1479,289,641,977,3690,1800,(5)From abroad
6.雜項收入,181,266,192,150,164,131,6.Miscellaneous receipts
二、非消費支出,186308,58550,113822,162409,221569,375190,B.Nonconsumption expenditures
1.利息支出,18247,6079,13588,17499,23589,30479,1.Interest
2.經常移轉支出,168061,52471,100233,144909,197980,344711,2.Current transfer expenditures
(1)對私人,49801,17352,30171,41527,56928,103029,(1)To private
(2)對政府,35322,7205,15794,24430,36620,92561,(2)To government
(3)社會保險,79897,26543,53192,77594,100953,141204,(3)Social insurance
(4)對國外,3040,1371,1075,1359,3479,7917,(4)To abroad
,,,,,,,
97年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 97 年,,,單位：元,2 0 0 8 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,705413,309419,522744,687699,849967,1157234,C.Consumption expenditures
1.食品費,161927,77082,129413,167459,198976,236704,1.Food
2.飲料費,6304,2855,4899,6300,7727,9739,2.Beverage
3.菸草,5562,3408,5188,6038,6656,6520,3.Tobacco
4.衣著、鞋、襪類,22447,6852,14067,20509,27771,43037,4.Clothing and footwear
5.房地租及水費,147287,84914,120210,142315,167044,221950,5.Rent and water charges
6.燃料及燈光,20389,12494,17765,20979,23958,26747,6.Fuel and light
7.家具及家庭設備,11915,3787,7235,9831,13133,25591,7.Furniture and family facilities
8.家事管理,13043,4578,7814,11250,15473,26097,8.Household operations
9.保健及醫療,103285,52993,81431,99400,124225,158373,9.Health care and medical
10.運輸交通及通訊,84499,26552,57056,83439,104227,151220,10.Transport and communications
(1)交通及通訊工具之購置,7197,1323,3138,6375,6295,18851,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,41907,11917,28259,41841,53665,73853,(2)Operation of transport equipment
(3)乘交通設備之費用,8011,3544,5722,7585,9703,13500,(3)Purchased transportation
(4)其他通訊費,22855,8379,16855,23263,28991,36786,(4)Other communications
(5)汽機車保險費支出,4530,1389,3082,4376,5572,8230,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,88122,19558,52185,84081,112572,172212,"11.Recreation ,education and culture"
(1)旅遊費用,20469,4321,9397,14671,22914,51042,(1)Traveling
(2)娛樂消遣服務,8212,4657,6868,8028,9358,12149,(2)Recreation service
(3)書報雜誌文具,3503,912,2043,3304,4383,6875,(3)Books and stationery
(4)娛樂器材及附屬品,8428,1899,4543,6805,10730,18164,(4)Recreation facilities
(5)教育與研究費,47509,7769,29333,51273,65188,83982,(5)Education and research
12.什項消費,40635,14346,25482,36098,48204,79043,12.Miscellaneous
可支配所得,913687,303517,564893,796225,1068804,1834994,Disposable income
消費支出,705413,309419,522744,687699,849967,1157234,Consumption expenditures
儲蓄,208274,-5902,42149,108525,218837,677760,Saving
所得總額,1150912,391476,720248,1008381,1348787,2285668,Current receipts
