appleL0688年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1999"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 88 年,,,單位：元,1 9 9 9 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,6431105,1286221,1286221,1286221,1286221,1286221,No. of households
平均每戶人數,3.63,1.96,3.31,3.97,4.26,4.66,No. of persons per household
平均每戶成年人數,2.54,1.64,2.2200000000000002,2.5499999999999998,2.9,3.37,No. of adults per household
平均每戶就業人數,1.6,0.68,1.27,1.66,1.96,2.44,No. of persons employed per household
平均每戶所得收入者人數,1.67,1.06,1.3,1.62,1.93,2.44,No. of income recipients per household
一、所得收入總計,1089575,392416,719934,965113,1265434,2104977,A.Total receipts
1.受僱人員報酬,628065,119662,354035,537606,765568,1363455,1.Compensation of employees
(1)本業薪資,485615,91574,285063,432258,600381,1018798,(1)Full time payroll
(2)兼業薪資,30388,16951,20322,20624,25074,68967,(2)Part time payroll
(3)其他收入,112063,11137,48650,84724,140113,275689,(3)Other receipts or subsidies
2.產業主所得,179790,56343,142556,188336,212953,298762,2.Entrepreneurial income
3.財產所得收入,66888,25733,36550,43300,67653,161207,3. Property income
4.自用住宅設算租金收入,67517,36841,54403,63942,77886,104513,4.Imputed rent income
5.經常移轉收入,147096,153602,132204,131709,141150,176816,5.Current transfer receipts
(1)從私人,44135,66160,41503,33978,35250,43783,(1)From individuals
(2)從政府,35071,46151,33737,31375,29684,34408,(2)From government
(3)社會保險受益,66133,40708,56205,65271,75312,93171,(3)Benefit of social insurance
(4)從企業,1054,139,281,325,352,4174,(4)From enterprises
(5)從國外,703,444,478,760,552,1279,(5)From abroad
6.雜項收入,218,235,186,220,225,223,6.Miscellaneous receipts
二、非消費支出,200522,75416,146081,186617,233766,360732,B.Nonconsumption expenditures
1.利息支出,45657,20873,41851,50172,50726,64663,1.Interest
2.經常移轉支出,154865,54543,104230,136446,183040,296069,2.Current transfer expenditures
(1)對私人,50701,20971,34375,43893,58853,95415,(1)To private
(2)對政府,32218,6052,15311,22890,35633,81203,(2)To government
(3)社會保險,67930,24765,51844,68158,84612,110271,(3)Social insurance
(4)對國外,4017,2754,2700,1505,3943,9180,(4)To abroad
,,,,,,,
88年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1999"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 88 年,,,單位：元,1 9 9 9 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,655282,290266,497548,638566,777298,1072735,C.Consumption expenditures
1.食品費,153578,71922,127107,159115,183194,226551,1.Food
2.飲料費,6332,2958,4933,6032,7372,10366,2.Beverage
3.菸草,4893,2840,4683,5438,5482,6024,3.Tobacco
4.衣著、鞋、襪類,26729,9191,18535,24452,32592,48876,4.Clothing and footwear
5.房地租及水費,145365,83528,120087,141028,165108,217076,5.Rent and water charges
6.燃料及燈光,17849,10499,15879,18233,20646,23990,6.Fuel and light
7.家具及家庭設備,12872,4030,7787,10949,14802,26792,7.Furniture and family facilities
8.家事管理,13505,3782,7638,11126,15463,29516,8.Household operations
9.保健及醫療,71852,44377,60742,71949,84310,97881,9.Health care and medical
10.運輸交通及通訊,72828,19961,47752,70233,88671,137524,10.Transport and communications
(1)交通及通訊工具之購置,12874,1042,4656,12546,14329,31797,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,31369,7795,22636,30502,40174,55737,(2)Operation of transport equipment
(3)乘交通設備之費用,9302,4365,6727,8879,10672,15866,(3)Purchased transportation
(4)其他通訊費,14135,5332,10232,13399,17137,24573,(4)Other communications
(5)汽機車保險費支出,5149,1427,3501,4906,6359,9551,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,84912,21863,53464,82303,105950,160981,"11.Recreation ,education and culture"
(1)旅遊費用,21438,6440,10666,14831,23403,51849,(1)Traveling
(2)娛樂消遣服務,9044,4030,7045,8562,10515,15066,(2)Recreation service
(3)書報雜誌文具,5638,1765,3995,5439,6879,10113,(3)Books and stationery
(4)娛樂器材及附屬品,8193,2445,4901,7218,10279,16123,(4)Recreation facilities
(5)教育與研究費,40599,7183,26856,46254,54874,67829,(5)Education and research
12.什項消費,44566,15315,28940,37707,53709,87159,12.Miscellaneous
可支配所得,889053,317001,573853,778496,1031669,1744245,Disposable income
消費支出,655282,290266,497548,638566,777298,1072735,Consumption expenditures
儲蓄,233770,26735,76305,139931,254371,671511,Saving
所得總額,1135817,418429,757692,1009216,1318585,2175161,Current receipts
