appleL06105年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 105 年,,,單位：元,2 0 1 6 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,8458223,1691645,1691645,1691645,1691645,1691643,No. of households
平均每戶人數,3.07,1.69,2.5099999999999998,3.24,3.74,4.16,No. of persons per household
平均每戶成年人數,2.54,1.59,2.14,2.58,3.02,3.35,No. of adults per household
平均每戶就業人數,1.42,0.45,1.01,1.45,1.89,2.31,No. of persons employed per household
平均每戶所得收入者人數,1.75,1.0900000000000001,1.35,1.69,2.09,2.5099999999999998,No. of income recipients per household
一、所得收入總計,1194572,384797,734521,1039235,1402189,2412121,A.Total receipts
1.受僱人員報酬,674344,87913,332043,575302,849249,1527214,1.Compensation of employees
(1)本業薪資,499684,71954,258431,439464,631493,1097081,(1)Full time payroll
(2)兼業薪資,46616,6689,23106,37096,52304,113884,(2)Part time payroll
(3)其他收入,128044,9271,50506,98742,165452,316249,(3)Other receipts or subsidies
2.產業主所得,154303,26491,77714,125143,183013,359154,2.Entrepreneurial income
3.財產所得收入,54302,13864,25804,34551,53076,144213,3. Property income
4.自用住宅設算租金收入,72631,38492,60498,70467,84922,108774,4.Imputed rent income
5.經常移轉收入,238909,217885,238377,233690,231857,272735,5.Current transfer receipts
(1)從私人,68443,89817,84140,66463,51506,50289,(1)From individuals
(2)從政府,49688,54860,56293,50174,46023,41091,(2)From government
(3)社會保險受益,117573,72594,96611,115025,131357,172279,(3)Benefit of social insurance
(4)從企業,2125,345,578,703,1761,7238,(4)From enterprises
(5)從國外,1079,269,755,1325,1210,1838,(5)From abroad
6.雜項收入,84,152,85,82,72,31,6.Miscellaneous receipts
二、非消費支出,201458,55396,117916,177822,248197,407956,B.Nonconsumption expenditures
1.利息支出,10152,2127,6317,10260,13161,18898,1.Interest
2.經常移轉支出,191305,53270,111600,167562,235037,389058,2.Current transfer expenditures
(1)對私人,44551,14941,25721,37220,54362,90511,(1)To private
(2)對政府,33165,7181,14430,21742,33342,89129,(2)To government
(3)社會保險,111818,30760,70058,107916,144910,205444,(3)Social insurance
(4)對國外,1772,389,1390,683,2423,3973,(4)To abroad
,,,,,,,
105年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 105 年,,,單位：元,2 0 1 6 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,776811,347785,558894,747798,931774,1297803,C.Consumption expenditures
1.食品及非酒精飲料,113618,64216,91843,115215,134313,162502,1.Food and non-alcoholic beverages
2.菸酒及檳榔,8773,4567,7377,9178,10721,12024,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22882,7234,14126,20757,27959,44332,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,188158,112180,158878,186154,212823,270754,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,169040,99995,142574,166664,190666,245304,(1)Rent and water charges
(2)電費及燃料,19118,12185,16304,19490,22158,25450,(2)Power and fuel
5.家具設備及家務維護,18856,7100,11803,15970,21279,38129,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,119093,56701,87333,113656,142420,195354,6.Health
7.交通,70790,20778,42445,65709,86973,138044,7.Transport
(1)個人交通工具之購置,12126,2716,4341,9321,11739,32513,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43578,12840,28748,42599,56925,76777,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9898,3652,6300,9108,11807,18623,(3)Transport services
(4)汽、機車保險費,5188,1570,3057,4680,6501,10130,(4)Insurance of vehicles
8.通訊,27500,9904,19719,27624,35484,44769,8.Communication
9.休閒與文化,43129,12446,22451,33592,50250,96909,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),21978,4213,8588,13703,24593,58791,(1)Package holidays
(2)娛樂消遣及文化服務,10653,5504,7682,10121,12164,17794,(2)Recreational and cultural services
(3)書報雜誌文具,4475,999,2691,4644,6082,7958,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6024,1730,3489,5124,7411,12366,(4)Recreational facilities
10.教育,29745,2989,13022,30686,43197,58829,10.Education
11.餐廳及旅館,91906,34518,63357,92648,115522,153486,11.Restaurants and hotels
12.什項消費,42360,15152,26540,36607,50832,82670,12.Miscellaneous goods and services
可支配所得,993115,329400,616604,861413,1153992,2004165,Disposable income
消費支出,776811,347785,558894,747798,931774,1297803,Consumption expenditures
儲蓄,216304,-18384,57710,113615,222218,706361,Saving
所得總額,1253389,419702,782255,1095927,1470275,2498788,Current receipts
