黃麗妃L08110年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 110 年,,2 0 2 1,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,8919896,6166966,2752930,Total
"未滿200,000元",57474,24433,33041,"Under NT$200,000"
"200,000～299,999",217477,89352,128125,"200,000～299,999"
"300,000～399,999",336752,168247,168505,"300,000～399,999"
"400,000～499,999",444743,239024,205720,"400,000～499,999"
"500,000～599,999",490002,287515,202487,"500,000～599,999"
"600,000～699,999",454180,268190,185989,"600,000～699,999"
"700,000～799,999",494276,304139,190137,"700,000～799,999"
"800,000～899,999",510438,304909,205529,"800,000～899,999"
"900,000～999,999",496451,323165,173286,"900,000～999,999"
"1,000,000～1,099,999",549085,373123,175962,"1,000,000～1,099,999"
"1,100,000～1,199,999",507578,371870,135707,"1,100,000～1,199,999"
"1,200,000～1,299,999",444931,326677,118254,"1,200,000～1,299,999"
"1,300,000～1,399,999",384747,275256,109491,"1,300,000～1,399,999"
"1,400,000～1,499,999",364679,269426,95253,"1,400,000～1,499,999"
"1,500,000～1,649,999",591750,444903,146847,"1,500,000～1,649,999"
"1,650,000～1,799,999",478064,361695,116369,"1,650,000～1,799,999"
"1,800,000～1,999,999",475362,383116,92245,"1,800,000～1,999,999"
"2,000,000～2,299,999",523869,432157,91712,"2,000,000～2,299,999"
"2,300,000～2,699,999",425435,352263,73172,"2,300,000～2,699,999"
"2,700,000～3,499,999",424604,354226,70378,"2,700,000～3,499,999"
"3,500,000元及以上",247998,213281,34718,"Above $3,500,000"
