appleL1486年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,,,,,
第3表 所得收入者平均每人所得來源按職業別分,,,,Table 3. Income Sources of Income Recipients by Occupation,,,,,第3表 所得收入者平均每人所得來源按職業別分(續),,,Table 3. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 86 年,,,單位：元,1 9 9 7 Unit:NT$,,,,,民 國 86 年,,單位：元,1 9 9 7 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作    工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
所得收入者人數,10411639,513603,646005,1414945,1004227,1560394,No. of income recipients,,所得收入者人數,757236,1333264,1649651,573963,958351,No. of income recipients
一、所得收入總計,586176,1261799,916675,732744,512403,551077,A.Total receipts,,一、所得收入總計,326745,552149,492371,407830,439979,A.Total receipts
1.受僱人員報酬,355881,604516,713470,580970,431726,188538,1.Compensation of employees,,1.受僱人員報酬,56457,360223,328290,294284,157184,1.Compensation of employees
(1)本業薪資,278740,469783,556979,447661,342126,154485,(1)Full time payroll,,(1)本業薪資,43359,320618,269970,250515,35017,(1)Full time payroll
(2)兼業薪資,13871,9809,9075,5630,4647,3055,(2)Part time payroll,,(2)兼業薪資,11415,1395,2307,8072,101405,(2)Part time payroll
(3)其他收入,63270,124924,147417,127679,84953,30999,(3)Other receipts or subsidies,,(3)其他收入,1683,38211,56013,35697,20762,(3)Other receipts or subsidies
2.產業主所得,111159,407981,69265,38537,9008,268032,2.Entrepreneurial income,,2.產業主所得,155222,102247,89967,32647,249,2.Entrepreneurial income
(1)農業淨收入,11936,1147,68,243,235,973,(1)Net agricultural income,,(1)農業淨收入,153520,1235,1735,1280,54,(1)Net agricultural income
(2)營業淨收入,94017,401394,13145,31484,8773,264373,(2)Net operation surplus,,(2)營業淨收入,1671,100009,88232,31345,195,(2)Net operation surplus
(3)執行業務淨收入,5206,5440,56051,6810,0,2686,(3)Net professional income,,(3)執行業務淨收入,32,1003,0,22,0,(3)Net professional income
3.財產所得收入,35555,123175,49337,35421,22935,26225,3. Property income,,3.財產所得收入,21730,19880,16449,14531,86134,3. Property income
4.自用住宅設算租金收入,36682,87176,46674,43054,19829,34479,4.Imputed rent income,,4.自用住宅設算租金收入,28521,38413,29829,24209,38033,4.Imputed rent income
5.經常移轉收入,46704,38414,37797,34663,28656,33617,5.Current transfer receipts,,5.經常移轉收入,64661,31266,27769,42042,157827,5.Current transfer receipts
(1)從私人,17611,13959,13153,12695,7493,11312,(1)From individuals,,(1)從私人,28223,9652,6466,12744,75474,(1)From individuals
(2)從政府,11006,6876,4566,4846,4178,8624,(2)From government,,(2)從政府,17565,8785,6434,9544,44340,(2)From government
(3)社會保險受益,17498,17331,19989,16648,16687,13310,(3)Benefit of social insurance,,(3)社會保險受益,18587,12689,14641,19663,34286,(3)Benefit of social insurance
(4)從企業,323,227,77,348,170,231,(4)From enterprises,,(4)從企業,16,138,67,91,1898,(4)From enterprises
(5)從國外,266,22,11,126,128,141,(5)From abroad,,(5)從國外,269,3,161,0,1828,(5)From abroad
6.雜項收入,194,538,132,100,250,185,6.Miscellaneous receipts,,6.雜項收入,154,120,67,117,552,6.Miscellaneous receipts
二、非消費支出,104773,274844,158848,147083,83830,90542,B.Nonconsumption expenditures,,二、非消費支出,51424,100701,90387,64060,56788,B.Nonconsumption expenditures
1.利息支出,25082,73654,31384,37676,15624,26013,1.Interest,,1.利息支出,7038,26175,21520,12738,10860,1.Interest
2.經常移轉支出,79691,201190,127465,109407,68206,64529,2.Current transfer expenditures,,2.經常移轉支出,44386,74526,68866,51322,45928,2.Current transfer expenditures
(1)對私人,27569,64619,43934,35381,20000,24757,(1)To private,,(1)對私人,22284,26086,21593,17826,20021,(1)To private
(2)對政府,17611,69317,35890,28795,12139,11847,(2)To government,,(2)對政府,6129,14600,11485,6518,6639,(2)To government
(3)社會保險,33284,60211,43005,44203,35387,27115,(3)Social insurance,,(3)社會保險,15898,33744,35708,26624,16932,(3)Social insurance
(4)對國外,1227,7044,4636,1027,680,810,(4)To abroad,,(4)對國外,75,96,81,355,2336,(4)To abroad
三、可支配所得,481404,986955,757827,585662,428573,460534,C.Disposable income,,三、可支配所得,275320,451448,401985,343770,383191,C.Disposable income
