L09113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,,2 0 2 4,,,,,民 國 113 年,,,,,2 0 2 4,,,,,民 國 113 年,,,,,2 0 2 4,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
(1)自有(戶內經常居住成員所擁有),84.4,82.97,83.22,87.44,78.97,85.01,83.79,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),84.72,92.13,90.91,88.09,85.29,85.95,88.17,(1)Self-owned (by usually livingmember of this household),,(1)自有(戶內經常居住成員所擁有),90.08,79.150000000000006,82.68,77.47,86.33,84.97,84.47,(1)Self-owned (by usually livingmember of this household)
(2)不住在一起的配偶、父母或子女所擁有,5.56,6.74,4.9000000000000004,4.08,8.09,5.16,5.8,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,6.88,2.31,3.78,4.58,4.5999999999999996,6.58,3.49,"(2)Owned by spouse, parentsor children not living together",,(2)不住在一起的配偶、父母或子女所擁有,3.56,0.72,7.11,10.91,3.98,4.37,5.51,"(2)Owned by spouse, parentsor children not living together"
(3)租押,7.47,9.43,8.9700000000000006,7.49,9.4600000000000009,6.98,7.07,(3)Rented,,(3)租押,4.88,3.72,2.86,5.37,5.36,4.6500000000000004,4.18,(3)Rented,,(3)租押,3.89,7.8,7.11,4.08,5.84,8.01,7.1,(3)Rented
(4)其他(含配住及借用),2.56,0.86,2.91,1,3.48,2.86,3.34,(4)Allotted and others,,(4)其他(含配住及借用),3.51,1.84,2.4500000000000002,1.96,4.76,2.83,4.16,(4)Allotted and others,,(4)其他(含配住及借用),2.4700000000000002,12.33,3.1,7.55,3.85,2.65,2.92,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling,,2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,96.36,97.76,96.88,94.98,97.51,95.5,97.34,(1)Independent,,(1)專用,96.17,94.96,95.86,95.87,91.79,93.01,94.1,(1)Independent,,(1)專用,96.15,91.54,94.6,99,98.73,95.38,93.21,(1)Independent
(2)併用,3.64,2.2400000000000002,3.12,5.0199999999999996,2.4900000000000002,4.5,2.66,(2)Connected,,(2)併用,3.83,5.04,4.1399999999999997,4.13,8.2100000000000009,6.99,5.9,(2)Connected,,(2)併用,3.85,8.4600000000000009,5.4,1,1.27,4.62,6.79,(2)Connected
3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building,,3.建築式樣,,,,,,,,3.By style of building
(1)平房,6.99,2.25,0.75,3.18,5.48,9.9600000000000009,4.68,(1)One story,,(1)平房,9.4600000000000009,4.37,11.49,15.71,20.02,22.5,26.76,(1)One story,,(1)平房,15.97,35.65,22.76,21.73,2.63,1.65,6.39,(1)One story
(2)二～三層樓,35.35,10.66,7.1,33.659999999999997,39.85,50.09,33.17,(2)Two or three stories,,(2)二～三層樓,70.02,46.75,63.34,62.23,66.819999999999993,66.849999999999994,64.34,(2)Two or three stories,,(2)二～三層樓,68.66,57.93,63.57,62.61,15.57,41.76,46.79,(2)Two or three stories
(3)四～五層樓,31.11,48.21,49.01,26.15,25.67,25.29,34.380000000000003,(3)Four or five stories,,(3)四～五層樓,13.64,21.57,20.100000000000001,16.329999999999998,10.48,8.1,8.58,(3)Four or five stories,,(3)四～五層樓,10.14,6.42,10.82,14.14,48.99,27.9,26.81,(3)Four or five stories
(4)六層樓以上,26.55,38.880000000000003,43.14,37.01,29,14.65,27.78,"(4)Apartment, six stories or over",,(4)六層樓以上,6.88,27.31,5.07,5.73,2.69,2.5499999999999998,0.32,"(4)Apartment, six stories or over",,(4)六層樓以上,5.23,0,2.85,1.52,32.81,28.69,20.010000000000002,"(4)Apartment, six stories or over"
4.具有自來水設備,97.75,100,99.9,98.33,98.5,99.93,97.47,4.Piped water equipment,,4.具有自來水設備,95.83,93.67,90.82,97.66,95.08,99.74,99.06,4.Piped water equipment,,4.具有自來水設備,75.27,95.11,94.32,100,100,100,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,49.98,37.130000000000003,27.3,55.18,48.86,59.87,42.58,(1)Self-owned,,(1)自有停車位,60.71,62.47,52.45,70.42,59.07,59.62,67.63,(1)Self-owned,,(1)自有停車位,74.13,44.16,57.87,54.57,43.81,56.22,48.36,(1)Self-owned
(2)租借停車位,16.87,28.65,43.39,16.98,12.14,7.78,16.36,(2)Rented,,(2)租借停車位,11.6,9.01,7.91,4.46,4.7699999999999996,2.4700000000000002,3.48,(2)Rented,,(2)租借停車位,6.96,2.94,8.39,9.9,20.98,23.34,13.75,(2)Rented
(3)無停車位,33.15,34.22,29.31,27.84,39,32.35,41.06,(3)None,,(3)無停車位,27.68,28.52,39.64,25.12,36.15,37.909999999999997,28.89,(3)None,,(3)無停車位,18.91,52.9,33.74,35.53,35.21,20.440000000000001,37.880000000000003,(3)None
6.每戶建坪平均數(坪),39.83,30.07,28.47,44.94,45.93,44.35,39.9,6.Space per household average (pin),,6.每戶建坪平均數(坪),51.5,48.39,50.33,46.4,47.59,41.08,39.200000000000003,6.Space per household average (pin),,6.每戶建坪平均數(坪),48.89,42.44,40.53,41.54,30.94,47.52,44.87,6.Space per household average (pin)
7.每戶建坪中位數(坪),36,28,27,40,42,44,37,7.Space per household median (pin),,7.每戶建坪中位數(坪),48,45,50,41,41,39,38,7.Space per household median (pin),,7.每戶建坪中位數(坪),46,35,40,37,29,46,40,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,97.75,99.16,98.6,97.25,96.36,96.7,97.43,(1)Color TV,,(1)彩色電視機,98.56,96.8,98.1,98.42,98.34,99.26,98.46,(1)Color TV,,(1)彩色電視機,97.28,95.36,96.34,96.02,96.51,96.04,97.73,(1)Color TV
(2)數位影音光碟機,5.74,6.94,10.210000000000001,7.2,6.91,5,3.83,(2)DVD player,,(2)數位影音光碟機,0.86,7.53,5.13,3,1.35,3.31,2.57,(2)DVD player,,(2)數位影音光碟機,1.05,2.83,2.81,0,3.91,6.38,1.29,(2)DVD player
(3)攝影機,2.95,3.45,5.23,4.87,3.21,2.95,1.28,(3)Movies camera,,(3)攝影機,1.73,3.12,1.61,1.99,0.7,0.21,0.6,(3)Movies camera,,(3)攝影機,1.96,1.08,0.87,0,4.12,1.98,1.64,(3)Movies camera
(4)音響,13.76,17.829999999999998,18.190000000000001,15.95,16.66,11.06,8.2899999999999991,(4)Stereo,,(4)音響,4.92,24.52,18.25,8.15,7.01,5.86,8.7100000000000009,(4)Stereo,,(4)音響,7.47,9.33,6.89,2,11.89,20.079999999999998,5.53,(4)Stereo
(5)鋼琴(含電子琴),5.87,3.2,11.43,4.41,8.91,5.73,5.0599999999999996,(5)Piano,,(5)鋼琴(含電子琴),1.48,7.71,3.46,3.67,4.1500000000000004,1.52,1.9,(5)Piano,,(5)鋼琴(含電子琴),4.6100000000000003,7.65,6.83,2.0099999999999998,2.89,16.27,10.65,(5)Piano
(6)數位相機,6.74,7.89,11.34,9.15,7.39,7,4.4400000000000004,(6)Digital camera,,(6)數位相機,1.99,4.3600000000000003,5.08,5.79,3.56,1.78,2.14,(6)Digital camera,,(6)數位相機,2.33,8.61,1.72,0.51,1.91,10.66,3.59,(6)Digital camera
(7)電視遊樂器,11.35,15.95,14.62,14.25,12.36,8.49,10.34,(7)Video game,,(7)電視遊樂器,3.44,20.22,8.6300000000000008,3.98,2.0699999999999998,4.67,4.4400000000000004,(7)Video game,,(7)電視遊樂器,2.2999999999999998,2.93,4.25,1.49,6.45,20.97,8.42,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),81.7,88.49,94.7,78.87,72.930000000000007,79.81,85.05,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),76,79.03,83.56,71.459999999999994,79.2,64.44,62.98,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.12,74.45,72.760000000000005,84.11,89.94,78.36,74.510000000000005,(8)Cable TV(MOD included)
(9)家用電腦,66.959999999999994,75.569999999999993,79.680000000000007,73.17,72.2,62.66,65.53,(9)Personal computer,,(9)家用電腦,45.66,76.33,60.81,57.53,45.28,41.42,36.119999999999997,(9)Personal computer,,(9)家用電腦,48.96,42.31,44.01,28.67,55.6,77.540000000000006,69.67,(9)Personal computer
(10)電話機,76.849999999999994,79.08,85.78,66.09,72.3,78.790000000000006,74.19,(10)Telephone,,(10)電話機,74.739999999999995,73.819999999999993,80.83,84.27,83.03,83.81,83.55,(10)Telephone,,(10)電話機,71.23,57.29,64.98,84.33,80.45,71.709999999999994,87.42,(10)Telephone
(11)行動電話,97.55,99.17,98.79,98.4,98.41,96.38,97.41,(11)Cell phone,,(11)行動電話,97.71,97.23,93.84,94.88,93.73,93.79,91.51,(11)Cell phone,,(11)行動電話,97.32,97.06,97.95,89.27,98.72,97.99,98.07,(11)Cell phone
(12)連網(使用電腦或其他設備),96.09,98.67,97.91,98.01,97.66,95.44,97.31,(12)Internet facility,,(12)連網(使用電腦或其他設備),95.71,96.07,91.31,88.46,91.33,89.45,85.54,(12)Internet facility,,(12)連網(使用電腦或其他設備),91.94,92.09,95.39,83.69,94.75,97.98,96.48,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,113年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2024"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,第8表家庭住宅及主要設備概況按區域別分(續四),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.4),,第8表家庭住宅及主要設備概況按區域別分(續完),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,,2 0 2 4,,,,,民 國 113 年,,,,,2 0 2 4,,,,,民 國 113 年,,,,,2 0 2 4,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,60.64,48.05,47.44,72.97,72.19,66.39,57.43,(13)Sedan vehicle,,(13)汽車,60.51,83.54,72.47,65.569999999999993,66.17,66.16,61.85,(13)Sedan vehicle,,(13)汽車,64.42,58.86,64.2,37.43,37.32,68.59,69.680000000000007,(13)Sedan vehicle
(14)機車,83.72,79.12,57.19,87.33,88.61,92.66,91.62,(14)Motorcycle,,(14)機車,88.38,85.38,84.07,93.51,88.68,88.67,84.58,(14)Motorcycle,,(14)機車,96.1,87.03,83.55,88.6,70.739999999999995,89.98,93.58,(14)Motorcycle
(15)電磁爐,33.89,44.54,40.39,39.86,28.94,29.62,29.2,(15)Electro-magnetic oven,,(15)電磁爐,32.4,25.58,23.97,23.39,26.72,26.52,20.3,(15)Electro-magnetic oven,,(15)電磁爐,23.73,23.38,28.8,14.11,38.49,35.090000000000003,54.16,(15)Electro-magnetic oven
(16)冷暖氣機,97.47,99.8,99.75,97.86,96.61,97.39,97.74,(16)Air conditioner,,(16)冷暖氣機,97.67,96.8,93.69,97.32,79.72,96.89,94.93,(16)Air conditioner,,(16)冷暖氣機,96.62,91.78,93.46,96.2,97.68,97.63,96.79,(16)Air conditioner
(17)除濕機,46.26,65.64,69.680000000000007,67.7,34.36,28.58,24.09,(17)Dehumidifier,,(17)除濕機,68.55,62.38,41.98,21.91,23.84,14.44,17.55,(17)Dehumidifier,,(17)除濕機,14.32,16.63,34.340000000000003,37.409999999999997,91.21,63.2,29.73,(17)Dehumidifier
(18)洗衣機,99.26,99.96,99.5,98.81,99.06,99.19,98.9,(18)Washing machine,,(18)洗衣機,99.73,99.48,99.68,98.94,98.1,99.24,98.45,(18)Washing machine,,(18)洗衣機,98.68,97.47,100,99.49,99.69,100,99.04,(18)Washing machine
(19)烘衣機,15.19,15.99,22.07,26.23,13.34,7.41,3.47,(19)Drier,,(19)烘衣機,25.32,44.39,34.53,9.92,12.31,3.72,6.91,(19)Drier,,(19)烘衣機,5.17,5.37,13.15,2.99,19.7,25.63,7.82,(19)Drier
(20)空氣清淨機,29.42,33.61,37.93,34.01,31.58,26.43,31.2,(20)Air-clean machine,,(20)空氣清淨機,17.23,34.979999999999997,21,19.600000000000001,20.059999999999999,13.63,11.77,(20)Air-clean machine,,(20)空氣清淨機,20.14,9.16,12.49,6.52,20.92,43.51,24.47,(20)Air-clean machine
(21)濾水器,42.84,45.65,49.57,56.23,51.74,39.229999999999997,37.71,(21)Water filter machine,,(21)濾水器,21.05,57.22,36.75,29.62,23.52,36.1,30.68,(21)Water filter machine,,(21)濾水器,17.440000000000001,18.78,23.06,15.03,34.380000000000003,65.59,45.83,(21)Water filter machine
(22)吸塵器,52.85,59.52,67.790000000000006,60.64,54.64,45.98,51.89,(22)Vacuum cleaner,,(22)吸塵器,38.83,67.790000000000006,49,35.380000000000003,38.369999999999997,29.49,34.26,(22)Vacuum cleaner,,(22)吸塵器,27.44,33.799999999999997,43.37,17.14,48.73,63.26,49.1,(22)Vacuum cleaner
(23)熱水器,99.8,99.96,100,99.94,99.85,99.93,99.59,(23)Geyser,,(23)熱水器,99.4,99.76,98.96,100,100,99.74,99.4,(23)Geyser,,(23)熱水器,99.17,98.57,99.42,100,100,99.66,100,(23)Geyser
(24)開飲機,36.549999999999997,37.5,25.13,40.799999999999997,39.450000000000003,28.72,29.78,(24)Hot-warm water fountain,,(24)開飲機,52.8,53.58,56.81,47.77,29.87,44.86,32.53,(24)Hot-warm water fountain,,(24)開飲機,49.65,34.93,42.09,55.23,23.98,36.6,20.59,(24)Hot-warm water fountain
(25)微波爐,50.41,60.33,61.25,63.89,48.67,40.82,39.58,(25)Microwave oven,,(25)微波爐,39.35,54.43,49.95,41.09,36.04,44.77,29.07,(25)Microwave oven,,(25)微波爐,34.99,31.34,36.78,28.23,52.05,67.459999999999994,44.52,(25)Microwave oven
(26)報紙,5.28,5.0599999999999996,5.21,5.95,4.62,7.33,5.96,(26)Newspaper,,(26)報紙,0.91,4,7.08,5.4,7.12,3.66,5.18,(26)Newspaper,,(26)報紙,2.67,4.92,3.99,0.99,4.92,5.62,7.12,(26)Newspaper
(27)期刊雜誌,2.13,3.64,2.85,2,1.55,1.26,1.0900000000000001,(27)Magazine,,(27)期刊雜誌,1.74,1.98,1.31,1.37,1.01,1.82,1.86,(27)Magazine,,(27)期刊雜誌,0.24,0,1.1299999999999999,0,0.63,4.66,11.29,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households
(1)彩色電視機,141.72,133.96,135.46,144.63,141.27000000000001,146.38999999999999,146.79,(1)Color TV,,(1)彩色電視機,158.02000000000001,155.91,160.08000000000001,146.74,135.91,139.47999999999999,138.56,(1)Color TV,,(1)彩色電視機,145.13,125.15,134,144.88999999999999,142.54,148.18,127.77,(1)Color TV
(2)數位影音光碟機,5.95,7.01,10.61,7.39,7.21,5.4,3.96,(2)DVD player,,(2)數位影音光碟機,0.86,7.53,6.12,3.17,1.35,3.31,2.57,(2)DVD player,,(2)數位影音光碟機,1.26,3.17,2.81,0,3.91,6.72,1.29,(2)DVD player
(3)攝影機,3.33,3.53,6.32,5.74,3.56,3.47,1.28,(3)Movies camera,,(3)攝影機,1.73,3.12,1.94,1.99,0.7,0.21,0.6,(3)Movies camera,,(3)攝影機,3.31,1.78,0.87,0,4.74,1.98,1.64,(3)Movies camera
(4)音響,14.25,18.079999999999998,19.14,16.02,17.61,11.39,8.6,(4)Stereo,,(4)音響,4.92,25.1,18.559999999999999,8.83,7.01,6.38,9.07,(4)Stereo,,(4)音響,7.87,11.28,7.44,2,11.89,22.07,5.53,(4)Stereo
(5)鋼琴(含電子琴),5.99,3.2,11.53,4.47,9.16,5.86,5.15,(5)Piano,,(5)鋼琴(含電子琴),1.8,7.99,3.46,3.67,4.1500000000000004,1.52,1.9,(5)Piano,,(5)鋼琴(含電子琴),4.83,8.02,6.83,2.0099999999999998,2.89,17.25,10.97,(5)Piano
(6)數位相機,7.54,8.1999999999999993,14.16,10.1,8.34,7.6,5.03,(6)Digital camera,,(6)數位相機,1.99,4.9400000000000004,5.08,6.15,3.89,2.04,2.14,(6)Digital camera,,(6)數位相機,2.56,8.9700000000000006,1.72,0.51,2.23,11.99,3.59,(6)Digital camera
(7)電視遊樂器,12.62,16.78,17.37,15.79,14.12,9.36,11.12,(7)Video game,,(7)電視遊樂器,4.6100000000000003,24.46,9.58,4.34,2.0699999999999998,4.67,4.8,(7)Video game,,(7)電視遊樂器,2.5099999999999998,2.93,5.12,1.49,7.39,24.6,8.75,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),82.64,89.31,95.1,79.89,74.89,80.47,85.46,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),76.3,81.67,85.77,72.489999999999995,79.2,65.739999999999995,63.64,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),80.94,76.59,73.05,84.62,91.58,79.349999999999994,74.510000000000005,(8)Cable TV(MOD included)
(9)家用電腦,115.77,125.13,155.41,131.72,133.88,109.35,112.93,(9)Personal computer,,(9)家用電腦,70.290000000000006,142.29,88.85,79.94,62.93,55.25,54.47,(9)Personal computer,,(9)家用電腦,68.38,62.08,63.01,40.82,83.45,150.41999999999999,134.11000000000001,(9)Personal computer
(10)電話機,77.709999999999994,79.599999999999994,87.68,67.09,72.91,79.61,74.87,(10)Telephone,,(10)電話機,75.03,74.75,81.180000000000007,85.06,84.33,84.35,83.55,(10)Telephone,,(10)電話機,71.849999999999994,58.34,65.540000000000006,84.33,80.45,74.650000000000006,90,(10)Telephone
(11)行動電話,240.18,249.36,249.46,255.06,245.48,235.59,232.41,(11)Cell phone,,(11)行動電話,226.98,260.3,237.7,228.84,214.35,220.76,203.73,(11)Cell phone,,(11)行動電話,231.06,206.88,205.46,183.44,225.11,253.18,235.7,(11)Cell phone
(12)汽車,72.61,51.14,50.29,92.67,90.93,80.08,66.34,(12)Sedan vehicle,,(12)汽車,76.56,117.03,100.4,84.5,83.77,80.930000000000007,75.319999999999993,(12)Sedan vehicle,,(12)汽車,75.27,67.84,73.680000000000007,41.82,40.85,85.53,88.97,(12)Sedan vehicle
(13)機車,152.52000000000001,132.78,81.63,156.46,168.28,184.37,185.01,(13)Motorcycle,,(13)機車,161.56,157.72999999999999,159.78,178.74,162.69999999999999,159.13999999999999,148.69999999999999,(13)Motorcycle,,(13)機車,187.17,146.6,138.58000000000001,152.36000000000001,100.53,191.48,181.52,(13)Motorcycle
(14)電磁爐,34.340000000000003,44.78,41.15,40.590000000000003,29.38,30.41,29.48,(14)Electro-magnetic oven,,(14)電磁爐,32.64,25.91,24.62,23.58,26.72,26.83,20.63,(14)Electro-magnetic oven,,(14)電磁爐,24.16,23.38,29.95,14.11,38.81,35.42,54.16,(14)Electro-magnetic oven
(15)冷暖氣機,276.12,275.64999999999998,285.11,289.18,278.79000000000002,275.69,280.06,(15)Air conditioner,,(15)冷暖氣機,277.86,319.02,271.67,269.27999999999997,173.16,273.06,242.2,(15)Air conditioner,,(15)冷暖氣機,261.8,218.94,248.89,242.36,241.51,331.27,288.87,(15)Air conditioner
(16)除濕機,61.22,78.16,90.45,98.76,43.17,36.67,29.11,(16)Dehumidifier,,(16)除濕機,117.58,93.26,61.85,27.78,28.19,17.48,22.36,(16)Dehumidifier,,(16)除濕機,17.440000000000001,19.190000000000001,53.35,50.46,146.46,102.72,38.46,(16)Dehumidifier
(17)洗衣機,103.04,100.4,99.74,103.83,103.13,106.83,103.53,(17)Washing machine,,(17)洗衣機,108.9,106.14,106.45,102.62,102.8,103.11,104.05,(17)Washing machine,,(17)洗衣機,103.75,102.79,107.44,100.52,100.69,107.53,106.13,(17)Washing machine
(18)烘衣機,15.29,16.07,22.07,26.36,13.54,7.55,3.51,(18)Drier,,(18)烘衣機,25.32,44.67,35.159999999999997,9.92,12.62,3.72,6.91,(18)Drier,,(18)烘衣機,5.17,5.37,13.42,2.99,19.7,25.96,7.82,(18)Drier
(19)空氣清淨機,36.76,38.130000000000003,46.2,43.02,42.54,36.07,39.39,(19)Air-clean machine,,(19)空氣清淨機,20.37,47.79,27.09,24.69,21.81,16.75,16.22,(19)Air-clean machine,,(19)空氣清淨機,24.73,10.26,16.239999999999998,9.07,24.11,59.8,32.56,(19)Air-clean machine
(20)濾水器,43.29,45.77,50.43,56.82,52.43,39.89,37.75,(20)Water filter machine,,(20)濾水器,21.37,58.67,37.06,29.8,24.48,36.36,30.68,(20)Water filter machine,,(20)濾水器,17.66,19.13,23.06,15.55,35,66.92,45.83,(20)Water filter machine
