appleL0286年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分,,,,,Table 2. Average Family Income and Expenditure per Household by Areas,,第2表 平均每戶家庭收支按區域別分(續一),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.1),,第2表 平均每戶家庭收支按區域別分(續二),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 86 年,,,,單位：元,1 9 9 7 Unit:NT$,,,,,民 國 86 年,,,,單位：元,1 9 9 7 Unit:NT$,,,,,,民 國 86 年,,,,,單位：元,1 9 9 7 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家庭戶數,6104309,851686,448866,1009865,122121,438452,102919,No. of households,,家庭戶數,134988,364957,298031,140455,189920,145731,303967,349994,No. of households,,家庭戶數,237004,68869,97179,25920,114794,99075,271147,75528,212841,No. of households
平均每戶人數,3.84,3.79,3.71,3.85,4.03,3.94,4.42,No. of persons per household,,平均每戶人數,4.21,4,4.2,3.84,3.66,3.74,3.58,3.77,No. of persons per household,,平均每戶人數,3.81,3.59,3.7,3.13,3.58,3.79,3.89,3.66,3.9,No. of persons per household
平均每戶成年人數,2.6,2.64,2.59,2.5299999999999998,2.65,2.6,2.88,No. of adults per household,,平均每戶成年人數,2.82,2.56,2.83,2.7,2.5499999999999998,2.61,2.4900000000000002,2.56,No. of adults per household,,平均每戶成年人數,2.68,2.44,2.52,2.2400000000000002,2.5099999999999998,2.5099999999999998,2.62,2.5,2.64,No. of adults per household
平均每戶就業人數,1.69,1.63,1.56,1.69,1.65,1.74,1.99,No. of persons employed per household,,平均每戶就業人數,1.96,1.71,1.85,1.83,1.74,1.76,1.76,1.66,No. of persons employed per household,,平均每戶就業人數,1.76,1.55,1.52,1.02,1.64,1.57,1.63,1.54,1.76,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.7,1.66,1.72,1.75,1.81,2.02,No. of income recipients per household,,平均每戶所得收入者人數,1.96,1.69,1.75,1.7,1.59,1.6,1.64,1.66,No. of income recipients per household,,平均每戶所得收入者人數,1.69,1.52,1.67,1.23,1.73,1.7,1.69,1.64,1.7,No. of income recipients per household
一、所得收入總計,1054049,1422256,1127802,1077392,974647,1119448,1122536,A.Total receipts,,一、所得收入總計,1008984,920819,895292,890385,790684,772868,798790,922748,A.Total receipts,,一、所得收入總計,924975,700799,935347,641536,1014226,1154717,1145247,1035913,1014739,A.Total receipts
1.受僱人員報酬,609840,833728,676644,674334,559806,692678,721902,1.Compensation of employees,,1.受僱人員報酬,615031,559238,496491,418616,372221,323448,417486,556553,1.Compensation of employees,,1.受僱人員報酬,465273,337683,469819,311067,653806,693910,597806,589382,518864,1.Compensation of employees
(1)本業薪資,475677,636218,525092,541016,440349,521873,573131,(1)Full time payroll,,(1)本業薪資,466349,446855,407083,327162,305382,257312,335436,442059,(1)Full time payroll,,(1)本業薪資,356380,267191,356813,236819,516651,497445,445514,437217,406946,(1)Full time payroll
(2)兼業薪資,25953,33657,36681,17748,30670,27622,15267,(2)Part time payroll,,(2)兼業薪資,43824,21643,11031,22879,11636,20744,21263,23030,(2)Part time payroll,,(2)兼業薪資,27254,30176,37537,20402,27202,59366,31644,35350,23041,(2)Part time payroll
(3)其他收入,108210,163853,114871,115570,88788,143184,133504,(3)Other receipts or subsidies,,(3)其他收入,104858,90740,78377,68574,55203,45392,60787,91463,(3)Other receipts or subsidies,,(3)其他收入,81639,40316,75469,53847,109953,137099,120648,116816,88877,(3)Other receipts or subsidies
2.產業主所得,189659,236808,177391,168921,132696,178900,126034,2.Entrepreneurial income,,2.產業主所得,139217,161565,198048,246160,175724,208790,174577,164848,2.Entrepreneurial income,,2.產業主所得,200456,170567,194753,114151,133024,178603,264542,179242,248700,2.Entrepreneurial income
3.財產所得收入,64651,118387,81995,68298,58903,51471,43149,3. Property income,,3.財產所得收入,54160,47594,43680,43156,39721,41391,33693,35438,3. Property income,,3.財產所得收入,64186,21863,40641,46726,37508,68753,78812,88338,60264,3. Property income
4.自用住宅設算租金收入,64449,92465,70488,64569,36404,94737,91804,4.Imputed rent income,,4.自用住宅設算租金收入,54590,45057,51327,40939,41896,41364,48144,44627,4.Imputed rent income,,4.自用住宅設算租金收入,35838,38632,50846,15814,53532,69507,82408,54850,81106,4.Imputed rent income
5.經常移轉收入,125034,138925,121010,101217,186578,101524,139129,5.Current transfer receipts,,5.經常移轉收入,145846,107332,105531,141476,160957,157765,124529,121132,5.Current transfer receipts,,5.經常移轉收入,158725,131790,179128,153528,136207,143926,121455,123989,105764,5.Current transfer receipts
(1)從私人,39824,69017,42990,27938,52687,25332,38873,(1)From individuals,,(1)從私人,44493,24104,25086,33156,51283,55353,32732,31983,(1)From individuals,,(1)從私人,53421,33091,59062,36943,35264,32810,42173,38639,28614,(1)From individuals
(2)從政府,28132,20325,23364,23380,39161,28356,37482,(2)From government,,(2)從政府,31247,25735,28192,36931,40166,40999,35453,31297,(2)From government,,(2)從政府,36646,46790,40196,66973,31611,33757,21010,26325,21173,(2)From government
(3)社會保險受益,55962,48038,54021,48050,89128,46213,62737,(3)Benefit of social insurance,,(3)社會保險受益,69817,57022,51216,69533,68460,60412,56172,57749,(3)Benefit of social insurance,,(3)社會保險受益,68444,51683,79304,49612,68856,75699,57010,58540,55933,(3)Benefit of social insurance
(4)從企業,629,910,386,1482,1479,151,36,(4)From enterprises,,(4)從企業,289,470,1037,1003,18,326,172,103,(4)From enterprises,,(4)從企業,213,226,475,0,119,156,614,377,44,(4)From enterprises
(5)從國外,487,636,249,367,4122,1472,0,(5)From abroad,,(5)從國外,0,0,0,852,1030,675,0,0,(5)From abroad,,(5)從國外,0,0,91,0,357,1504,649,107,0,(5)From abroad
6.雜項收入,416,1943,275,52,259,139,518,6.Miscellaneous receipts,,6.雜項收入,140,33,214,37,164,110,361,152,6.Miscellaneous receipts,,6.雜項收入,497,264,160,250,148,18,224,111,41,6.Miscellaneous receipts
二、非消費支出,190622,231007,214556,208254,189340,211715,199705,B.Nonconsumption expenditures,,二、非消費支出,182410,172479,141571,147011,126715,135608,135157,173479,B.Nonconsumption expenditures,,二、非消費支出,168653,129903,172291,125228,185467,236505,209473,209384,194841,B.Nonconsumption expenditures
1.利息支出,43332,43499,51796,56486,38287,51351,32350,1.Interest,,1.利息支出,24513,43725,21690,30756,14810,20810,29212,39734,1.Interest,,1.利息支出,29459,22059,38263,17035,47814,61985,57703,46886,68096,1.Interest
2.經常移轉支出,147289,187507,162761,151768,151053,160364,167355,2.Current transfer expenditures,,2.經常移轉支出,157897,128754,119881,116254,111906,114798,105946,133745,2.Current transfer expenditures,,2.經常移轉支出,139194,107844,134028,108193,137653,174519,151769,162497,126745,2.Current transfer expenditures
(1)對私人,48991,59578,55882,48117,60546,52026,54312,(1)To private,,(1)對私人,62644,36539,32737,42580,39561,44606,34375,48462,(1)To private,,(1)對私人,59046,41709,52513,46255,49143,66939,44853,61386,35956,(1)To private
(2)對政府,30439,48418,37822,32231,26028,33062,30598,(2)To government,,(2)對政府,25823,26565,24233,19654,15789,17426,17969,22172,(2)To government,,(2)對政府,20239,13661,23111,8989,21762,33854,37250,33526,26307,(2)To government
(3)社會保險,65621,74994,64909,69662,64133,72994,81527,(3)Social insurance,,(3)社會保險,67988,63480,62911,54021,52713,52765,53529,62788,(3)Social insurance,,(3)社會保險,56370,49227,57452,52262,63509,71442,67262,60367,63460,(3)Social insurance
(4)對國外,2238,4518,4148,1758,345,2282,918,(4)To abroad,,(4)對國外,1442,2170,0,0,3842,0,73,322,(4)To abroad,,(4)對國外,3539,3247,952,688,3239,2285,2404,7219,1022,(4)To abroad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,,,meaningless for precise statistics.,,,,
86年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1997",,86年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第2表 平均每戶家庭收支按區域別分(續三),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.3),,,,,第2表 平均每戶家庭收支按區域別分(續四),,,,,Table 2. Average Family Income and Expenditure per Household by Areas (Cont.4),,,,,,第2表 平均每戶家庭收支按區域別分(續完),Table 2. Average Family Income and Expenditure per Household by Areas (Cont.End),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 86 年,,,,單位：元,1 9 9 7 Unit:NT$,,,,,民 國 86 年,,,,單位：元,1 9 9 7 Unit:NT$,,,,,,民 國 86 年,,,,,單位：元,1 9 9 7 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
