appleL0285年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1996"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
民 國 85 年,,,,,單位：元,1 9 9 6 Unit:NT$,,,,,
,總 平 均,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
,General average,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
,,,,,,,,,,,
三、消費支出,614435,251947,398004,562802,677051,724867,767842,817076,879852,1060925,C.Consumption expenditures
1.食品費,148667,49862,83976,126664,160555,183748,202845,219220,247642,313158,1.Food
2.飲料費,6401,3026,4129,5624,6830,7265,8347,9191,10875,14875,2.Beverage
3.菸草,5186,2994,3601,4654,5063,5718,6842,8225,9823,13182,3.Tobacco
4.衣著、鞋、襪類,27584,9366,15709,24752,30676,32917,36050,39215,45354,55002,4.Clothing and footwear
5.房地租及水費,137832,85396,111971,137914,152142,149617,149424,145619,142213,169271,5.Rent and water charges
6.燃料及燈光,17626,7945,12245,15875,18891,20370,22364,23787,26264,33446,6.Fuel and light
7.家具及家庭設備,15059,6277,10858,15415,17906,16115,16143,17422,17051,20120,7.Furniture and family facilities
8.家事管理,13071,4130,7296,16782,16857,13243,11393,14416,14456,10413,8.Household operations
9.保健及醫療,60473,24632,48626,53325,54204,68923,83602,111438,124000,138253,9.Health care and medical
10.運輸交通及通訊,62457,20383,33544,58972,73260,74476,79108,79555,81981,101393,10.Transport and communications
(1)交通及通訊工具之購置,14146,3557,6490,14844,16896,16481,19966,16944,20147,10078,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,28211,7435,13841,25190,33929,34381,34540,38525,37620,61139,(2)Operation of transport equipment
(3)乘交通設備之費用,9184,4627,6013,8421,9830,11168,11836,11306,11568,12577,(3)Purchased transportation
(4)其他通訊費,6953,3862,5309,6886,7486,7755,8009,7950,8412,10773,(4)Other communications
(5)汽機車保險費支出,3961,901,1891,3630,5118,4692,4758,4829,4235,6826,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,79683,21894,38596,63043,96150,107030,102482,98610,100461,117593,"11.Recreation ,education and culture"
(1)旅遊費用,22922,11053,22087,23178,25990,22853,24017,21892,25609,32787,(1)Traveling
(2)娛樂消遣服務,7873,4007,5216,7720,8921,9195,9177,8491,8486,10542,(2)Recreation service
(3)書報雜誌文具,5772,1950,3044,5289,7160,7026,6742,6817,6722,7362,(3)Books and stationery
(4)娛樂器材及附屬品,7958,3765,4171,8110,9552,9469,8540,9008,8193,11112,(4)Recreation facilities
(5)教育與研究費,35159,1120,4077,18747,44526,58489,54007,52402,51451,55790,(5)Education and research
12.什項消費,40396,16042,27452,39783,44519,45445,49241,50378,59732,74219,12.Miscellaneous
可支配所得,826378,338687,544892,778201,907328,939881,1026896,1104806,1255450,1613921,Disposable income
消費支出,614435,251947,398004,562802,677051,724867,767842,817076,879852,1060925,Consumption expenditures
儲蓄,211943,86741,146888,215399,230278,215014,259054,287731,375598,552996,Saving
所得總額,1050994,428927,692843,989169,1167379,1197118,1293400,1375457,1540545,1990990,Current receipts
