appleL0492年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2003",,92年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 92 年,,,單位：元,2 0 0 3 Unit:NT$,,,,,民 國 92 年,,單位：元,2 0 0 3 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
家庭戶數,6961560,439688,409224,1019335,380033,1035473,No. of households,,家庭戶數,439707,816222,986793,357070,1078014,No. of households
平均每戶人數,3.53,3.93,3.59,3.8,3.57,3.7,No. of persons per household,,平均每戶人數,3.24,4.21,4.03,3.62,2.02,No. of persons per household
平均每戶成年人數,2.6,2.71,2.64,2.69,2.68,2.68,No. of adults per household,,平均每戶成年人數,2.57,2.88,2.88,2.74,1.81,No. of adults per household
平均每戶就業人數,1.54,1.88,1.7,1.73,1.62,1.86,No. of persons employed per household,,平均每戶就業人數,1.82,1.86,1.9,1.73,0.09,No. of persons employed per household
平均每戶所得收入者人數,1.64,1.83,1.81,1.8,1.74,1.59,No. of income recipients per household,,平均每戶所得收入者人數,1.45,1.81,1.89,1.76,1.08,No. of income recipients per household
一、所得收入總計,1064825,1973599,1738969,1387900,1147272,1015393,A.Total receipts,,一、所得收入總計,640479,980200,981904,805591,550112,A.Total receipts
1.受僱人員報酬,615294,1153905,1296767,1011574,806266,365926,1.Compensation of employees,,1.受僱人員報酬,169467,581736,618078,510854,173712,1.Compensation of employees
(1)本業薪資,471660,891592,972354,767370,603906,289341,(1)Full time payroll,,(1)本業薪資,136806,507259,504401,428776,53068,(1)Full time payroll
(2)兼業薪資,35995,25652,63160,36340,44761,17130,(2)Part time payroll,,(2)兼業薪資,17238,11217,18636,14153,94139,(2)Part time payroll
(3)其他收入,107639,236661,261253,207863,157599,59455,(3)Other receipts or subsidies,,(3)其他收入,15423,63260,95041,67925,26505,(3)Other receipts or subsidies
2.產業主所得,170902,432792,126373,84758,53198,409495,2.Entrepreneurial income,,2.產業主所得,229633,178237,147809,64515,1630,2.Entrepreneurial income
3.財產所得收入,48510,137037,75497,59823,56758,31867,3. Property income,,3.財產所得收入,20910,18741,21260,21112,72353,3. Property income
4.自用住宅設算租金收入,62922,103197,89231,77153,67564,61939,4.Imputed rent income,,4.自用住宅設算租金收入,37553,54665,55895,48793,50069,4.Imputed rent income
5.經常移轉收入,167012,146532,150982,154477,163350,145989,5.Current transfer receipts,,5.經常移轉收入,182596,146629,138700,159987,252109,5.Current transfer receipts
(1)從私人,51407,38775,38391,40911,52015,39632,(1)From individuals,,(1)從私人,53827,29964,28022,43408,121825,(1)From individuals
(2)從政府,35629,22410,20254,23383,25844,33063,(2)From government,,(2)從政府,57483,33588,30375,39535,60500,(2)From government
(3)社會保險受益,77096,81734,88962,86553,81193,70713,(3)Benefit of social insurance,,(3)社會保險受益,69401,81939,78529,74295,65530,(3)Benefit of social insurance
(4)從企業,1301,3495,1341,1729,480,1169,(4)From enterprises,,(4)從企業,1492,840,734,2407,826,(4)From enterprises
(5)從國外,1579,118,2033,1901,3818,1412,(5)From abroad,,(5)從國外,393,298,1040,340,3427,(5)From abroad
6.雜項收入,186,137,118,115,136,176,6.Miscellaneous receipts,,6.雜項收入,321,192,162,330,240,6.Miscellaneous receipts
二、非消費支出,183163,394222,330658,259184,194990,162786,B.Nonconsumption expenditures,,二、非消費支出,98929,163896,165159,125086,69273,B.Nonconsumption expenditures
1.利息支出,24216,51537,37782,33496,24287,28280,1.Interest,,1.利息支出,6203,23849,22462,13682,7938,1.Interest
2.經常移轉支出,158947,342685,292876,225688,170704,134506,2.Current transfer expenditures,,2.經常移轉支出,92725,140047,142697,111403,61336,2.Current transfer expenditures
(1)對私人,49834,110147,93174,68233,50361,45178,(1)To private,,(1)對私人,33638,41356,38843,31166,24942,(1)To private
(2)對政府,33256,89171,73815,52572,34417,25843,(2)To government,,(2)對政府,13895,24986,24877,17981,10390,(2)To government
(3)社會保險,72367,123291,115658,100004,83230,62399,(3)Social insurance,,(3)社會保險,44754,73136,78339,60690,23860,(3)Social insurance
(4)對國外,3490,20077,10230,4878,2695,1086,(4)To abroad,,(4)對國外,438,569,639,1567,2144,(4)To abroad
,,,,,,,,,,,,,,,
92年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2003",,92年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2003"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 92 年,,,單位：元,2 0 0 3 Unit:NT$,,,,,民 國 92 年,,單位：元,2 0 0 3 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,666372,1057608,927656,833133,724929,652217,C.Consumption expenditures,,三、消費支出,435608,665775,636417,548333,403977,C.Consumption expenditures
1.食品費,147727,194239,175639,172088,158818,152623,1.Food,,1.食品費,106490,165335,159605,138861,82064,1.Food
2.飲料費,6225,10059,7084,6974,6092,6207,2.Beverage,,2.飲料費,5131,7616,6545,5742,2951,2.Beverage
3.菸草,5990,6176,3006,5159,4231,6930,3.Tobacco,,3.菸草,6797,9128,7919,7093,2712,3.Tobacco
4.衣著、鞋、襪類,23480,43753,36565,32039,27210,22760,4.Clothing and footwear,,4.衣著、鞋、襪類,12890,22229,22373,17313,9850,4.Clothing and footwear
5.房地租及水費,140785,221462,195852,169291,153036,140473,5.Rent and water charges,,5.房地租及水費,82033,125715,125246,116949,113499,5.Rent and water charges
6.燃料及燈光,18841,24358,20964,21076,19731,19480,6.Fuel and light,,6.燃料及燈光,15056,20349,19970,17496,12557,6.Fuel and light
7.家具及家庭設備,11059,21149,20676,15931,13153,9793,7.Furniture and family facilities,,7.家具及家庭設備,6337,8937,9050,7122,5838,7.Furniture and family facilities
8.家事管理,12583,28501,27865,19884,13090,9611,8.Household operations,,8.家事管理,3868,8247,8507,7512,8309,8.Household operations
9.保健及醫療,84651,104261,94576,93407,85690,77512,9.Health care and medical,,9.保健及醫療,75938,85141,79970,81363,79654,9.Health care and medical
10.運輸交通及通訊,80743,140569,126379,111284,91122,77811,10.Transport and communications,,10.運輸交通及通訊,53272,83376,77276,55756,29959,10.Transport and communications
(1)交通及通訊工具之購置,10841,20820,19718,15932,14733,9471,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,7968,9818,9188,3357,4472,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,36208,61614,57258,51616,38174,34328,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,24975,40097,35449,25651,10230,(2)Operation of transport equipment
(3)乘交通設備之費用,8107,12906,11464,10209,10174,8254,(3)Purchased transportation,,(3)乘交通設備之費用,4816,7114,7207,6984,5305,(3)Purchased transportation
(4)其他通訊費,21096,36362,30632,27475,23407,21409,(4)Other communications,,(4)其他通訊費,12238,21821,21172,16849,8504,(4)Other communications
(5)汽機車保險費支出,4491,8867,7307,6052,4634,4350,(5)Insurance of transport equipment,,(5)汽機車保險費支出,3275,4525,4260,2914,1448,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,87441,174897,141749,121353,102103,84028,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,40891,86212,79414,59072,33860,"11.Recreation ,education and culture"
(1)旅遊費用,18058,45837,41503,27534,21103,13653,(1)Traveling,,(1)旅遊費用,8230,11068,11027,9879,10472,(1)Traveling
(2)娛樂消遣服務,9173,14500,13090,11776,9924,9182,(2)Recreation service,,(2)娛樂消遣服務,5006,8655,8768,7389,5832,(2)Recreation service
(3)書報雜誌文具,4655,8794,8959,6449,5374,4283,(3)Books and stationery,,(3)書報雜誌文具,2390,4045,4015,2946,2279,(3)Books and stationery
(4)娛樂器材及附屬品,8499,19478,16711,12484,9991,7287,(4)Recreation facilities,,(4)娛樂器材及附屬品,3786,7051,6612,5129,3634,(4)Recreation facilities
(5)教育與研究費,47056,86288,61485,63111,55711,49624,(5)Education and research,,(5)教育與研究費,21479,55394,48992,33729,11642,(5)Education and research
12.什項消費,46847,88185,77300,64646,50653,44987,12.Miscellaneous,,12.什項消費,26904,43490,40542,34055,22724,12.Miscellaneous
可支配所得,881662,1579377,1408310,1128716,952282,852607,Disposable income,,可支配所得,541551,816304,816744,680505,480839,Disposable income
消費支出,666372,1057608,927656,833133,724929,652217,Consumption expenditures,,消費支出,435608,665775,636417,548333,403977,Consumption expenditures
儲蓄,215290,521769,480654,295583,227353,200390,Saving,,儲蓄,105942,150529,180327,132173,76862,Saving
所得總額,1112233,2051960,1806292,1446702,1198424,1059906,Current receipts,,所得總額,671436,1021691,1023158,842231,588412,Current receipts
