appleL0683年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 83 年,,,單位：元,1 9 9 4 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,5567351,1113470,1113470,1113470,1113470,1113471,No. of households
平均每戶人數,4.0199999999999996,2.39,3.88,4.3099999999999996,4.55,4.96,No. of persons per household
平均每戶成年人數,2.61,1.78,2.33,2.59,2.94,3.42,No. of adults per household
平均每戶就業人數,1.75,0.91,1.44,1.77,2.1,2.54,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.1200000000000001,1.38,1.66,2,2.44,No. of income recipients per household
一、所得收入總計,904135,338793,599123,793174,1045508,1744077,A.Total receipts
1.受僱人員報酬,553262,142648,342819,480907,675768,1124167,1.Compensation of employees
(1)本業薪資,441959,106156,282655,397975,547107,875900,(1)Full time payroll
(2)兼業薪資,22864,23389,19859,15520,18721,36831,(2)Part time payroll
(3)其他收入,88439,13104,40305,67412,109940,211436,(3)Other receipts or subsidies
2.產業主所得,171475,58974,128046,166975,193646,309733,2.Entrepreneurial income
3.財產所得收入,52079,19493,24424,32971,49289,134216,3. Property income
4.自用住宅設算租金收入,47829,24752,37568,46251,54768,75804,4.Imputed rent income
5.經常移轉收入,79238,92731,66051,65835,71760,99811,5.Current transfer receipts
(1)從私人,33960,51866,27056,25924,28021,36932,(1)From individuals
(2)從政府,10221,16551,9934,8273,8069,8278,(2)From government
(3)從企業,34669,24076,28557,31082,35462,54167,(3)From enterprises
(4)從國外,388,238,503,556,208,432,(4)From abroad
6.雜項收入,254,194,216,235,277,346,6.Miscellaneous receipts
二、非消費支出,134380,58535,100018,123191,153492,236663,B.Nonconsumption expenditures
1.利息支出,33747,17613,31633,33605,38141,47742,1.Interest
2.經常移轉支出,100633,40922,68385,89586,115351,188921,2.Current transfer expenditures
(1)對私人,42363,19760,29820,38837,49857,73543,(1)To private
(2)對政府,24257,5405,12516,17564,26176,59625,(2)To government
(3)對企業,31261,13231,24359,30585,37556,50575,(3)To enterprises
(4)對國外,2751,2525,1689,2601,1762,5178,(4)To abroad
,,,,,,,
83年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 83 年,,,單位：元,1 9 9 4 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,545987,255078,419297,522530,624470,908563,C.Consumption expenditures
1.食品費,130964,69226,116173,135845,150787,182788,1.Food
2.飲料費,6205,3306,5090,6104,7044,9479,2.Beverage
3.菸草,5068,3331,4699,5400,5640,6271,3.Tobacco
4.衣著、鞋、襪類,26769,9411,18346,24773,31600,49715,4.Clothing and footwear
5.房地租及水費,124366,66727,99486,119424,141054,195139,5.Rent and water charges
6.燃料及燈光,15676,9591,13987,16021,17653,21128,6.Fuel and light
7.家具及家庭設備,14320,4367,9075,12440,16658,29061,7.Furniture and family facilities
8.家事管理,10542,3197,5489,8597,12055,23371,8.Household operations
9.保健及醫療,46365,35095,39757,41837,49797,65339,9.Health care and medical
10.運輸交通及通訊,53894,17211,35189,51252,62871,102949,10.Transport and communications
(1)交通及通訊工具之購置,13322,2475,5320,12155,15025,31637,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,22880,7018,17026,22678,27644,40035,(2)Operation of transport equipment
(3)乘交通設備之費用,8617,4109,6624,8242,9918,14193,(3)Purchased transportation
(4)其他通訊費,5152,2927,4155,4916,5699,8064,(4)Other communications
(5)汽機車保險費支出,3922,682,2063,3262,4585,9020,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,73582,20054,47953,68194,85886,145825,"11.Recreation ,education and culture"
(1)旅遊費用,22844,5824,9352,14695,24672,59677,(1)Traveling
(2)娛樂消遣服務,7096,2709,5326,6738,7994,12714,(2)Recreation service
(3)書報雜誌文具,5175,1945,4048,5163,5995,8724,(3)Books and stationery
(4)娛樂器材及附屬品,7515,2035,4828,6649,8953,15109,(4)Recreation facilities
(5)教育與研究費,30952,7540,24399,34949,38272,49600,(5)Education and research
12.什項消費,38236,13563,24052,32642,43423,77499,12.Miscellaneous
可支配所得,769755,280259,499105,669983,892016,1507414,Disposable income
消費支出,545987,255078,419297,522530,624470,908563,Consumption expenditures
儲蓄,223768,25181,79809,147453,267546,598851,Saving
所得總額,948941,363207,634890,835210,1097278,1814119,Current receipts
