appleL12109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020",,109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020",,109年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 109 年,,,,單位：元,2 0 2 0 Unit:NT$,,,,,民 國 109 年,,,,單位：元,2 0 2 0 Unit:NT$,,,,,民 國 109 年,,,,單位：元,2 0 2 0 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,,,,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
所得收入者人數,15580006,2994123,2008552,1597614,1735916,1146631,1920165,No. of income recipients,,所得收入者人數,314552,377249,318875,640553,290039,391565,281259,No. of income recipients,,所得收入者人數,473841,123284,200233,63325,247644,292621,161965,No. of income recipients
一、所得收入總計,680987,677203,857985,694398,680436,607939,656499,A.Total receipts,,一、所得收入總計,574566,820966,635919,554724,559584,540715,527046,A.Total receipts,,一、所得收入總計,593978,558752,597267,662320,623425,887576,702792,A.Total receipts
1.受僱人員報酬,408215,418641,548462,450927,373017,366443,388792,1.Compensation of employees,,1.受僱人員報酬,312109,560437,373638,315201,267906,226175,229825,1.Compensation of employees,,1.受僱人員報酬,327290,271004,300806,403700,386365,596061,397114,1.Compensation of employees
(1)本業薪資,304508,325417,401111,338553,285554,274684,288153,(1)Full time payroll,,(1)本業薪資,227801,375644,274240,245740,177492,157669,164962,(1)Full time payroll,,(1)本業薪資,240235,187312,206390,297478,297762,420429,294583,(1)Full time payroll
(2)兼業薪資,24708,18329,32251,22616,22288,22434,26096,(2)Part time payroll,,(2)兼業薪資,32359,31630,21537,15446,38768,16486,19014,(2)Part time payroll,,(2)兼業薪資,29704,41235,37221,32653,24979,38703,40319,(2)Part time payroll
(3)其他收入,78999,74894,115100,89758,65175,69326,74543,(3)Other receipts or subsidies,,(3)其他收入,51949,153164,77861,54016,51646,52021,45849,(3)Other receipts or subsidies,,(3)其他收入,57352,42457,57194,73569,63624,136928,62212,(3)Other receipts or subsidies
2.產業主所得,88298,61003,84389,65361,123312,81657,96661,2.Entrepreneurial income,,2.產業主所得,79258,79026,106368,95068,122506,147712,111963,2.Entrepreneurial income,,2.產業主所得,102884,121432,108571,72839,68865,84337,120947,2.Entrepreneurial income
(1)農業淨收入,9775,425,0,1147,5981,16515,6761,(1)Net agricultural income,,(1)農業淨收入,16678,8851,17089,25285,31964,68731,42012,(1)Net agricultural income,,(1)農業淨收入,36648,51555,17199,14949,0,810,1932,(1)Net agricultural income
(2)營業淨收入,78523,60578,84389,64214,117330,65142,89900,(2)Net operation surplus,,(2)營業淨收入,62581,70176,89280,69783,90542,78981,69951,(2)Net operation surplus,,(2)營業淨收入,66236,69877,91372,57890,68865,83527,119015,(2)Net operation surplus
3.財產所得收入,29748,30481,62922,28874,26199,17279,26888,3. Property income,,3.財產所得收入,13789,36948,17233,9689,19521,8336,11476,3. Property income,,3.財產所得收入,21574,13357,14298,6796,12245,60199,29820,3. Property income
4.自用住宅設算租金收入,40860,46534,52064,49425,42035,38415,31271,4.Imputed rent income,,4.自用住宅設算租金收入,33211,47147,35305,29702,28675,31544,28488,4.Imputed rent income,,4.自用住宅設算租金收入,28040,25055,37738,36271,27687,35251,37517,4.Imputed rent income
5.經常移轉收入,113849,120537,110128,99806,115861,104135,112847,5.Current transfer receipts,,5.經常移轉收入,136095,97363,103348,105058,120974,126931,145294,5.Current transfer receipts,,5.經常移轉收入,114184,127885,135808,142626,128261,111688,117376,5.Current transfer receipts
(1)從私人,33066,43209,38470,23388,39021,23648,30757,(1)From individuals,,(1)從私人,36489,20785,25680,22330,21726,28217,23866,(1)From individuals,,(1)從私人,29046,23043,36105,26311,46732,31980,30560,(1)From individuals
(2)從政府,22875,17980,17092,22857,22847,25890,23553,(2)From government,,(2)從政府,24870,22686,24722,26389,28123,35240,40044,(2)From government,,(2)從政府,31267,34108,25964,43672,20188,26419,18763,(2)From government
(3)社會保險受益,56250,58735,53530,49530,52134,53999,56150,(3)Benefit of social insurance,,(3)社會保險受益,71584,51142,52670,55153,68975,61594,76497,(3)Benefit of social insurance,,(3)社會保險受益,53239,68708,73239,72610,60241,51900,67857,(3)Benefit of social insurance
(4)從企業,1389,514,758,3518,1397,526,1876,(4)From enterprises,,(4)從企業,3152,2328,277,1186,2149,1428,4887,(4)From enterprises,,(4)從企業,631,2026,501,33,1100,316,195,(4)From enterprises
(5)從國外,269,99,279,514,462,71,511,(5)From abroad,,(5)從國外,0,421,0,0,0,451,0,(5)From abroad,,(5)從國外,0,0,0,0,0,1074,0,(5)From abroad
6.雜項收入,18,7,19,5,13,10,41,6.Miscellaneous receipts,,6.雜項收入,104,45,27,5,1,16,0,6.Miscellaneous receipts,,6.雜項收入,6,20,46,88,3,39,18,6.Miscellaneous receipts
二、非消費支出,109469,105477,142788,114969,105066,99502,107883,B.Nonconsumption expenditures,,二、非消費支出,86206,161097,102583,81702,81258,81848,69750,B.Nonconsumption expenditures,,二、非消費支出,93264,76582,90301,101124,87955,175812,99385,B.Nonconsumption expenditures
1.利息支出,5889,6338,6999,6797,7075,5608,5408,1.Interest,,1.利息支出,4597,11413,4614,2911,3360,2242,1550,1.Interest,,1.利息支出,2807,2773,5076,4927,3016,10371,3706,1.Interest
