L09101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012",,101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012",,101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 101 年,,,,,2 0 1 2,,,,,民 國 101 年,,,,,2 0 1 2,,,,,民 國 101 年,,,,,2 0 1 2,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
(3)四～五層樓,28.92,52.99,56.5,17.559999999999999,16.420000000000002,26.79,8.91,(3)Four or five stories,,(3)四～五層樓,25.46,21.11,5.42,8.9600000000000009,9.07,2.4900000000000002,5.87,(3)Four or five stories,,(3)四～五層樓,6.71,2.1,8.8800000000000008,5.5,46.76,31.24,13.76,(3)Four or five stories
(4)六層樓以上,20.28,29.83,31.85,23.71,11.62,22.11,6.41,"(4)Apartment, six stories or over",,(4)六層樓以上,29.4,14.94,1.88,2.31,1.69,3.06,1.54,"(4)Apartment, six stories or over",,(4)六層樓以上,1.02,1.78,3.7,1.5,30.84,22.1,23.2,"(4)Apartment, six stories or over"
4.具有自來水設備,95.47,99.61,99.65,96.32,99.6,96.36,94.16,4.Piped water equipment,,4.具有自來水設備,96.27,81.63,83.94,92.48,88.98,99.74,95.4,4.Piped water equipment,,4.具有自來水設備,60.7,90.9,86.37,99,100,100,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot,,5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,49.58,43.99,25.35,44.37,63.53,47.56,51.36,(1)Self-owned,,(1)自有停車位,54.49,68.81,58,49.09,50.18,66.59,65.62,(1)Self-owned,,(1)自有停車位,81.13,58.04,40.85,59.57,31.54,62.8,47.59,(1)Self-owned
(2)租借停車位,10.56,24.79,23.11,7.31,3.08,8.16,5.24,(2)Rented,,(2)租借停車位,6.94,0.7,4.37,4.68,1.98,1.81,6.98,(2)Rented,,(2)租借停車位,5.04,6.47,8.2200000000000006,2.9,15.64,9.66,5.51,(2)Rented
(3)無停車位,39.86,31.22,51.54,48.31,33.39,44.28,43.4,(3)None,,(3)無停車位,38.57,30.49,37.619999999999997,46.24,47.84,31.6,27.4,(3)None,,(3)無停車位,13.83,35.49,50.93,37.53,52.82,27.54,46.9,(3)None
6.每戶建坪平均數(坪),43.56,31.5,30.96,50.51,47.03,46.79,49.14,6.Space per household average (pin),,6.每戶建坪平均數(坪),51.22,55.62,57.13,52.52,57.07,43.13,49.27,6.Space per household average (pin),,6.每戶建坪平均數(坪),50.01,42.04,42.27,36.49,32.43,50.93,49.2,6.Space per household average (pin)
7.每戶建坪中位數(坪),37,30,30,46,45,42,46,7.Space per household median (pin),,7.每戶建坪中位數(坪),45,50,54,50,54,40,45,7.Space per household median (pin),,7.每戶建坪中位數(坪),48,40,37,35,30,45,42,7.Space per household median (pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%),,二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.,,1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,99.27,99.55,99.05,99.2,98.42,99.28,99.42,(1)Color TV,,(1)彩色電視機,99.61,99.13,99.36,99.38,99.62,99.75,99.09,(1)Color TV,,(1)彩色電視機,99.81,98.22,98.88,99.08,98.43,99.67,99.34,(1)Color TV
一般彩色電視機,56.32,52.09,44,56.31,63.16,58.62,61.09,Non-LCD TV,,一般彩色電視機,50.08,53.28,62.36,59.06,71.84,74.599999999999994,69.83,Non-LCD TV,,一般彩色電視機,66.87,72.37,60.21,63.91,53.96,50.65,61.92,Non-LCD TV
液晶、電漿電視,61.63,66.41,71.17,61.7,54.4,59.75,61.81,LCD、PDP TV,,液晶、電漿電視,68.510000000000005,64.680000000000007,62.69,54.28,52.7,43.92,40.99,LCD、PDP TV,,液晶、電漿電視,52.33,40.83,54.21,60.26,64.16,76.03,55.71,LCD、PDP TV
(2)數位影音光碟機,34.340000000000003,43.46,54.94,30.03,20.93,30.08,30.18,(2)DVD player,,(2)數位影音光碟機,38.44,50.78,28.04,21.35,24.87,21.01,12.02,(2)DVD player,,(2)數位影音光碟機,15.78,16.760000000000002,19.79,24.08,29.08,53.38,28.92,(2)DVD player
(3)攝影機,6.98,7.41,13.7,7.23,4.99,5.53,4.37,(3)Movies camera,,(3)攝影機,6.54,11.27,6.42,5.43,4.05,2.84,2.23,(3)Movies camera,,(3)攝影機,1.1200000000000001,3.59,3.71,3.09,5.13,13.34,6.4,(3)Movies camera
(4)音響,29.37,34.28,42.42,30.42,18.87,23.64,20.72,(4)Stereo,,(4)音響,36.380000000000003,34.270000000000003,27.99,19.739999999999998,30.74,23.95,15.45,(4)Stereo,,(4)音響,17.84,16.88,18.670000000000002,21.65,27.48,34.61,29.04,(4)Stereo
(5)鋼琴(含電子琴),8.9600000000000009,6.06,16.93,10.67,5.97,8.8800000000000008,8.3800000000000008,(5)Piano,,(5)鋼琴(含電子琴),8.3800000000000008,13.39,5.66,5.95,9.66,8.31,5.09,(5)Piano,,(5)鋼琴(含電子琴),4.0199999999999996,6.19,7.72,3.1,6.11,16.93,9.36,(5)Piano
(6)數位相機,50.4,61.13,65.06,50.16,41.28,43.59,38.21,(6)Digital camera,,(6)數位相機,58.25,56.43,37.950000000000003,40.18,38.19,38.36,31.77,(6)Digital camera,,(6)數位相機,43.42,22.21,34.61,31.85,44.15,55.01,48.04,(6)Digital camera
(7)電視遊樂器,8.6,11.44,15.85,8.9700000000000006,5.43,6.85,3.11,(7)Video game,,(7)電視遊樂器,8.77,11.32,3.73,3.52,4.42,4.54,2.68,(7)Video game,,(7)電視遊樂器,2.19,3.94,4.8499999999999996,2.0299999999999998,8.59,15.29,6.24,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),83.23,90.51,90.43,81.52,79.56,88.01,76.77,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),86.75,85.48,79.98,63.8,72.069999999999993,64.290000000000006,62.28,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),75.58,71.03,72.72,80.06,88.47,90.72,81.91,(8)Cable TV(MOD included)
(9)家用電腦,72.31,80.77,82.42,75.61,66.11,70.62,67.989999999999995,(9)Personal computer,,(9)家用電腦,79.989999999999995,79.38,64.02,65.459999999999994,57.69,47.95,47.33,(9)Personal computer,,(9)家用電腦,61.4,47.54,56.39,56.71,64.47,76.680000000000007,66.400000000000006,(9)Personal computer
(10)電話機,94.76,97.22,97.29,93.66,95.03,93.99,92.37,(10)Telephone,,(10)電話機,92.64,90.31,92.32,95.66,97.66,94.76,95.9,(10)Telephone,,(10)電話機,93.16,86.77,88.05,96.04,93.33,92.98,93.14,(10)Telephone
(11)行動電話,92.26,95.93,95.73,92.69,88.94,92.06,91.02,(11)Cell phone,,(11)行動電話,96.03,95.74,88.63,87.29,86.4,82.88,77.94,(11)Cell phone,,(11)行動電話,91.08,85.83,87.85,83.55,95.15,92.57,88.86,(11)Cell phone
(12)連網(使用電腦或其他設備),70.489999999999995,80.400000000000006,80.7,72.44,64.099999999999994,69.48,63.35,(12)Internet facility,,(12)連網(使用電腦或其他設備),79.44,79.39,60.85,60.54,51.45,46.86,43.77,(12)Internet facility,,(12)連網(使用電腦或其他設備),59.16,41.45,55.48,56.16,63.43,76.63,63.17,(12)Internet facility
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012",,101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012",,101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,第8表家庭住宅及主要設備概況按區域別分(續四),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.4),,第8表家庭住宅及主要設備概況按區域別分(續完),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.End),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 101 年,,,,,2 0 1 2,,,,,民 國 101 年,,,,,2 0 1 2,,,,,民 國 101 年,,,,,2 0 1 2,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(13)汽車,58.41,47.65,49.73,67.81,61.31,57.62,61.38,(13)Sedan vehicle,,(13)汽車,73.27,79.989999999999995,70.760000000000005,66.319999999999993,70.81,52.72,53.44,(13)Sedan vehicle,,(13)汽車,54.42,50.55,58.18,35.590000000000003,36.74,66.91,59.78,(13)Sedan vehicle
(14)機車,83.12,80.38,63.34,87.25,90.11,91.91,87.58,(14)Motorcycle,,(14)機車,83.91,86.19,83.91,89.02,85.25,84.82,83.7,(14)Motorcycle,,(14)機車,92.29,85.33,81.53,85.73,68.739999999999995,87.94,87.67,(14)Motorcycle
(15)電磁爐,36.96,51.11,47.56,36.85,25.79,25.22,32.549999999999997,(15)Electro-magnetic oven,,(15)電磁爐,37.83,42.57,29.88,31.4,34.17,36.17,26.9,(15)Electro-magnetic oven,,(15)電磁爐,16.39,17.45,27.93,19.690000000000001,40.619999999999997,45.21,43.59,(15)Electro-magnetic oven
(16)冷暖氣機,89.89,95.84,95.44,87.07,88.45,91.71,88.43,(16)Air conditioner,,(16)冷暖氣機,92.71,89.16,82.84,84.99,65.849999999999994,86.07,78.260000000000005,(16)Air conditioner,,(16)冷暖氣機,87.37,67.680000000000007,74.98,86.79,87.5,94.37,90.34,(16)Air conditioner
(17)除濕機,32.380000000000003,45.99,55.9,21.85,9.94,10.63,63,(17)Dehumidifier,,(17)除濕機,54.81,56.09,40.17,13.54,19.309999999999999,9.86,8.01,(17)Dehumidifier,,(17)除濕機,3.61,8.5500000000000007,24.94,33.18,63.63,58.53,18.149999999999999,(17)Dehumidifier
(18)洗衣機,98.07,99.23,98.1,98.11,98.05,97.86,98,(18)Washing machine,,(18)洗衣機,98.75,97.98,96.54,95.76,97.73,98.47,97.33,(18)Washing machine,,(18)洗衣機,97.81,96.05,95.42,91.63,98.67,97.72,98.49,(18)Washing machine
(19)烘衣機,15.89,17.71,24.31,13.08,3.74,2.73,31.16,(19)Drier,,(19)烘衣機,33.32,40.78,36.19,10.29,15.57,7.52,3.23,(19)Drier,,(19)烘衣機,1.26,4.68,10.97,5.56,24.29,33.97,6.56,(19)Drier
(20)空氣清淨機,10.1,11.21,20.079999999999998,10.44,5.49,6.84,4.87,(20)Air-clean machine,,(20)空氣清淨機,12.23,15.59,11.05,5.85,7.04,5.31,3.43,(20)Air-clean machine,,(20)空氣清淨機,2.94,2.16,5.71,7,6.74,16.02,10.45,(20)Air-clean machine
(21)濾水器,34.729999999999997,38.74,38.03,42.16,30.07,31.71,18.989999999999998,(21)Water filter machine,,(21)濾水器,51.72,50.79,32.950000000000003,17.12,27.2,22.94,26.88,(21)Water filter machine,,(21)濾水器,14.96,12.5,19.53,2.99,24.04,51.47,37.68,(21)Water filter machine
(22)吸塵器,39.380000000000003,40.78,56.19,42.34,31.91,33.42,41.43,(22)Vacuum cleaner,,(22)吸塵器,43.19,54.37,42.03,25.87,44.64,24.89,19.68,(22)Vacuum cleaner,,(22)吸塵器,28.4,25.82,34.619999999999997,19.100000000000001,28.23,54.41,34.03,(22)Vacuum cleaner
(23)熱水器,98.55,99.78,97.89,99.6,98.07,98.26,97.1,(23)Geyser,,(23)熱水器,99.39,98.17,98.67,99.06,97.94,99.49,96.82,(23)Geyser,,(23)熱水器,95.48,95.27,92.81,97.66,99.05,98.01,99.66,(23)Geyser
(24)開飲機,50.22,54.08,42.28,50.37,35.18,39.630000000000003,55.59,(24)Hot-warm water fountain,,(24)開飲機,58.92,61.23,67.12,63.98,52.89,65.319999999999993,40.1,(24)Hot-warm water fountain,,(24)開飲機,66.680000000000007,58.42,49.48,79.709999999999994,41.3,50.72,41.46,(24)Hot-warm water fountain
(25)微波爐,43.29,49.91,59.69,46.15,31.99,33.86,29.76,(25)Microwave oven,,(25)微波爐,48.76,54.29,43.05,33.14,41.13,34.99,22.32,(25)Microwave oven,,(25)微波爐,34.270000000000003,24.12,29.16,29.53,40.450000000000003,58.07,37.549999999999997,(25)Microwave oven
(26)報紙,17.75,12.41,22.56,20.82,22.92,16.88,20.89,(26)Newspaper,,(26)報紙,16.27,19.559999999999999,21.07,17.260000000000002,18.07,12.4,12.42,(26)Newspaper,,(26)報紙,21.65,15.34,16.079999999999998,12.5,11.9,19.73,14.97,(26)Newspaper
(27)期刊雜誌,6.54,5.68,9.27,7.18,4.9000000000000004,5.12,7.22,(27)Magazine,,(27)期刊雜誌,10.17,9.5500000000000007,3.38,7.18,3.07,3.76,4.6500000000000004,(27)Magazine,,(27)期刊雜誌,4.12,3.92,4.8099999999999996,4.07,1.63,15.04,5.73,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households
(1)彩色電視機,157,153.25,155.03,156.18,155.80000000000001,163.27000000000001,173.1,(1)Color TV,,(1)彩色電視機,160.04,173.54,174.55,146.41999999999999,158.27000000000001,147.97,141.4,(1)Color TV,,(1)彩色電視機,149.6,134.69999999999999,159.65,157.71,151.38999999999999,191.09,154.61000000000001,(1)Color TV
一般彩色電視機,72.72,65.349999999999994,56.64,72.209999999999994,81.87,80.5,86.04,Non-LCD TV,,一般彩色電視機,62.6,75.83,85.39,73.510000000000005,90.3,91.29,85.56,Non-LCD TV,,一般彩色電視機,81.739999999999995,86.4,82.26,76.88,68.86,78.2,75.75,Non-LCD TV
液晶、電漿電視,84.27,87.9,98.4,83.97,73.930000000000007,82.77,87.07,LCD、PDP TV,,液晶、電漿電視,97.44,97.72,89.17,72.91,67.97,56.68,55.84,LCD、PDP TV,,液晶、電漿電視,67.86,48.31,77.39,80.83,82.53,112.89,78.86,LCD、PDP TV
(2)數位影音光碟機,37.54,46.33,61.85,33.22,22.93,31.95,31.92,(2)DVD player,,(2)數位影音光碟機,41.69,55.93,31.8,23.93,26.52,22.02,12.6,(2)DVD player,,(2)數位影音光碟機,16,18.23,22.97,25.68,30.37,67.39,30.92,(2)DVD player
(3)攝影機,7.37,7.53,14.65,7.48,5.39,5.85,4.37,(3)Movies camera,,(3)攝影機,6.67,13.26,6.42,5.6,4.37,2.84,4.76,(3)Movies camera,,(3)攝影機,1.1200000000000001,3.59,4.3,3.09,5.13,14.3,6.4,(3)Movies camera
(4)音響,30.85,34.76,46.42,32.17,20.260000000000002,24.5,21,(4)Stereo,,(4)音響,37.35,36.83,29.53,20.91,34.25,24.76,16.47,(4)Stereo,,(4)音響,18.27,17.239999999999998,19.53,21.65,27.48,39.590000000000003,29.76,(4)Stereo
(5)鋼琴(含電子琴),9.1999999999999993,6.1,17.579999999999998,10.96,6.3,8.9700000000000006,8.3800000000000008,(5)Piano,,(5)鋼琴(含電子琴),8.5,13.67,5.98,6.67,9.98,8.31,5.09,(5)Piano,,(5)鋼琴(含電子琴),4.25,6.19,7.72,3.59,6.11,17.579999999999998,9.36,(5)Piano
(6)數位相機,60.48,71.010000000000005,86.53,60.42,47.97,50.98,42.59,(6)Digital camera,,(6)數位相機,67.959999999999994,70.09,47.02,45.23,47.96,43.97,35.950000000000003,(6)Digital camera,,(6)數位相機,46.76,26.1,43.45,34.36,50.63,77.64,56.88,(6)Digital camera
(7)電視遊樂器,9.3800000000000008,12.12,18.100000000000001,9.2200000000000006,5.62,7.57,3.11,(7)Video game,,(7)電視遊樂器,9.86,13.37,5.23,3.52,4.42,5.04,2.98,(7)Video game,,(7)電視遊樂器,2.19,3.94,5.16,2.0299999999999998,9.84,16.29,7.28,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),85.2,92.5,94.8,83.36,80.97,89.73,78.2,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),88.41,89.16,80.62,64.33,72.069999999999993,65.05,63.82,(8)Cable TV(MOD included),,(8)有線電視頻道設備(含多媒體隨選視訊),76.03,71.38,76.69,80.06,91.66,93.09,82.43,(8)Cable TV(MOD included)
(9)家用電腦,104.73,114.86,134.58000000000001,107.71,88.47,97.63,89.63,(9)Personal computer,,(9)家用電腦,125.36,130.6,94.21,86.03,82.05,65.31,64.28,(9)Personal computer,,(9)家用電腦,73.14,56.03,76.19,64.760000000000005,87.39,143.34,84.85,(9)Personal computer
(10)電話機,104.32,106.83,122.41,101.12,100.35,102.29,99.33,(10)Telephone,,(10)電話機,98.47,98.36,101.34,102.4,105.61,100.49,100.2,(10)Telephone,,(10)電話機,97.18,89.62,93.45,101.13,98.91,104.91,98.92,(10)Telephone
(11)行動電話,234.54,253.65,256.89999999999998,238.68,217.56,228.05,237.61,(11)Cell phone,,(11)行動電話,257.63,254.77,236.86,208.48,219.93,179.92,171.81,(11)Cell phone,,(11)行動電話,204.69,164.91,191.62,182.97,232.46,257.67,212.13,(11)Cell phone
(12)汽車,69.11,50.77,54.29,83.59,72.69,66.64,76.959999999999994,(12)Sedan vehicle,,(12)汽車,88.9,111.69,95.21,81.44,92.87,66.72,66.33,(12)Sedan vehicle,,(12)汽車,61.11,57.81,70.77,38.6,38.979999999999997,87.96,73.290000000000006,(12)Sedan vehicle
(13)機車,148.32,141.29,93.97,161.34,174.75,180.96,158.03,(13)Motorcycle,,(13)機車,143.66,153.78,149.43,163.9,151.97,133.56,137.88,(13)Motorcycle,,(13)機車,175.5,125.62,128.15,139.86000000000001,102.14,182.41,155.16999999999999,(13)Motorcycle
(14)電磁爐,37.58,51.6,48.72,37.4,26.25,25.45,33.1,(14)Electro-magnetic oven,,(14)電磁爐,38.43,43.44,30.82,32.450000000000003,35.22,36.659999999999997,27.22,(14)Electro-magnetic oven,,(14)電磁爐,16.62,17.809999999999999,29.61,19.690000000000001,41.61,45.88,44.28,(14)Electro-magnetic oven
(15)冷暖氣機,212.99,225.8,237.29,203.21,201.75,227.99,208.91,(15)Air conditioner,,(15)冷暖氣機,230.71,246.33,204.51,183.3,137.81,190.03,159.43,(15)Air conditioner,,(15)冷暖氣機,177.24,129.88999999999999,170.78,183.77,180.71,267.68,214.3,(15)Air conditioner
(16)除濕機,39.090000000000003,52.03,68.64,24.3,11.11,11.67,85.56,(16)Dehumidifier,,(16)除濕機,68.319999999999993,73.41,50.81,16.149999999999999,22.71,10.38,9.61,(16)Dehumidifier,,(16)除濕機,3.82,9.98,33.270000000000003,35.69,88.36,85.49,18.850000000000001,(16)Dehumidifier
