黃麗妃L0889年家庭收支調查報告,,,,
,,,,
第11表 家庭戶數按所得總額組別及經濟戶長性別分,,,,
Table 11. Numbers of Households by Current Receipts,,,,
,Groups and Sex of Household Heads,,,
,,,,單位：戶
,民 國 89 年,,2 0 0 0,Unit：Households
所 得 總 額 組 別,合 計Total,經濟戶長性別,,Current receipts groups
Sex of Household Head,,,,
男,女,,,
Male,Female,,,
總 計,6588644,5333595,1255049,Total
"未滿200,000元",98398,46684,51714,"Under NT$200,000"
"200,000～299,999",211546,120006,91540,"200,000～299,999"
"300,000～399,999",300178,196706,103472,"300,000～399,999"
"400,000～499,999",330231,223181,107050,"400,000～499,999"
"500,000～599,999",385621,264878,120743,"500,000～599,999"
"600,000～699,999",440122,336346,103776,"600,000～699,999"
"700,000～799,999",496763,394402,102361,"700,000～799,999"
"800,000～899,999",503037,422413,80624,"800,000～899,999"
"900,000～999,999",507482,426467,81015,"900,000～999,999"
"1,000,000～1,099,999",492422,420602,71820,"1,000,000～1,099,999"
"1,100,000～1,199,999",408849,357752,51097,"1,100,000～1,199,999"
"1,200,000～1,299,999",361094,314802,46292,"1,200,000～1,299,999"
"1,300,000～1,399,999",300887,255332,45555,"1,300,000～1,399,999"
"1,400,000～1,499,999",277415,245645,31770,"1,400,000～1,499,999"
"1,500,000～1,649,999",336934,295266,41668,"1,500,000～1,649,999"
"1,650,000～1,799,999",247042,216601,30441,"1,650,000～1,799,999"
"1,800,000～1,999,999",242108,217066,25042,"1,800,000～1,999,999"
"2,000,000～2,299,999",256159,228578,27581,"2,000,000～2,299,999"
"2,300,000～2,699,999",184181,166132,18049,"2,300,000～2,699,999"
"2,700,000～3,499,999",134540,121331,13209,"2,700,000～3,499,999"
"3,500,000元及以上",73635,63405,10230,"Above $3,500,000"
