appleL05109年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
8.通訊,23191,9006,15359,20912,30829,16828,34557,22996,8.Communication
9.休閒與文化,33993,13819,25843,25705,48303,25134,42033,31058,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),12056,3615,10979,7331,17555,6957,13820,11101,(1)Package holidays
(2)娛樂消遣及文化服務,11550,6558,8424,10203,15487,9479,13697,10858,(2)Recreational and cultural services
(3)書報雜誌文具,3582,639,1094,2740,5801,4394,6754,2248,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6804,3007,5346,5431,9461,4305,7763,6851,(4)Recreational facilities
10.教育,27471,412,461,17554,49913,34007,61096,13414,10.Education
11.餐廳及旅館,106533,37374,62685,93803,145631,83169,166632,106082,11.Restaurants and hotels
12.什項消費,41699,20241,30967,32064,49624,40683,64949,49763,12.Miscellaneous goods and services
可支配所得,1079648,475254,826591,894681,1398965,813511,1516917,1073341,Disposable income
消費支出,815100,372045,639621,671507,1024537,699576,1195175,797688,Consumption expenditures
儲蓄,264548,103209,186970,223174,374428,113935,321742,275653,Saving
所得總額,1356343,599017,1031355,1107621,1785985,956213,1862202,1341040,Current receipts
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
