appleL05109年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 109 年,,,,單位：元,2 0 2 0 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,8829466,1269063,1788353,877698,2918440,80684,1089856,805372,No. of households
平均每戶人數,2.92,1,2,2.4,3.64,2.98,5.18,2.89,No. of persons per household
平均每戶成年人數,2.48,1,2,2.15,2.94,2.17,3.86,2.67,No. of adults per household
平均每戶就業人數,1.37,0.47,0.69,1.33,1.88,0.84,2.17,1.45,No. of persons employed per household
平均每戶所得收入者人數,1.76,1,1.41,1.63,2.06,1.46,2.52,1.84,No. of income recipients per household
一、所得收入總計,1293719,559907,968367,1052589,1712645,907721,1792750,1280554,A.Total receipts
1.受僱人員報酬,725932,235674,380025,632096,1096368,319440,1008213,685188,1.Compensation of employees
(1)本業薪資,537318,172107,227733,497870,821138,217194,775401,524642,(1)Full time payroll
(2)兼業薪資,46561,22423,89125,22529,44686,63553,36887,34450,(2)Part time payroll
(3)其他收入,142053,41144,63167,111697,230544,38693,195925,126095,(3)Other receipts or subsidies
2.產業主所得,155828,51471,126599,85127,211104,82561,237975,158090,2.Entrepreneurial income
3.財產所得收入,56716,26777,73513,34341,66634,37153,62390,49326,3. Property income
4.自用住宅設算租金收入,76072,46717,76143,62861,89653,65735,89273,70522,4.Imputed rent income
5.經常移轉收入,279122,199217,312042,238102,248857,402752,394804,317370,5.Current transfer receipts
(1)從私人,71247,88047,101566,62314,41358,160471,69628,88745,(1)From individuals
(2)從政府,61052,43948,52725,60861,56211,86162,97506,72401,(2)From government
(3)社會保險受益,143566,64467,155378,111602,147424,155155,224722,151848,(3)Benefit of social insurance
(4)從企業,2767,2014,2026,3325,3631,963,2476,2436,(4)From enterprises
(5)從國外,489,742,347,0,234,0,471,1940,(5)From abroad
6.雜項收入,50,50,45,61,29,81,96,58,6.Miscellaneous receipts
二、非消費支出,214071,84653,141777,157908,313680,94210,275833,207212,B.Nonconsumption expenditures
1.利息支出,10589,4905,7783,8067,16855,4437,9111,8442,1.Interest
2.經常移轉支出,203481,79748,133994,149841,296825,89773,266722,198771,2.Current transfer expenditures
(1)對私人,47164,28299,43874,25237,65533,22255,43884,48467,(1)To private
(2)對政府,34291,13477,28323,20169,53013,14828,35323,28444,(2)To government
(3)社會保險,120668,36912,59552,104270,176690,52690,187396,119727,(3)Social insurance
(4)對國外,1358,1059,2246,165,1589,0,119,2132,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
109年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2020"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 109 年,,,,單位：元,2 0 2 0 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,815100,372045,639621,671507,1024537,699576,1195175,797688,C.Consumption expenditures
1.食品及非酒精飲料,118015,44220,96028,93480,141773,116536,197816,115928,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9187,4793,6004,8027,10430,6039,15249,12053,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22396,8662,14913,18111,30276,17741,34111,21382,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,198145,139752,184048,179070,233302,169797,218806,189730,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,180916,130677,169496,163998,213466,152256,192991,172455,(1)Rent and water charges
(2)電費及燃料,17229,9075,14551,15072,19836,17541,25815,17274,(2)Power and fuel
5.家具設備及家務維護,22907,11213,20306,19014,29394,15481,27685,22120,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,139010,58437,129626,112485,153593,134297,224852,147186,6.Health
7.交通,72553,24117,53380,51282,101470,39865,107388,65974,7.Transport
(1)個人交通工具之購置,13425,2885,9729,7234,21149,6924,19112,9952,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,43889,14824,32700,31512,59390,22146,67513,42059,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,8462,4245,5591,8175,11706,7747,10168,7800,(3)Transport services
(4)汽、機車保險費,6777,2163,5359,4360,9225,3047,10596,6163,(4)Insurance of vehicles
