appleL05113年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,by Type of Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 113 年,,,,單位：元,2 0 2 4 Unit:NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.食品及非酒精飲料,126971,49481,106521,102740,158802,128625,213331,125769,1.Food and non-alcoholic beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.菸酒及檳榔,8971,4770,5813,8663,10820,8364,14762,10923,"2.Tobacco,alcoholic beverages and betel nuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.衣著鞋襪及服飾用品,23285,10223,16615,19235,32370,17930,36184,20676,3.Clothing and footwear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.住宅服務、水電瓦斯及其他燃料,212957,163495,199934,190629,252183,184085,232271,201007,"4.Housing,water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)住宅服務,192200,152590,182380,172326,227241,163298,200428,180255,(1)Rent and residential services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)水電費及燃料,20757,10905,17555,18303,24942,20787,31843,20752,"(2)Water,electricity,gas and other fuels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.家具設備及家務維護,25932,13997,24456,21302,32846,18644,33186,23829,"5.Furnishings,household equipmentand routine household maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.醫療保健,131147,70146,131717,106382,140232,153203,205165,141624,6.Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.交通,68484,24891,51989,49608,99025,33879,99836,66415,7.Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)個人交通工具之購置,12277,3468,8793,6684,20166,933,14673,13385,(1)Purchase of vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)個人交通設備管理維護,46513,16206,35985,33434,64904,25869,74698,44618,(2)Operation of personal transport equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)客運與貨物運輸服務,9694,5218,7210,9490,13955,7078,10466,8412,(3)Passenger and goods transport services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.資通訊,33816,16432,24785,30270,45127,26538,49456,32988,8.Information and communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.休閒、運動與文化,32310,13035,26086,24384,47911,20117,42326,25692,"9.Recreation,sport and culture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1)套裝旅遊(不含自助旅遊),15128,5886,15465,9589,21836,6671,17197,12077,(1)Package holidays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)休閒、運動與文化用品,4416,2160,3279,3952,6195,3361,5629,4143,"(2)Recreational,sporting and cultural goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)休閒、運動與文化服務,9603,4451,6517,8435,14364,6423,12565,7804,"(3)Recreational,sporting and cultural services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)書報雜誌文具,3163,538,825,2408,5515,3662,6933,1669,"(4)Newspapers,books and stationery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.教育,23582,336,188,13312,47831,22593,57980,8585,10.Education services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.餐廳及住宿,122100,43268,75691,109584,171238,107796,202385,121726,11.Restaurants and accommodation services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.保險及金融服務,41288,13450,24953,32607,61997,25825,68286,37177,12.Insurance and financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.其他,37856,19623,29251,28741,45369,33848,63403,44432,13.Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可支配所得(平均數),1165206,571274,905149,981773,1542056,896372,1664511,1166136,Disposable income(mean),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可支配所得(中位數),984749,485746,704297,897113,1306537,768354,1520758,985835,Disposable income(median),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
消費支出,888699,443148,717998,737457,1145751,781448,1318570,860844,Consumption expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
儲蓄,276507,128127,187151,244316,396304,114924,345940,305292,Saving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所得總額,1479692,728950,1139097,1226481,1996433,1064921,2056654,1467451,Current receipts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,23.734624519,23.384712355000001,28.798812923,14.114003145,38.487205398999997,35.086003964,54.164426364999997,0,0,0,0,T8402,L09,24,6,3
,,,,,,,,,,,,,,,,,,,,,,,,,,96.615337710999995,91.778676696000005,93.458095329000002,96.204565144,97.679392695000004,97.633461862999994,96.789309798000005,0,0,0,0,T8402,L09,24,6,4
