appleL04102年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 102 年,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,單位：元,2 0 1 3 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
家庭戶數,8191640,410170,690259,1160178,433146,1204535,No. of households,,家庭戶數,432869,977227,855913,454147,1573197,No. of households
平均每戶人數,3.21,3.63,3.46,3.6,3.28,3.31,No. of persons per household,,平均每戶人數,2.94,3.84,3.85,3.21,1.93,No. of persons per household
平均每戶成年人數,2.57,2.77,2.62,2.78,2.76,2.64,No. of adults per household,,平均每戶成年人數,2.5,2.94,3.03,2.58,1.79,No. of adults per household
平均每戶就業人數,1.46,1.84,1.68,1.74,1.61,1.84,No. of persons employed per household,,平均每戶就業人數,1.8,1.93,1.95,1.66,0.04,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.94,1.84,1.87,1.87,1.7,No. of income recipients per household,,平均每戶所得收入者人數,1.5,1.97,2.02,1.77,1.1299999999999999,No. of income recipients per household
一、所得收入總計,1140271,2297811,1772874,1450866,1171518,1071431,A.Total receipts,,一、所得收入總計,769357,1128818,1121652,839319,582142,A.Total receipts
1.受僱人員報酬,655707,1528720,1301806,1026400,792781,435211,1.Compensation of employees,,1.受僱人員報酬,166836,674903,714259,522192,131595,1.Compensation of employees
(1)本業薪資,487804,1134047,951874,759205,580956,341475,(1)Full time payroll,,(1)本業薪資,122048,568729,574970,426148,22684,(1)Full time payroll
(2)兼業薪資,44903,34820,62785,43635,53611,22414,(2)Part time payroll,,(2)兼業薪資,23542,15124,18693,30981,98097,(2)Part time payroll
(3)其他收入,123000,359853,287147,223560,158214,71322,(3)Other receipts or subsidies,,(3)其他收入,21245,91050,120597,65062,10814,(3)Other receipts or subsidies
2.產業主所得,149970,349143,131992,117595,41366,343633,2.Entrepreneurial income,,2.產業主所得,305378,166393,126915,46849,774,2.Entrepreneurial income
3.財產所得收入,46161,147329,59916,42302,54948,23743,3. Property income,,3.財產所得收入,22460,18386,14606,12890,81884,3. Property income
4.自用住宅設算租金收入,68845,105414,95029,81214,75188,64160,4.Imputed rent income,,4.自用住宅設算租金收入,45179,61212,61558,47770,61843,4.Imputed rent income
5.經常移轉收入,219444,167157,184090,183301,207119,204542,5.Current transfer receipts,,5.經常移轉收入,229313,207760,204197,209286,305816,5.Current transfer receipts
(1)從私人,62520,37735,42917,43794,56975,44773,(1)From individuals,,(1)從私人,53661,34403,40182,50455,142045,(1)From individuals
(2)從政府,48607,33067,32403,34734,40296,46423,(2)From government,,(2)從政府,83315,47467,44038,59059,64585,(2)From government
(3)社會保險受益,105454,93354,106149,102356,100488,110718,(3)Benefit of social insurance,,(3)社會保險受益,91353,123016,117877,96606,96692,(3)Benefit of social insurance
(4)從企業,1977,3001,1699,1599,2557,2470,(4)From enterprises,,(4)從企業,984,2645,1891,2969,1192,(4)From enterprises
(5)從國外,886,0,921,818,6803,157,(5)From abroad,,(5)從國外,0,229,210,195,1302,(5)From abroad
6.雜項收入,145,48,42,53,114,142,6.Miscellaneous receipts,,6.雜項收入,193,165,117,331,230,6.Miscellaneous receipts
二、非消費支出,198063,498120,370513,276396,200172,166489,B.Nonconsumption expenditures,,二、非消費支出,105072,185131,187363,125392,70414,B.Nonconsumption expenditures
1.利息支出,12359,29253,23071,18517,12969,13289,1.Interest,,1.利息支出,2595,11352,10844,6678,3609,1.Interest
2.經常移轉支出,185704,468866,347442,257879,187203,153201,2.Current transfer expenditures,,2.經常移轉支出,102476,173779,176519,118714,66805,2.Current transfer expenditures
(1)對私人,45660,120630,86556,60805,43634,38895,(1)To private,,(1)對私人,32418,37566,34486,25253,23378,(1)To private
(2)對政府,31530,119885,73394,44430,26643,20262,(2)To government,,(2)對政府,14859,22331,21718,13134,11533,(2)To government
(3)社會保險,106319,223231,175823,149520,115664,93380,(3)Social insurance,,(3)社會保險,55005,113035,119545,80076,31145,(3)Social insurance
(4)對國外,2196,5120,11669,3124,1262,664,(4)To abroad,,(4)對國外,193,847,770,251,749,(4)To abroad
,,,,,,,,,,,,,,,
102年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2013",,102年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 102 年,,,單位：元,2 0 1 3 Unit:NT$,,,,,民 國 102 年,,單位：元,2 0 1 3 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and Associate Professionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
,,,,,,,,,,,,,,,
三、消費支出,747922,1244120,1019938,906858,784473,723146,C.Consumption expenditures,,三、消費支出,524802,767388,753586,582979,484732,C.Consumption expenditures
1.食品及非酒精飲料,112786,144967,126573,127580,118245,110342,1.Food and non-alcoholic beverages,,1.食品及非酒精飲料,99223,125691,125505,104304,79050,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9117,10804,5497,8580,7016,9685,"2.Tobacco,alcoholic beverages and betel nuts",,2.菸酒及檳榔,12027,14982,12966,11947,3450,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,22295,47114,33952,29707,24857,21253,3.Clothing and footwear,,3.衣著鞋襪及服飾用品,13716,22395,21791,15747,9800,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,181527,283600,239279,210837,197643,179043,"4.Housing,water,electricity,gas and other fuels",,4.住宅服務、水電瓦斯及其他燃料,109070,165758,163451,140696,156775,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,159983,257224,216021,187159,175572,157229,(1)Rent and water charges,,(1)房地租及水費,89382,141948,139474,120604,140974,(1)Rent and water charges
(2)電費及燃料,21543,26376,23258,23678,22071,21814,(2)Power and fuel,,(2)電費及燃料,19689,23810,23977,20092,15802,(2)Power and fuel
5.家具設備及家務維護,18392,39060,30248,22366,20585,16652,"5.Furnishings,household equipmentand routine household maintenance",,5.家具設備及家務維護,11235,15306,16400,11171,12652,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,109711,147252,128851,119391,112538,102279,6.Health,,6.醫療保健,104243,111660,110174,94501,93729,6.Health
7.交通,73502,138388,124319,97899,73767,67005,7.Transport,,7.交通,52962,81313,76501,46672,28108,7.Transport
(1)個人交通工具之購置,11382,22328,29829,13477,9313,10296,(1)Purchase of vehicles,,(1)個人交通工具之購置,5278,12571,11062,3847,3579,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,47751,87331,71600,65974,48177,43137,(2)Operation of transport equipment,,(2)個人交通設備使用管理及保養費,39357,55509,51968,32503,16539,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9972,19858,15881,12550,12087,9561,(3)Transport services,,(3)乘交通設備及其他交通服務,4757,8576,8779,7540,6289,(3)Transport services
(4)汽、機車保險費,4397,8872,7008,5898,4190,4011,(4)Insurance of vehicles,,(4)汽、機車保險費,3570,4657,4692,2783,1701,(4)Insurance of vehicles
8.通訊,26508,44263,36170,34780,29012,27701,8.Communication,,8.通訊,16113,29941,29653,20344,10733,8.Communication
9.休閒與文化,39541,103658,72821,54670,39119,34201,9.Recreation and culture,,9.休閒與文化,18201,31327,30013,22632,22307,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),17011,57902,35884,25211,15643,12970,(1)Package holidays,,(1)套裝旅遊(不含自助旅遊),6364,9789,9436,6557,10044,(1)Package holidays
(2)娛樂消遣及文化服務,10415,20863,15995,13319,10547,9737,(2)Recreational and cultural services,,(2)娛樂消遣及文化服務,5710,9648,9435,7405,6757,(2)Recreational and cultural services
(3)書報雜誌文具,5223,9788,8514,6939,5471,5271,"(3)Newspapers,books and stationery",,(3)書報雜誌文具,2757,5684,5350,3745,1970,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6892,15106,12427,9201,7458,6222,(4)Recreational facilities,,(4)教育消遣康樂器材及其附屬品,3370,6206,5792,4925,3536,(4)Recreational facilities
10.教育,33216,70922,51467,46615,32215,35279,10.Education,,10.教育,16107,40075,36330,20772,6537,10.Education
11.餐廳及旅館,79034,128084,107088,101419,84253,81632,11.Restaurants and hotels,,11.餐廳及旅館,43781,90586,92414,66633,32827,11.Restaurants and hotels
12.什項消費,42294,86007,63674,53014,45221,38073,12.Miscellaneous goods and services,,12.什項消費,28123,38353,38388,27560,28762,12.Miscellaneous goods and services
可支配所得,942208,1799692,1402361,1174470,971345,904942,Disposable income,,可支配所得,664286,943688,934290,713926,511728,Disposable income
消費支出,747922,1244120,1019938,906858,784473,723146,Consumption expenditures,,消費支出,524802,767388,753586,582979,484732,Consumption expenditures
儲蓄,194286,555571,382423,267612,186873,181795,Saving,,儲蓄,139484,176299,180704,130947,26996,Saving
所得總額,1195566,2390264,1849392,1516660,1230625,1122964,Current receipts,,所得總額,801980,1175820,1166096,876816,634958,Current receipts
