appleL0495年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2006",,95年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分,Table 4. Average Family Income and Expenditure per Household,,,,,第4表 平均每戶家庭收支按經濟戶長職業別分(續一),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads,,,,,,,,by Occupation of Household Heads (Cont.1),,
民 國 95 年,,,單位：元,2 0 0 6 Unit:NT$,,,,,民 國 95 年,,單位：元,2 0 0 6 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
家庭戶數,7307999,451508,479873,1130558,374944,1064675,No. of households,,家庭戶數,435720,837782,1005096,328474,1199369,No. of households
平均每戶人數,3.41,3.83,3.54,3.63,3.49,3.57,No. of persons per household,,平均每戶人數,3.19,4.03,3.99,3.46,1.95,No. of persons per household
平均每戶成年人數,2.56,2.7,2.61,2.65,2.69,2.62,No. of adults per household,,平均每戶成年人數,2.61,2.85,2.89,2.65,1.76,No. of adults per household
平均每戶就業人數,1.52,1.87,1.67,1.71,1.63,1.84,No. of persons employed per household,,平均每戶就業人數,1.85,1.91,1.89,1.73,0.06,No. of persons employed per household
平均每戶所得收入者人數,1.66,1.83,1.79,1.78,1.78,1.59,No. of income recipients per household,,平均每戶所得收入者人數,1.55,1.88,1.88,1.79,1.0900000000000001,No. of income recipients per household
一、所得收入總計,1099739,1969944,1810583,1398242,1171057,1010287,A.Total receipts,,一、所得收入總計,748449,1041935,1023406,838940,566861,A.Total receipts
1.受僱人員報酬,635926,1174808,1332510,1021090,836303,372208,1.Compensation of employees,,1.受僱人員報酬,200686,627644,638269,531160,153381,1.Compensation of employees
(1)本業薪資,479041,891720,985933,759616,610858,292167,(1)Full time payroll,,(1)本業薪資,152790,539071,517573,436857,36936,(1)Full time payroll
(2)兼業薪資,35120,20525,59418,25916,48479,17629,(2)Part time payroll,,(2)兼業薪資,25097,12857,13498,16551,93316,(2)Part time payroll
(3)其他收入,121764,262564,287158,235558,176965,62411,(3)Other receipts or subsidies,,(3)其他收入,22800,75716,107198,77753,23129,(3)Other receipts or subsidies
2.產業主所得,167860,425307,132100,89564,35216,391830,2.Entrepreneurial income,,2.產業主所得,270853,183879,148031,55988,356,2.Entrepreneurial income
3.財產所得收入,53237,123182,95822,57155,60238,29625,3. Property income,,3.財產所得收入,25775,21218,20800,20372,93475,3. Property income
4.自用住宅設算租金收入,64985,103205,88724,78757,69493,60872,4.Imputed rent income,,4.自用住宅設算租金收入,39891,57973,57980,51049,54062,4.Imputed rent income
5.經常移轉收入,177532,143275,161222,151494,169532,155600,5.Current transfer receipts,,5.經常移轉收入,211035,151013,158188,180023,265352,5.Current transfer receipts
(1)從私人,48545,31115,34156,32023,42690,34923,(1)From individuals,,(1)從私人,54931,27123,30521,43038,119617,(1)From individuals
(2)從政府,40492,23724,24168,24015,28058,36956,(2)From government,,(2)從政府,74225,38111,34854,46678,68334,(2)From government
(3)社會保險受益,83888,83415,95844,88398,91279,80407,(3)Benefit of social insurance,,(3)社會保險受益,79828,83454,89128,86872,72380,(3)Benefit of social insurance
(4)從企業,2595,4689,6989,3197,1591,2043,(4)From enterprises,,(4)從企業,1020,2316,3173,1043,992,(4)From enterprises
(5)從國外,2012,332,65,3861,5914,1271,(5)From abroad,,(5)從國外,1031,8,511,2392,4030,(5)From abroad
6.雜項收入,198,167,207,182,275,153,6.Miscellaneous receipts,,6.雜項收入,209,208,138,347,235,6.Miscellaneous receipts
二、非消費支出,186647,397587,348640,261489,199258,155880,B.Nonconsumption expenditures,,二、非消費支出,102808,170100,171035,124910,67255,B.Nonconsumption expenditures
1.利息支出,18805,38825,26922,28314,20758,20370,1.Interest,,1.利息支出,4022,18895,17602,12254,5165,1.Interest
2.經常移轉支出,167843,358762,321718,233174,178500,135511,2.Current transfer expenditures,,2.經常移轉支出,98787,151206,153433,112656,62090,2.Current transfer expenditures
(1)對私人,51240,106442,102867,68009,51958,43928,(1)To private,,(1)對私人,35312,44826,39386,31104,25980,(1)To private
(2)對政府,36575,104297,84230,56097,36699,24865,(2)To government,,(2)對政府,15131,27439,27750,17519,10755,(2)To government
(3)社會保險,76737,133496,124862,105373,88365,65281,(3)Social insurance,,(3)社會保險,47640,76916,84308,62770,23585,(3)Social insurance
(4)對國外,3290,14527,9759,3695,1478,1437,(4)To abroad,,(4)對國外,704,2025,1989,1263,1770,(4)To abroad
,,,,,,,,,,,,,,,
95年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2006",,95年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,,,,,,,,,
第4表 平均每戶家庭收支按經濟戶長職業別分(續二),,,,Table 4. Average Family Income and Expenditure per Household,,第4表 平均每戶家庭收支按經濟戶長職業別分(續完),,,Table 4. Average Family Income and Expenditure per Household,,,,,,
,,,,,by Occupation of Household Heads (Cont.2),,,,,,,,by Occupation of Household Heads (Cont.End),,
民 國 95 年,,,單位：元,2 0 0 6 Unit:NT$,,,,,民 國 95 年,,單位：元,2 0 0 6 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作 工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
,,,,,,,,,,,,,,,
三、消費支出,713024,1130149,996289,868015,757726,689193,C.Consumption expenditures,,三、消費支出,498888,709532,695080,585205,434016,C.Consumption expenditures
1.食品費,154514,205521,184081,176484,165919,157517,1.Food,,1.食品費,119344,175327,169437,144489,85022,1.Food
2.飲料費,6745,10250,7410,7303,6743,6978,2.Beverage,,2.飲料費,6698,8303,7141,6431,3108,2.Beverage
3.菸草,6402,6250,3240,5632,4516,7278,3.Tobacco,,3.菸草,7428,10320,9040,7156,2733,3.Tobacco
4.衣著、鞋、襪類,23957,45417,38586,32147,27517,22494,4.Clothing and footwear,,4.衣著、鞋、襪類,13782,22651,22815,17009,9958,4.Clothing and footwear
5.房地租及水費,145811,231985,199219,173971,159599,143230,5.Rent and water charges,,5.房地租及水費,84571,129389,128873,117893,118994,5.Rent and water charges
6.燃料及燈光,19915,24802,22410,21509,20499,20581,6.Fuel and light,,6.燃料及燈光,16916,21753,21380,18880,13664,6.Fuel and light
7.家具及家庭設備,11923,25109,20951,16559,13386,9514,7.Furniture and family facilities,,7.家具及家庭設備,7686,10544,9577,7895,6232,7.Furniture and family facilities
8.家事管理,12481,25067,25353,18819,14227,10261,8.Household operations,,8.家事管理,4814,8386,8887,7225,8139,8.Household operations
9.保健及醫療,99292,117631,109135,107243,96842,92497,9.Health care and medical,,9.保健及醫療,93340,94930,100991,94863,92747,9.Health care and medical
10.運輸交通及通訊,88049,151260,140077,119076,86906,83092,10.Transport and communications,,10.運輸交通及通訊,60155,94793,88174,66101,30273,10.Transport and communications
(1)交通及通訊工具之購置,9425,16542,24201,15395,3852,8198,(1)Purchases of transport equipment,,(1)交通及通訊工具之購置,4368,10586,7600,6206,1474,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,42824,75062,66020,58431,43864,38694,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,32109,47599,44396,29907,12815,(2)Operation of transport equipment
(3)乘交通設備之費用,8092,13168,11824,10215,9793,7921,(3)Purchased transportation,,(3)乘交通設備之費用,5423,7192,7036,6981,5097,(3)Purchased transportation
(4)其他通訊費,22758,36553,30520,28465,24939,23742,(4)Other communications,,(4)其他通訊費,14255,24260,24193,19760,9182,(4)Other communications
(5)汽機車保險費支出,4949,9933,7511,6571,4458,4536,(5)Insurance of transport equipment,,(5)汽機車保險費支出,4000,5155,4950,3248,1705,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,91669,180301,162118,121499,103758,87802,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,46798,85101,83040,61098,38145,"11.Recreation ,education and culture"
(1)旅遊費用,22831,56752,56908,31153,26135,16309,(1)Traveling,,(1)旅遊費用,11912,13855,13005,10407,15216,(1)Traveling
(2)娛樂消遣服務,8611,12860,12083,10162,9418,8395,(2)Recreation service,,(2)娛樂消遣服務,5426,8334,8290,7293,6078,(2)Recreation service
(3)書報雜誌文具,4184,7637,8069,5789,4978,3979,(3)Books and stationery,,(3)書報雜誌文具,2105,3633,3495,2504,1929,(3)Books and stationery
(4)娛樂器材及附屬品,8016,17359,15843,11850,9451,6407,(4)Recreation facilities,,(4)娛樂器材及附屬品,4371,6353,6223,4568,3662,(4)Recreation facilities
(5)教育與研究費,48027,85694,69214,62545,53777,52712,(5)Education and research,,(5)教育與研究費,22984,52926,52027,36325,11260,(5)Education and research
12.什項消費,52267,106556,83709,67774,57814,47947,12.Miscellaneous,,12.什項消費,37355,48036,45724,36165,25001,12.Miscellaneous
可支配所得,913092,1572357,1461943,1136754,971799,854407,Disposable income,,可支配所得,645641,871834,852371,714031,499606,Disposable income
消費支出,713024,1130149,996289,868015,757726,689193,Consumption expenditures,,消費支出,498888,709532,695080,585205,434016,Consumption expenditures
儲蓄,200068,442208,465654,268739,214074,165214,Saving,,儲蓄,146753,162302,157291,128826,65590,Saving
所得總額,1151338,2054125,1887676,1462741,1229609,1057201,Current receipts,,所得總額,777830,1086175,1067438,877092,609055,Current receipts
