appleL13102年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 102 年,,2 0 1 3,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,13990734,1517264,12473469,No. of income recipients
一、所得收入總計,620635,471600,638764,A.Total receipts
1.受僱人員報酬,381514,206103,402851,1.Compensation of employees
(1)本業薪資,285611,157741,301166,(1)Full time payroll
(2)兼業薪資,24247,14847,25391,(2)Part time payroll
(3)其他收入,71656,33516,76295,(3)Other receipts or subsidies
2.產業主所得,87778,129842,82662,2.Entrepreneurial income
(1)農業淨收入,10932,91517,1130,(1)Net agricultural income
(2)營業淨收入,76846,38326,81532,(2)Net operation surplus
3.財產所得收入,25661,19366,26427,3. Property income
4.自用住宅設算租金收入,38355,27909,39625,4.Imputed rent income
5.經常移轉收入,87269,88292,87145,5.Current transfer receipts
(1)從私人,28765,23956,29350,(1)From individuals
(2)從政府,17675,27999,16419,(2)From government
(3)社會保險受益,39351,35106,39868,(3)Benefit of social insurance
(4)從企業,967,1232,935,(4)From enterprises
(5)從國外,511,0,573,(5)From abroad
6.雜項收入,58,87,54,6.Miscellaneous receipts
二、非消費支出,104429,68288,108826,B.Nonconsumption expenditures
1.利息支出,7097,1856,7734,1.Interest
2.經常移轉支出,97333,66431,101091,2.Current transfer expenditures
(1)對私人,25078,19374,25772,(1)To private
(2)對政府,17878,12253,18562,(2)To government
(3)社會保險,53176,34084,55499,(3)Social insurance
(4)對國外,1201,720,1259,(4)To abroad
三、可支配所得,516206,403312,529938,C.Disposable income
