appleL03100年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 100 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,7959828,860565,7099263,No. of households
平均每戶人數,3.29,3.57,3.26,No. of persons per household
平均每戶成年人數,2.59,2.89,2.5499999999999998,No. of adults per household
平均每戶就業人數,1.49,1.86,1.44,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.81,1.66,No. of income recipients per household
一、所得收入總計,1104265,915135,1127192,A.Total receipts
1.受僱人員報酬,646849,395405,677328,1.Compensation of employees
(1)本業薪資,480402,301061,502142,(1)Full time payroll
(2)兼業薪資,42558,29868,44097,(2)Part time payroll
(3)其他收入,123888,64477,131090,(3)Other receipts or subsidies
2.產業主所得,147071,217303,138558,2.Entrepreneurial income
3.財產所得收入,49553,26661,52328,3. Property income
4.自用住宅設算租金收入,66895,49853,68961,4.Imputed rent income
5.經常移轉收入,193724,225694,189849,5.Current transfer receipts
(1)從私人,57463,49429,58436,(1)From individuals
(2)從政府,47620,82082,43442,(2)From government
(3)社會保險受益,85583,91796,84830,(3)Benefit of social insurance
(4)從企業,1650,1835,1628,(4)From enterprises
(5)從國外,1408,552,1512,(5)From abroad
6.雜項收入,173,219,167,6.Miscellaneous receipts
二、非消費支出,196278,146423,202321,B.Nonconsumption expenditures
1.利息支出,12891,3333,14049,1.Interest
2.經常移轉支出,183387,143090,188272,2.Current transfer expenditures
(1)對私人,47848,39697,48836,(1)To private
(2)對政府,33365,23365,34577,(2)To government
(3)社會保險,99120,78222,101653,(3)Social insurance
(4)對國外,3055,1806,3206,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 1,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,729010,626147,741479,C.Consumption expenditures
1.食品及非酒精飲料,108514,106648,108740,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9750,12611,9403,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22623,17918,23193,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,177787,127494,183883,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,156995,105855,163194,(1)Rent and water charges
(2)電費及燃料,20792,21639,20689,(2)Power and fuel
5.家具設備及家務維護,18174,14341,18639,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,106607,113419,105781,6.Health
7.交通,70598,69020,70789,7.Transport
(1)個人交通工具之購置,10984,9391,11177,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,45422,48508,45048,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,9862,6251,10300,(3)Transport services
(4)汽、機車保險費,4330,4870,4264,(4)Insurance of vehicles
8.通訊,24162,20086,24657,8.Communication
9.休閒與文化,38503,24741,40172,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),14752,7092,15680,(1)Package holidays
(2)娛樂消遣及文化服務,10330,7157,10715,(2)Recreational and cultural services
(3)書報雜誌文具,5690,4645,5817,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,7732,5847,7960,(4)Recreational facilities
10.教育,37193,30438,38012,10.Education
11.餐廳及旅館,74073,54652,76427,11.Restaurants and hotels
12.什項消費,41026,34778,41783,12.Miscellaneous goods and services
可支配所得,907988,768712,924871,Disposable income
消費支出,729010,626147,741479,Consumption expenditures
儲蓄,178978,142565,183392,Saving
所得總額,1157895,951578,1182905,Current receipts
