appleL13106年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 106 年,,2 0 1 7,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,14973175,1384329,13588846,No. of income recipients
一、所得收入總計,654836,500124,670597,A.Total receipts
1.受僱人員報酬,395728,206219,415034,1.Compensation of employees
(1)本業薪資,295789,153911,310243,(1)Full time payroll
(2)兼業薪資,23060,18405,23534,(2)Part time payroll
(3)其他收入,76879,33903,81257,(3)Other receipts or subsidies
2.產業主所得,89605,148839,83571,2.Entrepreneurial income
(1)農業淨收入,11282,110605,1164,(1)Net agricultural income
(2)營業淨收入,78323,38234,82407,(2)Net operation surplus
3.財產所得收入,29942,17325,31227,3. Property income
4.自用住宅設算租金收入,40024,29327,41113,4.Imputed rent income
5.經常移轉收入,99498,98364,99614,5.Current transfer receipts
(1)從私人,32299,24414,33102,(1)From individuals
(2)從政府,17594,28165,16517,(2)From government
(3)社會保險受益,47736,44011,48115,(3)Benefit of social insurance
(4)從企業,1059,1287,1036,(4)From enterprises
(5)從國外,810,487,843,(5)From abroad
6.雜項收入,38,51,37,6.Miscellaneous receipts
二、非消費支出,109899,66353,114335,B.Nonconsumption expenditures
1.利息支出,6103,1116,6611,1.Interest
2.經常移轉支出,103796,65238,107725,2.Current transfer expenditures
(1)對私人,26330,17471,27232,(1)To private
(2)對政府,18635,11889,19322,(2)To government
(3)社會保險,57306,35401,59538,(3)Social insurance
(4)對國外,1526,477,1632,(4)To abroad
三、可支配所得,544937,433771,556261,C.Disposable income
