appleL03107年家庭收支調查報告,,,,
,,,,
第3表 平均每戶家庭收支按農家、非農家分,,,,
,,,,
民 國 107 年,單位：元,,,
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
家庭戶數,8643140,699613,7943527,No. of households
平均每戶人數,3.05,3.21,3.03,No. of persons per household
平均每戶成年人數,2.5499999999999998,2.77,2.5299999999999998,No. of adults per household
平均每戶就業人數,1.42,1.89,1.37,No. of persons employed per household
平均每戶所得收入者人數,1.77,1.85,1.76,No. of income recipients per household
一、所得收入總計,1249031,1041411,1267316,A.Total receipts
1.受僱人員報酬,707123,385915,735412,1.Compensation of employees
(1)本業薪資,522907,286680,543713,(1)Full time payroll
(2)兼業薪資,46297,32502,47512,(2)Part time payroll
(3)其他收入,137918,66733,144188,(3)Other receipts or subsidies
2.產業主所得,158872,303134,146167,2.Entrepreneurial income
3.財產所得收入,56416,26553,59046,3. Property income
4.自用住宅設算租金收入,74649,56285,76266,4.Imputed rent income
5.經常移轉收入,251904,269416,250362,5.Current transfer receipts
(1)從私人,70046,58227,71087,(1)From individuals
(2)從政府,47839,81197,44901,(2)From government
(3)社會保險受益,130726,127357,131023,(3)Benefit of social insurance
(4)從企業,2188,2186,2188,(4)From enterprises
(5)從國外,1105,449,1163,(5)From abroad
6.雜項收入,67,108,63,6.Miscellaneous receipts
二、非消費支出,212726,144688,218719,B.Nonconsumption expenditures
1.利息支出,10421,2176,11147,1.Interest
2.經常移轉支出,202306,142512,207572,2.Current transfer expenditures
(1)對私人,48885,32304,50346,(1)To private
(2)對政府,34216,22576,35241,(2)To government
(3)社會保險,117324,86637,120026,(3)Social insurance
(4)對國外,1881,994,1959,(4)To abroad
,,,,
,,,,"The Survey of Family Income and Expenditure, 2018"
,,,,
Table 3. Average Family Income and Expenditure per Household by Farm or Non-farm,,,,
,,,,
2 0 1 8,,,,Unit:NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
,,,,
三、消費支出,811359,680323,822900,C.Consumption expenditures
1.食品及非酒精飲料,116444,120211,116112,1.Food and non-alcoholic beverages
2.菸酒及檳榔,9781,12529,9539,"2.Tobacco,alcoholic beveragesand betel nuts"
3.衣著鞋襪及服飾用品,22783,17759,23226,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,194288,131444,199823,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,175747,112166,181347,(1)Rent and water charges
(2)電費及燃料,18541,19278,18476,(2)Power and fuel
5.家具設備及家務維護,20006,14383,20501,"5.Furnishings,household equipmentand routine household maintenance"
6.醫療保健,128632,129876,128523,6.Health
7.交通,75810,73823,75984,7.Transport
(1)個人交通工具之購置,14128,14166,14125,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,45374,48161,45128,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,10455,4917,10943,(3)Transport services
(4)汽、機車保險費,5853,6579,5789,(4)Insurance of vehicles
8.通訊,25570,21719,25909,8.Communication
9.休閒與文化,46572,25318,48444,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),24561,10795,25773,(1)Package holidays
(2)娛樂消遣及文化服務,11647,7568,12007,(2)Recreational and cultural services
(3)書報雜誌文具,3951,3146,4022,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,6413,3809,6643,(4)Recreational facilities
10.教育,28541,19671,29322,10.Education
11.餐廳及旅館,99978,75855,102103,11.Restaurants and hotels
12.什項消費,42955,37734,43415,12.Miscellaneous goods and services
可支配所得,1036304,896723,1048597,Disposable income
消費支出,811359,680323,822900,Consumption expenditures
儲蓄,224945,216400,225698,Saving
所得總額,1310447,1079976,1330746,Current receipts
