appleL14101年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2012",,101年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,,,,,,,,,
第2表 所得收入者平均每人所得來源按職業別分,,,,Table 2. Income Sources of Income Recipients by Occupation,,,,,第2表 所得收入者平均每人所得來源按職業別分(續),,,Table 2. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 101 年,,,單位：元,2 0 1 2 Unit:NT$,,,,,民 國 101 年,,單位：元,2 0 1 2 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及 勞 力 工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and associate pro-fessionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
所得收入者人數,13537783,450852,1119712,1818449,1311979,2117794,No. of income recipients,,所得收入者人數,596203,1321438,1534331,788426,2478599,No. of income recipients
一、所得收入總計,621576,1494657,955696,790827,553091,560234,A.Total receipts,,一、所得收入總計,426449,584352,531840,395336,470608,A.Total receipts
1.受僱人員報酬,383905,977870,761461,619018,464689,243162,1.Compensation of employees,,1.受僱人員報酬,44248,355741,375253,284592,143968,1.Compensation of employees
(1)本業薪資,286470,737161,586912,468453,366643,199441,(1)Full time payroll,,(1)本業薪資,22525,311883,307020,248745,16393,(1)Full time payroll
(2)兼業薪資,23373,9473,6340,6307,2912,3211,(2)Part time payroll,,(2)兼業薪資,18988,901,1071,2358,107701,(2)Part time payroll
(3)其他收入,74062,231236,168209,144259,95134,40510,(3)Other receipts or subsidies,,(3)其他收入,2734,42957,67162,33489,19875,(3)Other receipts or subsidies
2.產業主所得,88472,279231,70802,59412,8717,210209,2.Entrepreneurial income,,2.產業主所得,230528,124268,70703,21794,228,2.Entrepreneurial income
(1)農業淨收入,10619,3013,17,187,27,941,(1)Net agricultural income,,(1)農業淨收入,229450,976,630,1035,57,(1)Net agricultural income
(2)營業淨收入,77853,276218,70786,59226,8690,209267,(2)Net operation surplus,,(2)營業淨收入,1078,123291,70073,20759,172,(2)Net operation surplus
3.財產所得收入,26800,84864,24786,18978,10998,10759,3. Property income,,3.財產所得收入,14489,6682,5714,3784,79015,3. Property income
4.自用住宅設算租金收入,38189,89791,47785,42372,22869,33436,4.Imputed rent income,,4.自用住宅設算租金收入,31667,39796,31518,23045,43226,4.Imputed rent income
5.經常移轉收入,84149,62891,50851,51028,45805,62592,5.Current transfer receipts,,5.經常移轉收入,105427,57794,48618,62013,204041,5.Current transfer receipts
(1)從私人,26443,12084,11161,9869,11009,14191,(1)From individuals,,(1)從私人,28090,10692,8121,18545,88611,(1)From individuals
(2)從政府,18716,13147,9886,9029,7666,14399,(2)From government,,(2)從政府,42005,14392,10217,15534,43337,(2)From government
(3)社會保險受益,37799,37269,28988,31573,25782,33786,(3)Benefit of social insurance,,(3)社會保險受益,34718,32573,29126,27812,68308,(3)Benefit of social insurance
(4)從企業,722,392,323,394,319,163,(4)From enterprises,,(4)從企業,398,137,461,123,2636,(4)From enterprises
(5)從國外,469,0,493,163,1029,53,(5)From abroad,,(5)從國外,217,0,693,0,1150,(5)From abroad
6.雜項收入,61,10,11,18,12,76,6.Miscellaneous receipts,,6.雜項收入,90,71,35,108,130,6.Miscellaneous receipts
二、非消費支出,105679,337862,195349,154285,95794,84465,B.Nonconsumption expenditures,,二、非消費支出,57937,95496,90837,59844,51312,B.Nonconsumption expenditures
1.利息支出,7070,25681,12107,10858,4326,7012,1.Interest,,1.利息支出,1902,7352,6389,3447,2799,1.Interest
2.經常移轉支出,98609,312180,183242,143427,91469,77453,2.Current transfer expenditures,,2.經常移轉支出,56035,88144,84448,56397,48514,2.Current transfer expenditures
(1)對私人,26730,92307,47901,35723,19288,21078,(1)To private,,(1)對私人,22531,23165,17728,13031,20248,(1)To private
(2)對政府,19437,101587,43945,30691,12317,11533,(2)To government,,(2)對政府,10000,14506,12320,6390,9143,(2)To government
(3)社會保險,51204,111848,88431,75385,59744,43610,(3)Social insurance,,(3)社會保險,22804,50224,54001,36624,17841,(3)Social insurance
(4)對國外,1238,6438,2965,1628,120,1232,(4)To abroad,,(4)對國外,699,249,399,352,1281,(4)To abroad
三、可支配所得,515897,1156796,760348,636542,457297,475769,C.Disposable income,,三、可支配所得,368512,488856,441004,335492,419296,C.Disposable income
