appleL0284年家庭收支調查報告,,,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,,,
第1表 平均每戶家庭收支按戶內人數分,,,,,,Table 1. Average Family Income and Expenditure per,,,,,
,,,,,,,,Household by Size of Household,,,
3.菸草,4950,2699,3336,4650,4836,5305,6389,8211,7783,14858,3.Tobacco
4.衣著、鞋、襪類,27213,8973,15042,25285,30982,31678,34283,38698,43915,52505,4.Clothing and footwear
5.房地租及水費,130722,72594,103929,133168,147001,141770,140430,140039,135813,148776,5.Rent and water charges
6.燃料及燈光,16506,7142,11637,15187,17666,18933,20754,21814,25199,29128,6.Fuel and light
7.家具及家庭設備,15823,5559,10893,17198,19416,17016,15698,17211,17799,18887,7.Furniture and family facilities
8.家事管理,11215,3444,6183,14491,15305,10094,10806,10216,13600,11074,8.Household operations
9.保健及醫療,61271,28033,51927,54534,56204,67830,84264,99603,113087,124911,9.Health care and medical
10.運輸交通及通訊,59089,16914,31684,55688,69396,71824,73538,69716,90770,95333,10.Transport and communications
(1)交通及通訊工具之購置,15453,2884,6741,13479,18614,20350,21467,14386,30189,21504,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,25020,5649,12541,23671,30012,29980,30861,32602,36143,46863,(2)Operation of transport equipment
(3)乘交通設備之費用,8880,4651,5910,8550,9505,10636,10535,11296,11667,10633,(3)Purchased transportation
(4)其他通訊費,5819,2909,4551,5993,6299,6394,6384,6824,7485,8235,(4)Other communications
(5)汽機車保險費支出,3917,820,1942,3994,4965,4464,4291,4609,5286,8098,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,77519,20768,36781,63169,97727,100440,96037,93388,95506,97960,"11.Recreation ,education and culture"
(1)旅遊費用,24041,11790,20936,24568,29287,23900,22766,23341,26939,28737,(1)Traveling
(2)娛樂消遣服務,7752,3586,5094,7888,9044,8802,8450,8860,8236,9950,(2)Recreation service
(3)書報雜誌文具,5124,1560,2838,4681,6330,6183,6057,6160,5973,6522,(3)Books and stationery
(4)娛樂器材及附屬品,7719,2985,4570,7888,9890,8178,8768,8213,7681,9436,(4)Recreation facilities
(5)教育與研究費,32884,847,3343,18144,43176,53377,49997,46813,46677,43314,(5)Education and research
12.什項消費,40945,16299,27416,40970,47090,45602,46453,50679,57728,59950,12.Miscellaneous
可支配所得,811338,316968,532510,789909,902048,905766,979993,1091720,1203649,1490624,Disposable income
消費支出,591035,232058,381772,550096,662373,687312,724070,774829,846447,952298,Consumption expenditures
儲蓄,220303,84910,150738,239813,239675,218454,255923,316891,357201,538326,Saving
所得總額,1029053,401979,675444,1003520,1155942,1151703,1226225,1359542,1480893,1820354,Current receipts
