appleL05100年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 100 年,,,,單位：元,2 0 1 1 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,7959828,805897,1357285,741091,3199101,97717,1204035,554702,No. of households
平均每戶人數,3.29,1,2,2.5299999999999998,3.84,3.11,5.43,3.02,No. of persons per household
平均每戶成年人數,2.59,1,2,2.0299999999999998,2.86,2.02,3.91,2.77,No. of adults per household
平均每戶就業人數,1.49,0.51,0.74,1.26,1.87,0.81,2.17,1.48,No. of persons employed per household
平均每戶所得收入者人數,1.68,1,1.24,1.46,1.88,1.29,2.23,1.76,No. of income recipients per household
一、所得收入總計,1104265,466946,796546,803778,1359801,711180,1428556,1076206,A.Total receipts
1.受僱人員報酬,646849,212193,330308,492895,877393,235036,835173,592718,1.Compensation of employees
(1)本業薪資,480402,156988,186415,391013,659693,161462,646272,451181,(1)Full time payroll
(2)兼業薪資,42558,19194,83230,20522,39808,46011,37161,33393,(2)Part time payroll
(3)其他收入,123888,36011,60663,81360,177892,27563,151740,108144,(3)Other receipts or subsidies
2.產業主所得,147071,50521,103721,64385,193127,80882,203501,127442,2.Entrepreneurial income
3.財產所得收入,49553,24196,69063,31318,54710,42048,47208,39694,3. Property income
4.自用住宅設算租金收入,66895,42044,63569,54103,75070,52011,75824,64322,4.Imputed rent income
5.經常移轉收入,193724,137780,229712,160862,159354,300970,266670,251842,5.Current transfer receipts
(1)從私人,57463,69387,92907,57976,32904,135589,56063,83639,(1)From individuals
(2)從政府,47620,31253,59450,43412,37195,72196,69694,55950,(2)From government
(3)社會保險受益,85583,34913,76067,56692,87463,86878,136581,99314,(3)Benefit of social insurance
(4)從企業,1650,1099,1035,2695,1357,1068,2901,1643,(4)From enterprises
(5)從國外,1408,1128,253,88,435,5238,1431,11295,(5)From abroad
6.雜項收入,173,211,173,215,147,233,180,189,6.Miscellaneous receipts
二、非消費支出,196278,79890,132876,124751,258075,91897,240519,182023,B.Nonconsumption expenditures
1.利息支出,12891,7219,7006,9383,18746,3828,11488,11089,1.Interest
2.經常移轉支出,183387,72671,125870,115368,239330,88069,229031,170933,2.Current transfer expenditures
(1)對私人,47848,30747,46700,23914,59259,24029,45645,50645,(1)To private
(2)對政府,33365,11876,24922,17397,46041,12900,36139,31054,(2)To government
(3)社會保險,99120,28132,48504,73010,130683,46444,145333,87923,(3)Social insurance
(4)對國外,3055,1916,5744,1047,3347,4696,1915,1312,(4)To abroad
,,,,,,,,,
附註：99年起單親家庭改採人口與住宅普查之定義：「由父親或母親與未婚子女所組成之家庭」。,,,,,"Note：From 2010, Single-parent family means a family with unmarried children and a parent",,,,
,,,,,living together inaccordance with the definition of Population and Housing Census.,,,,
100年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2011"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
