appleL0593年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2004"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 93 年,,,,單位：元,2 0 0 4 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,7083445,704122,1003729,548302,3307188,81799,1077517,360787,No. of households
平均每戶人數,3.5,1,2,2.71,3.99,3.26,5.62,2.98,No. of persons per household
平均每戶成年人數,2.57,1,2,2.0699999999999998,2.73,2.0699999999999998,3.94,2.62,No. of adults per household
平均每戶就業人數,1.53,0.51,0.76,1.35,1.84,0.77,2.1800000000000002,1.43,No. of persons employed per household
平均每戶所得收入者人數,1.64,1,1.21,1.51,1.79,1.18,2.15,1.59,No. of income recipients per household
一、所得收入總計,1074665,461628,746063,819332,1271813,715882,1361821,989864,A.Total receipts
1.受僱人員報酬,621281,209799,310661,485482,794718,187113,772459,551986,1.Compensation of employees
(1)本業薪資,471575,157553,184804,388786,611494,102836,602234,418867,(1)Full time payroll
(2)兼業薪資,33625,15765,64697,17041,29507,69601,31826,42216,(2)Part time payroll
(3)其他收入,116080,36482,61161,79655,153717,14676,138399,90903,(3)Other receipts or subsidies
2.產業主所得,169961,50496,101344,95259,218344,126453,221036,121355,2.Entrepreneurial income
3.財產所得收入,48999,25193,63801,27409,47955,49383,65966,45905,3. Property income
4.自用住宅設算租金收入,63389,40064,57868,51112,70649,49909,69798,60298,4.Imputed rent income
5.經常移轉收入,170862,135822,212177,159904,139997,302822,232383,210229,5.Current transfer receipts
(1)從私人,50623,68397,93154,58395,28401,143625,47940,76422,(1)From individuals
(2)從政府,38412,31217,54112,35241,27962,59062,58133,45801,(2)From government
(3)社會保險受益,78969,33655,63224,59314,82105,96888,124282,72937,(3)Benefit of social insurance
(4)從企業,1454,581,335,6236,1338,819,1344,547,(4)From enterprises
(5)從國外,1404,1971,1353,716,191,2427,685,14523,(5)From abroad
6.雜項收入,173,254,211,166,151,203,180,91,6.Miscellaneous receipts
二、非消費支出,183416,77354,122005,119361,229239,78402,215988,165095,B.Nonconsumption expenditures
1.利息支出,20141,9982,9553,15820,27814,8054,17784,15438,1.Interest
2.經常移轉支出,163275,67373,112452,103541,201426,70347,198204,149657,2.Current transfer expenditures
(1)對私人,50113,31162,45514,26258,60223,28311,48978,51799,(1)To private
(2)對政府,35570,13635,25169,21574,44751,11162,42524,29187,(2)To government
(3)社會保險,73566,19705,33165,54217,92726,30779,105406,59452,(3)Social insurance
(4)對國外,4027,2871,8604,1492,3725,96,1296,9218,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
93年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2004"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 93 年,,,,單位：元,2 0 0 4 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,692648,303263,463094,540871,818538,498692,893452,612155,C.Consumption expenditures
1.食品費,151516,53804,91711,121592,177846,121848,213630,133938,1.Food
2.飲料費,6497,2986,4175,4711,7658,4135,8559,6263,2.Beverage
3.菸草,6185,2987,3876,5086,6748,4026,9427,6156,3.Tobacco
4.衣著、鞋、襪類,24065,9427,13770,17778,29383,13868,31260,22911,4.Clothing and footwear
5.房地租及水費,140303,97110,121919,123564,156770,112149,146535,137997,5.Rent and water charges
6.燃料及燈光,19417,9547,14515,16305,21584,17837,26050,17722,6.Fuel and light
7.家具及家庭設備,12489,5988,9764,8633,15161,5561,13857,11613,7.Furniture and family facilities
8.家事管理,13370,7066,8825,9873,16805,4828,14197,11612,8.Household operations
9.保健及醫療,89447,37778,78463,67068,89506,87422,145546,87218,9.Health care and medical
10.運輸交通及通訊,86873,29074,45946,63398,109889,40963,113554,68958,10.Transport and communications
(1)交通及通訊工具之購置,12854,2900,6574,8736,16972,2887,18347,4119,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,38898,11955,20111,24205,49293,16654,52893,34035,(2)Operation of transport equipment
(3)乘交通設備之費用,7983,4273,5204,7706,9655,6576,8401,7126,(3)Purchased transportation
(4)其他通訊費,22180,8521,11265,19801,27708,13078,27016,19766,(4)Other communications
(5)汽機車保險費支出,4958,1425,2792,2950,6261,1768,6898,3913,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,92213,24948,35398,64851,127811,56507,107579,59031,"11.Recreation ,education and culture"
(1)旅遊費用,20545,11301,20475,12606,23783,7764,22089,19456,(1)Traveling
(2)娛樂消遣服務,9551,6262,6966,8469,11088,6740,10468,8608,(2)Recreation service
(3)書報雜誌文具,4619,1665,2383,3434,6049,2785,5361,3502,(3)Books and stationery
(4)娛樂器材及附屬品,8866,4078,5059,6255,11726,3546,8956,7494,(4)Recreation facilities
(5)教育與研究費,48632,1641,515,34088,75165,35672,60705,19971,(5)Education and research
12.什項消費,50272,22546,34733,38010,59374,29547,63256,48735,12.Miscellaneous
可支配所得,891249,384274,624058,699971,1042574,637481,1145833,824770,Disposable income
消費支出,692648,303263,463094,540871,818538,498692,893452,612155,Consumption expenditures
儲蓄,198600,81011,160964,159100,224036,138789,252381,212615,Saving
所得總額,1122966,493324,791661,858342,1325326,757103,1413082,1037218,Current receipts
