L10102年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 102 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(6)數位相機,45.99,29.87,47.83,(6)Digital camera
(7)電視遊樂器,8.4,2.89,9.0299999999999994,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),84.37,72.08,85.77,(8)Cable TV(MOD included)
(9)家用電腦,72.209999999999994,53.23,74.37,(9)Personal computer
(10)電話機,94.69,97.6,94.35,(10)Telephone
(11)行動電話,92.57,86,93.32,(11)Cell phone
(12)連網(使用電腦或其他設備),73.94,54.54,76.150000000000006,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2013"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 1 3,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,58.39,64.94,57.64,(13)Sedan vehicle
(14)機車,82.79,89.61,82.02,(14)Motorcycle
(15)電磁爐,35.799999999999997,26.39,36.869999999999997,(15)Electro-magnetic oven
(16)冷暖氣機,89.96,80.64,91.02,(16)Air conditioner
(17)除濕機,32.35,15.78,34.24,(17)Dehumidifier
(18)洗衣機,98.1,97.96,98.11,(18)Washing machine
(19)烘衣機,15.62,14.23,15.78,(19)Drier
(20)空氣清淨機,10.06,3.46,10.81,(20)Air-clean machine
(21)濾水器,32.950000000000003,25.16,33.840000000000003,(21)Water filter machine
(22)吸塵器,40.450000000000003,25.69,42.13,(22)Vacuum cleaner
(23)熱水器,98.67,97.35,98.82,(23)Geyser
(24)開飲機,48.79,56.59,47.91,(24)Hot-warm water fountain
(25)微波爐,42.66,28.87,44.24,(25)Microwave oven
(26)報紙,15.8,19.440000000000001,15.39,(26)Newspaper
(27)期刊雜誌,6.02,3.16,6.35,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,156.38,156.35,156.38,(1)Color TV
一般彩色電視機,59.32,71.98,57.88,Non-LCD TV
液晶、電漿電視,97.06,84.38,98.5,LCD、PDP TV
(2)數位影音光碟機,31.99,15.23,33.9,(2)DVD player
(3)攝影機,6.54,2.94,6.95,(3)Movies camera
(4)音響,29.72,21.34,30.67,(4)Stereo
(5)鋼琴(含電子琴),9.1999999999999993,4.7300000000000004,9.7100000000000009,(5)Piano
(6)數位相機,54.59,33.83,56.96,(6)Digital camera
(7)電視遊樂器,9.02,2.96,9.7100000000000009,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),86.49,72.67,88.06,(8)Cable TV(MOD included)
(9)家用電腦,106.55,72.16,110.47,(9)Personal computer
(10)電話機,102.57,104.6,102.34,(10)Telephone
(11)行動電話,235.33,215.8,237.56,(11)Cell phone
(12)汽車,69.33,85.48,67.489999999999995,(12)Sedan vehicle
(13)機車,149.88999999999999,169.15,147.69999999999999,(13)Motorcycle
(14)電磁爐,36.36,27.27,37.4,(14)Electro-magnetic oven
(15)冷暖氣機,213.98,178.47,218.03,(15)Air conditioner
(16)除濕機,38.520000000000003,18.809999999999999,40.76,(16)Dehumidifier
(17)洗衣機,100.38,102.32,100.16,(17)Washing machine
(18)烘衣機,15.74,14.32,15.9,(18)Drier
(19)空氣清淨機,11.14,3.69,11.99,(19)Air-clean machine
(20)濾水器,33.29,25.51,34.17,(20)Water filter machine
(21)吸塵器,42.79,27.28,44.56,(21)Vacuum cleaner
(22)熱水器,105.7,106.93,105.55,(22)Geyser
(23)開飲機,49.9,59.03,48.86,(23)Hot-warm water fountain
(24)微波爐,42.88,29.04,44.46,(24)Microwave oven
(25)報紙,16.440000000000001,19.96,16.04,(25)Newspaper
(26)期刊雜誌,6.95,3.35,7.36,(26)Magazine
