appleL0590年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 90 年,,,,單位：元,2 0 0 1 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,6730886,722122,876727,520336,3171413,75175,1041893,323220,No. of households
平均每戶人數,3.58,1,2,2.74,4.08,3.25,5.84,3.02,No. of persons per household
平均每戶成年人數,2.5499999999999998,1,2,2.08,2.65,2.0299999999999998,3.97,2.76,No. of adults per household
平均每戶就業人數,1.56,0.51,0.87,1.31,1.83,0.81,2.2400000000000002,1.55,No. of persons employed per household
平均每戶所得收入者人數,1.64,1,1.21,1.45,1.77,1.26,2.17,1.68,No. of income recipients per household
一、所得收入總計,1064136,451459,746203,769364,1259758,660383,1360109,990282,A.Total receipts
1.受僱人員報酬,602182,191537,321106,450731,763794,196963,755718,539454,1.Compensation of employees
(1)本業薪資,466157,146131,203871,363274,597469,106855,597843,428871,(1)Full time payroll
(2)兼業薪資,30157,16672,65453,21022,24246,67381,29583,30447,(2)Part time payroll
(3)其他收入,105867,28734,51782,66435,142078,22726,128292,80136,(3)Other receipts or subsidies
2.產業主所得,176460,57585,99214,94333,225255,70463,238974,128151,2.Entrepreneurial income
3.財產所得收入,64933,33807,76539,37986,70612,58567,75591,57783,3. Property income
4.自用住宅設算租金收入,67941,42921,58838,55435,75404,53028,78497,64871,4.Imputed rent income
5.經常移轉收入,152430,125467,190328,130686,124506,281066,211138,199709,5.Current transfer receipts
(1)從私人,45484,61789,80291,49137,25646,115518,48808,76415,(1)From individuals
(2)從政府,31559,30256,43392,29232,22770,55276,46515,38637,(2)From government
(3)社會保險受益,72554,31185,64115,49539,74530,84166,112248,74861,(3)Benefit of social insurance
(4)從企業,1387,358,899,2389,1539,26,1976,334,(4)From enterprises
(5)從國外,1446,1879,1631,389,21,26080,1591,9462,(5)From abroad
6.雜項收入,190,142,178,193,188,296,191,314,6.Miscellaneous receipts
二、非消費支出,195485,79612,133754,122008,245238,84725,228328,171811,B.Nonconsumption expenditures
1.利息支出,42149,20311,24431,25581,56961,15524,39998,33464,1.Interest
2.經常移轉支出,153336,59302,109323,96427,188277,69201,188331,138347,2.Current transfer expenditures
(1)對私人,48635,28073,42645,27440,58094,26363,51194,49057,(1)To private
(2)對政府,32033,10981,23119,17159,41729,9606,35939,24667,(2)To government
(3)社會保險,68588,17953,34068,50058,84598,31178,99245,57969,(3)Social insurance
(4)對國外,4081,2295,9491,1769,3856,2055,1952,6654,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
90年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,,,
