appleL0695年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 95 年,,,單位：元,2 0 0 6 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,7307999,1461600,1461600,1461600,1461600,1461599,No. of households
平均每戶人數,3.41,1.87,3.01,3.71,4.07,4.37,No. of persons per household
平均每戶成年人數,2.56,1.64,2.2599999999999998,2.62,2.95,3.3,No. of adults per household
平均每戶就業人數,1.52,0.59,1.19,1.59,1.9,2.3199999999999998,No. of persons employed per household
平均每戶所得收入者人數,1.66,1.07,1.32,1.61,1.92,2.36,No. of income recipients per household
一、所得收入總計,1099739,362420,682482,962393,1296818,2194584,A.Total receipts
1.受僱人員報酬,635926,99167,337275,526903,780034,1436251,1.Compensation of employees
(1)本業薪資,479041,80829,266446,414071,590764,1043098,(1)Full time payroll
(2)兼業薪資,35120,8659,24042,26332,35409,81158,(2)Part time payroll
(3)其他收入,121764,9678,46788,86501,153861,311994,(3)Other receipts or subsidies
2.產業主所得,167860,38461,107019,170917,211914,310991,2.Entrepreneurial income
3.財產所得收入,53237,15279,27109,38402,59017,126379,3. Property income
4.自用住宅設算租金收入,64985,36052,51111,62369,76491,98904,4.Imputed rent income
5.經常移轉收入,177532,173276,159772,163625,169123,221866,5.Current transfer receipts
(1)從私人,48545,71950,51311,39965,37006,42493,(1)From individuals
(2)從政府,40492,57750,45554,39507,32160,27491,(2)From government
(3)社會保險受益,83888,42566,60816,80726,95751,139581,(3)Benefit of social insurance
(4)從企業,2595,366,619,949,1768,9274,(4)From enterprises
(5)從國外,2012,644,1471,2479,2439,3028,(5)From abroad
6.雜項收入,198,185,196,176,239,193,6.Miscellaneous receipts
二、非消費支出,186647,58145,117617,166966,223312,367198,B.Nonconsumption expenditures
1.利息支出,18805,6603,15063,19700,23196,29461,1.Interest
2.經常移轉支出,167843,51543,102554,147266,200116,337736,2.Current transfer expenditures
(1)對私人,51240,19431,31803,43444,59694,101829,(1)To private
(2)對政府,36575,7146,16482,26909,41378,90962,(2)To government
(3)社會保險,76737,24274,52080,73946,96522,136865,(3)Social insurance
(4)對國外,3290,692,2188,2967,2522,8081,(4)To abroad
,,,,,,,
95年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2006"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 95 年,,,單位：元,2 0 0 6 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,713024,304091,524833,702656,860439,1173099,C.Consumption expenditures
1.食品費,154514,73238,125020,160600,187430,226283,1.Food
2.飲料費,6745,3102,5387,6789,7898,10547,2.Beverage
3.菸草,6402,3657,6387,7158,7290,7515,3.Tobacco
4.衣著、鞋、襪類,23957,7622,15339,22640,29156,45028,4.Clothing and footwear
5.房地租及水費,145811,79235,119081,141743,168853,220139,5.Rent and water charges
6.燃料及燈光,19915,12321,17522,20674,23013,26047,6.Fuel and light
7.家具及家庭設備,11923,3419,6976,10729,13655,24836,7.Furniture and family facilities
8.家事管理,12481,4173,7790,10576,14635,25231,8.Household operations
9.保健及醫療,99292,54231,76734,99046,116605,149841,9.Health care and medical
10.運輸交通及通訊,88049,25746,58636,85994,111658,158209,10.Transport and communications
(1)交通及通訊工具之購置,9425,1136,3646,7215,11705,23421,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,42824,11671,28999,42995,55111,75346,(2)Operation of transport equipment
(3)乘交通設備之費用,8092,3624,6037,7762,9614,13425,(3)Purchased transportation
(4)其他通訊費,22758,7926,16790,23318,28927,36830,(4)Other communications
(5)汽機車保險費支出,4949,1388,3165,4704,6301,9188,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,91669,20986,54629,90073,116868,175790,"11.Recreation ,education and culture"
(1)旅遊費用,22831,5445,11011,16800,26374,54527,(1)Traveling
(2)娛樂消遣服務,8611,4901,7180,8466,9637,12868,(2)Recreation service
(3)書報雜誌文具,4184,1032,2649,4148,5357,7735,(3)Books and stationery
(4)娛樂器材及附屬品,8016,1845,4238,7124,9399,17472,(4)Recreation facilities
(5)教育與研究費,48027,7762,29551,53535,66101,83188,(5)Education and research
12.什項消費,52267,16360,31332,46635,63377,103634,12.Miscellaneous
可支配所得,913092,304274,564865,795427,1073507,1827387,Disposable income
消費支出,713024,304091,524833,702656,860439,1173099,Consumption expenditures
儲蓄,200068,183,40032,92770,213067,654288,Saving
所得總額,1151338,388590,723906,1013919,1356221,2274056,Current receipts
