L10111年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 111 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(7)電視遊樂器,10.7,3.89,11.18,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),83.64,77.44,84.07,(8)Cable TV(MOD included)
(9)家用電腦,67.819999999999993,46.66,69.290000000000006,(9)Personal computer
(10)電話機,80.989999999999995,93.33,80.13,(10)Telephone
(11)行動電話,97.08,94.25,97.28,(11)Cell phone
(12)連網(使用電腦或其他設備),94.5,87.65,94.97,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 2 2,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,61.35,72.81,60.55,(13)Sedan vehicle
(14)機車,83.88,93.71,83.2,(14)Motorcycle
(15)電磁爐,33.28,24.04,33.93,(15)Electro-magnetic oven
(16)冷暖氣機,96.69,90.5,97.12,(16)Air conditioner
(17)除濕機,44.81,22.51,46.36,(17)Dehumidifier
(18)洗衣機,99.11,99.21,99.1,(18)Washing machine
(19)烘衣機,13.78,13.12,13.83,(19)Drier
(20)空氣清淨機,26.38,11.08,27.44,(20)Air-clean machine
(21)濾水器,42.12,29.6,43,(21)Water filter machine
(22)吸塵器,51.14,34.049999999999997,52.32,(22)Vacuum cleaner
(23)熱水器,99.78,99.64,99.79,(23)Geyser
(24)開飲機,38.75,50.77,37.92,(24)Hot-warm water fountain
(25)微波爐,46.7,36.24,47.42,(25)Microwave oven
(26)報紙,6.02,10.52,5.7,(26)Newspaper
(27)期刊雜誌,2.6,1.4,2.68,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,145.79,149.94999999999999,145.51,(1)Color TV
一般彩色電視機,3.05,7.83,2.71,Non-LCD TV
液晶、電漿電視,142.75,142.12,142.79,LCD、PDP TV
(2)數位影音光碟機,7.76,4.04,8.02,(2)DVD player
(3)攝影機,3.24,2.02,3.32,(3)Movies camera
(4)音響,17.829999999999998,12.12,18.23,(4)Stereo
(5)鋼琴(含電子琴),6.31,3.88,6.48,(5)Piano
(6)數位相機,10.050000000000001,5.01,10.39,(6)Digital camera
(7)電視遊樂器,11.76,4.33,12.28,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),84.67,78.349999999999994,85.11,(8)Cable TV(MOD included)
(9)家用電腦,112.22,68.599999999999994,115.26,(9)Personal computer
(10)電話機,82.09,94.04,81.260000000000005,(10)Telephone
(11)行動電話,239.13,242.65,238.88,(11)Cell phone
(12)汽車,72.83,94.65,71.319999999999993,(12)Sedan vehicle
(13)機車,151.56,189.89,148.9,(13)Motorcycle
(14)電磁爐,33.69,24.74,34.31,(14)Electro-magnetic oven
(15)冷暖氣機,262.05,233.24,264.05,(15)Air conditioner
(16)除濕機,58.71,29.44,60.74,(16)Dehumidifier
(17)洗衣機,102.34,104.42,102.19,(17)Washing machine
(18)烘衣機,13.84,13.47,13.87,(18)Drier
(19)空氣清淨機,33.14,14.79,34.409999999999997,(19)Air-clean machine
(20)濾水器,42.64,30.18,43.51,(20)Water filter machine
(21)吸塵器,59.53,39.01,60.95,(21)Vacuum cleaner
(22)熱水器,107.96,113.42,107.58,(22)Geyser
(23)開飲機,39.46,53.57,38.479999999999997,(23)Hot-warm water fountain
(24)微波爐,46.86,36.520000000000003,47.58,(24)Microwave oven
(25)報紙,6.1,10.67,5.78,(25)Newspaper
(26)期刊雜誌,2.99,1.4,3.1,(26)Magazine
