appleL0589年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
6.燃料及燈光,18486,8709,13551,15118,20893,16296,24382,16592,6.Fuel and light
7.家具及家庭設備,12401,5329,9921,8078,14516,8767,15087,12828,7.Furniture and family facilities
8.家事管理,13859,6487,7819,9952,17874,7508,14982,10305,8.Household operations
9.保健及醫療,73464,34269,73406,50921,71281,99407,119238,68764,9.Health care and medical
10.運輸交通及通訊,75370,26544,40621,54418,93679,51826,95355,68716,10.Transport and communications
(1)交通及通訊工具之購置,11811,4416,6401,8538,14130,20027,15287,11746,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,33152,9439,16543,20431,42361,12892,43719,29370,(2)Operation of transport equipment
(3)乘交通設備之費用,9260,4884,6154,8904,10986,6663,10085,8565,(3)Purchased transportation
(4)其他通訊費,16037,6463,8789,13148,19802,9382,19386,14469,(4)Other communications
(5)汽機車保險費支出,5110,1342,2733,3398,6400,2861,6877,4566,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,89509,25598,39317,59509,121220,66635,103975,55720,"11.Recreation ,education and culture"
(1)旅遊費用,23570,12916,23921,13977,27598,13424,24170,21997,(1)Traveling
(2)娛樂消遣服務,9489,5561,6476,8272,11271,7452,10146,8734,(2)Recreation service
(3)書報雜誌文具,5421,1946,3139,3652,7074,3144,6082,3970,(3)Books and stationery
(4)娛樂器材及附屬品,8181,3745,4976,6255,10246,6246,8974,6935,(4)Recreation facilities
(5)教育與研究費,42848,1430,805,27353,65031,36368,54603,14084,(5)Education and research
12.什項消費,45611,18331,33533,33068,53174,27638,58085,47476,12.Miscellaneous
可支配所得,891445,386138,631097,696020,1032742,647681,1146436,857486,Disposable income
消費支出,662722,288459,454996,503812,775971,545272,854581,590515,Consumption expenditures
儲蓄,228723,97679,176101,192209,256771,102409,291855,266971,Saving
所得總額,1139336,497598,805086,866682,1334193,786011,1434130,1092149,Current receipts
