appleL0589年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分,,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families,,,
民 國 89 年,,,,單位：元,2 0 0 0 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
家庭戶數,6588644,712624,825254,496987,3156418,72197,999050,326114,No. of households
平均每戶人數,3.62,1,2,2.72,4.13,3.14,5.87,3.04,No. of persons per household
平均每戶成年人數,2.54,1,2,2.0699999999999998,2.66,1.97,3.94,2.76,No. of adults per household
平均每戶就業人數,1.58,0.51,0.89,1.39,1.84,0.8,2.23,1.63,No. of persons employed per household
平均每戶所得收入者人數,1.66,1,1.23,1.53,1.79,1.22,2.14,1.74,No. of income recipients per household
一、所得收入總計,1091478,467997,762661,828294,1280970,739991,1379786,1047594,A.Total receipts
1.受僱人員報酬,631808,210463,325147,510321,793329,229494,772065,609741,1.Compensation of employees
(1)本業薪資,489553,156162,205606,410582,620568,145890,610224,495306,(1)Full time payroll
(2)兼業薪資,30053,18584,68044,21902,25344,53445,27064,20950,(2)Part time payroll
(3)其他收入,112202,35717,51498,77837,147417,30159,134777,93485,(3)Other receipts or subsidies
2.產業主所得,174654,49802,98052,100858,219181,81934,243626,132047,2.Entrepreneurial income
3.財產所得收入,69573,40194,85313,44669,75145,74557,75892,57496,3. Property income
4.自用住宅設算租金收入,66676,40699,60173,51543,74516,59699,75497,61604,4.Imputed rent income
5.經常移轉收入,148572,126717,193758,120733,118613,294128,212434,186516,5.Current transfer receipts
(1)從私人,46162,60078,84532,40488,27068,158955,49563,76713,(1)From individuals
(2)從政府,32519,35043,42790,29837,23425,45929,49298,38754,(2)From government
(3)社會保險受益,68184,29456,65702,48137,67042,86567,110576,66768,(3)Benefit of social insurance
(4)從企業,986,192,191,1229,938,1705,2419,274,(4)From enterprises
(5)從國外,721,1949,543,1043,140,972,577,4007,(5)From abroad
6.雜項收入,195,122,217,169,186,178,273,190,6.Miscellaneous receipts
二、非消費支出,200033,81859,131564,132273,248228,92309,233350,190108,B.Nonconsumption expenditures
1.利息支出,42411,20098,24509,32349,56856,9008,37448,34602,1.Interest
2.經常移轉支出,157622,61761,107055,99924,191372,83301,195902,155506,2.Current transfer expenditures
(1)對私人,51472,28764,44155,27947,60803,36633,54834,58138,(1)To private
(2)對政府,33102,11814,22839,18531,41948,14075,38421,30089,(2)To government
(3)社會保險,69106,18456,32676,51518,84589,32427,100143,61972,(3)Social insurance
(4)對國外,3941,2726,7385,1927,4032,166,2505,5307,(4)To abroad
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
89年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2000"
,,,,,,,,,
第5表 平均每戶家庭收支按家庭組織型態別分(續),,,,,Table 5. Average Family Income and Expenditure per Household,,,,
,,,,,,by Type of Families (Cont.),,,
民 國 89 年,,,,單位：元,2 0 0 0 Unit:NT$,,,,
,總 平 均,單 人,夫 婦,單 親,核 心,祖 孫,三 代,其 他,
,General average,One person,Married couple,Single parent,Nuclear family,Ancestors and descendants,Extended family,Others,
,,,,,,,,,
三、消費支出,662722,288459,454996,503812,775971,545272,854581,590515,C.Consumption expenditures
1.食品費,149319,52018,89219,117033,174093,117240,213151,135002,1.Food
2.飲料費,6021,2780,3631,4332,7017,3810,8286,5633,2.Beverage
3.菸草,5079,2602,3261,4327,5448,2955,7699,5104,3.Tobacco
4.衣著、鞋、襪類,25399,9364,15156,18254,30678,15556,33711,22863,4.Clothing and footwear
5.房地租及水費,148204,96429,125562,128801,166097,127635,160629,141511,5.Rent and water charges
