appleL13111年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 111 年,,2 0 2 2,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,15942339,1082405,14859934,No. of income recipients
一、所得收入總計,704445,552446,715517,A.Total receipts
1.受僱人員報酬,417747,191969,434193,1.Compensation of employees
(1)本業薪資,307507,139461,319748,(1)Full time payroll
(2)兼業薪資,25500,18551,26006,(2)Part time payroll
(3)其他收入,84740,33957,88439,(3)Other receipts or subsidies
2.產業主所得,88739,188918,81442,2.Entrepreneurial income
(1)農業淨收入,9632,130348,839,(1)Net agricultural income
(2)營業淨收入,79106,58570,80602,(2)Net operation surplus
3.財產所得收入,34291,22525,35148,3. Property income
4.自用住宅設算租金收入,40742,24763,41905,4.Imputed rent income
5.經常移轉收入,122910,124234,122814,5.Current transfer receipts
(1)從私人,32137,30566,32251,(1)From individuals
(2)從政府,28123,37851,27414,(2)From government
(3)社會保險受益,61278,55075,61730,(3)Benefit of social insurance
(4)從企業,1152,723,1183,(4)From enterprises
(5)從國外,221,19,235,(5)From abroad
6.雜項收入,16,37,15,6.Miscellaneous receipts
二、非消費支出,119384,71525,122870,B.Nonconsumption expenditures
1.利息支出,6226,1097,6600,1.Interest
2.經常移轉支出,113158,70429,116271,2.Current transfer expenditures
(1)對私人,25737,16458,26413,(1)To private
(2)對政府,19241,10706,19863,(2)To government
(3)社會保險,66862,43211,68585,(3)Social insurance
(4)對國外,1318,53,1410,(4)To abroad
三、可支配所得,585061,480921,592647,C.Disposable income
