appleL1484年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,,,,,,,
第3表 所得收入者平均每人所得來源按職業別分,,,,Table 3. Income Sources of Income Recipients by Occupation,,,,,第3表 所得收入者平均每人所得來源按職業別分(續),,,Table 3. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 84 年,,,單位：元,1 9 9 5 Unit:NT$,,,,,民 國 84 年,,單位：元,1 9 9 5 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作    工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
所得收入者人數,9744267,462111,540830,1180943,939155,1368864,No. of income recipients,,所得收入者人數,818036,1503307,1466168,612243,852610,No. of income recipients
一、所得收入總計,555001,1178867,909211,692829,483357,541228,A.Total receipts,,一、所得收入總計,341313,541821,468641,380476,404399,A.Total receipts
1.受僱人員報酬,333984,552445,698309,557093,405491,169787,1.Compensation of employees,,1.受僱人員報酬,61643,355722,315221,271024,160747,1.Compensation of employees
(1)本業薪資,264259,437773,548748,431745,324745,138914,(1)Full time payroll,,(1)本業薪資,45073,315453,259118,233191,43576,(1)Full time payroll
(2)兼業薪資,13932,7564,8575,7834,2074,3129,(2)Part time payroll,,(2)兼業薪資,14814,2576,4764,6419,99965,(2)Part time payroll
(3)其他收入,55793,107109,140986,117514,78672,27744,(3)Other receipts or subsidies,,(3)其他收入,1755,37693,51339,31413,17205,(3)Other receipts or subsidies
2.產業主所得,107519,373742,77855,25837,5061,273252,2.Entrepreneurial income,,2.產業主所得,167699,99242,79247,32799,1087,2.Entrepreneurial income
(1)農業淨收入,14498,2006,155,151,92,724,(1)Net agricultural income,,(1)農業淨收入,164508,1997,508,1074,30,(1)Net agricultural income
(2)營業淨收入,88224,364157,19946,19456,4374,269655,(2)Net operation surplus,,(2)營業淨收入,3191,97156,78738,31725,1019,(2)Net operation surplus
(3)執行業務淨收入,4798,7579,57754,6230,595,2873,(3)Net professional income,,(3)執行業務淨收入,0,89,0,0,37,(3)Net professional income
3.財產所得收入,32346,128417,48344,34935,22249,25194,3. Property income,,3.財產所得收入,18922,17764,14385,12367,72972,3. Property income
4.自用住宅設算租金收入,31048,76163,44780,36955,16838,31705,4.Imputed rent income,,4.自用住宅設算租金收入,21698,30667,25608,19844,31345,4.Imputed rent income
5.經常移轉收入,49905,47817,39089,37893,33642,41105,5.Current transfer receipts,,5.經常移轉收入,71178,38268,34097,44295,137894,5.Current transfer receipts
(1)從私人,16235,14448,11226,9329,8197,12241,(1)From individuals,,(1)從私人,26496,8787,6066,11448,69424,(1)From individuals
(2)從政府,9912,6834,4599,4954,3958,9345,(2)From government,,(2)從政府,13549,9089,6332,9432,33748,(2)From government
(3)從企業,23534,26359,22597,23508,21215,19474,(3)From enterprises,,(3)從企業,31132,20389,21694,22934,33559,(3)From enterprises
(4)從國外,223,176,667,102,271,45,(4)From abroad,,(4)從國外,0,3,4,480,1163,(4)From abroad
6.雜項收入,199,284,834,116,77,185,6.Miscellaneous receipts,,6.雜項收入,172,158,84,148,354,6.Miscellaneous receipts
二、非消費支出,97241,250959,163152,136409,76507,89775,B.Nonconsumption expenditures,,二、非消費支出,49126,96546,84964,58966,48678,B.Nonconsumption expenditures
1.利息支出,22275,59745,34413,33282,12271,26074,1.Interest,,1.利息支出,6028,23497,19464,11373,10037,1.Interest
2.經常移轉支出,74966,191213,128739,103128,64235,63701,2.Current transfer expenditures,,2.經常移轉支出,43098,73049,65499,47593,38640,2.Current transfer expenditures
(1)對私人,25734,62682,43862,33023,18874,23860,(1)To private,,(1)對私人,20361,24882,19914,15980,18342,(1)To private
(2)對政府,15366,59050,36615,26146,11082,11242,(2)To government,,(2)對政府,5057,12490,9740,5595,6276,(2)To government
(3)對企業,32436,57831,41377,42909,34056,28326,(3)To enterprises,,(3)對企業,17614,35478,35745,25627,11368,(3)To enterprises
(4)對國外,1430,11650,6885,1051,224,273,(4)To abroad,,(4)對國外,65,200,101,390,2654,(4)To abroad
三、可支配所得,457760,927909,746060,556420,406851,451453,C.Disposable income,,三、可支配所得,292187,445275,383677,321511,355721,C.Disposable income
