L1097年家庭收支調查報告,,,,
,,,,
第9表家庭住宅及主要設備概況按農家、非農家分,,,,
,,,,
民 國 97 年,,,,
,,,,
,總 平 均,農 家,非 農 家,
(8)有線電視頻道設備(含多媒體隨選視訊),81.650000000000006,62.81,83.07,(8)Cable TV(MOD included)
(9)家用電腦,69.27,49.77,70.739999999999995,(9)Personal computer
(10)電話機,96,97.42,95.9,(10)Telephone
(11)行動電話,89.8,84.05,90.23,(11)Cell phone
(12)連網(使用電腦或其他設備),64.400000000000006,43.51,65.97,(12)Internet facility
,,,,
,,,,"The Survey of Family Income and Expenditure, 2008"
,,,,
Table 9. Household Housing and Household Facilities by Farm or Non-farm,,,,
,,,,
2 0 0 8,,,,
,,,,
,總 平 均,農 家,非 農 家,
,General,Farm,Non-farm,
,average,,,
,,,,
(13)汽車,58.37,65.23,57.85,(13)Sedan vehicle
(14)機車,82.22,90.88,81.56,(14)Motorcycle
(15)電磁爐,40.619999999999997,28.71,41.52,(15)Electro-magnetic oven
(16)冷暖氣機,87.55,78.08,88.26,(16)Air conditioner
(17)除濕機,29.96,11.7,31.33,(17)Dehumidifier
(18)洗衣機,97.26,97.04,97.27,(18)Washing machine
(19)烘衣機,18.46,13.54,18.829999999999998,(19)Drier
(20)空氣清淨機,11.07,3.43,11.64,(20)Air-clean machine
(21)濾水器,31.7,18.88,32.659999999999997,(21)Water filter machine
(22)吸塵器,41.51,25.76,42.69,(22)Vacuum cleaner
(23)熱水器,96.95,95.82,97.04,(23)Geyser
(24)開飲機,53.72,57.41,53.45,(24)Hot-warm water fountain
(25)微波爐,44.85,27.26,46.18,(25)Microwave oven
(26)報紙,23.59,25.6,23.44,(26)Newspaper
(27)期刊雜誌,10.01,5.73,10.33,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,2.Average No. per hundred households
(1)彩色電視機,154.22999999999999,150.84,154.47999999999999,(1)Color TV
一般彩色電視機,123.25,133.88999999999999,122.45,Non-LCD TV
液晶、電漿電視,30.98,16.96,32.04,LCD、PDP TV
(2)數位影音光碟機,48.22,25.8,49.91,(2)DVD player
(3)攝影機,8.19,2.83,8.59,(3)Movies camera
(4)音響,40.770000000000003,26.32,41.85,(4)Stereo
(5)鋼琴(含電子琴),10.62,3.84,11.13,(5)Piano
(6)數位相機,55.23,34.28,56.8,(6)Digital camera
(7)電視遊樂器,11.36,4.72,11.85,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),83.55,63.12,85.09,(8)Cable TV(MOD included)
(9)家用電腦,90.02,60.21,92.26,(9)Personal computer
(10)電話機,110.48,107.62,110.7,(10)Telephone
(11)行動電話,221.22,200.12,222.8,(11)Cell phone
(12)汽車,68.89,83.42,67.8,(12)Sedan vehicle
(13)機車,144.28,168.32,142.47999999999999,(13)Motorcycle
(14)電磁爐,41.22,29.27,42.11,(14)Electro-magnetic oven
(15)冷暖氣機,194.34,153.24,197.43,(15)Air conditioner
(16)除濕機,34.99,13.21,36.619999999999997,(16)Dehumidifier
(17)洗衣機,99.27,101.21,99.12,(17)Washing machine
(18)烘衣機,18.53,13.82,18.89,(18)Drier
(19)空氣清淨機,12.24,3.84,12.87,(19)Air-clean machine
(20)濾水器,32.08,18.88,33.08,(20)Water filter machine
(21)吸塵器,43.44,26.52,44.71,(21)Vacuum cleaner
(22)熱水器,102.78,101.73,102.86,(22)Geyser
(23)開飲機,55.29,58.96,55.01,(23)Hot-warm water fountain
(24)微波爐,45.08,27.26,46.42,(24)Microwave oven
(25)報紙,24.48,26.05,24.37,(25)Newspaper
(26)期刊雜誌,12.23,6.18,12.68,(26)Magazine
