appleL0686年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分,,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income,,,
民 國 86 年,,,單位：元,1 9 9 7 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
家庭戶數,6104309,1220862,1220862,1220862,1220862,1220861,No. of households
平均每戶人數,3.84,2.19,3.59,4.1500000000000004,4.4400000000000004,4.8499999999999996,No. of persons per household
平均每戶成年人數,2.6,1.71,2.2999999999999998,2.63,2.93,3.45,No. of adults per household
平均每戶就業人數,1.69,0.8,1.36,1.74,2.0499999999999998,2.52,No. of persons employed per household
平均每戶所得收入者人數,1.71,1.0900000000000001,1.34,1.65,1.97,2.48,No. of income recipients per household
一、所得收入總計,1054049,394278,699942,928705,1225643,2021678,A.Total receipts
1.受僱人員報酬,609840,148134,363215,522886,735155,1279809,1.Compensation of employees
(1)本業薪資,475677,113254,290497,418970,581185,974478,(1)Full time payroll
(2)兼業薪資,25953,18873,21519,19600,20138,49635,(2)Part time payroll
(3)其他收入,108210,16006,51199,84316,133832,255697,(3)Other receipts or subsidies
2.產業主所得,189659,58273,140797,185059,228218,335949,2.Entrepreneurial income
3.財產所得收入,64651,23720,32921,41929,68121,156565,3. Property income
4.自用住宅設算租金收入,64449,34333,51070,61384,74338,101117,4.Imputed rent income
5.經常移轉收入,125034,129640,111719,117187,119390,147232,5.Current transfer receipts
(1)從私人,39824,54242,34504,33968,34451,41956,(1)From individuals
(2)從政府,28132,40077,29001,26836,23280,21466,(2)From government
(3)社會保險受益,55962,35003,47599,55831,60602,80772,(3)Benefit of social insurance
(4)從企業,629,81,165,97,493,2311,(4)From enterprises
(5)從國外,487,237,450,455,563,727,(5)From abroad
6.雜項收入,416,177,219,260,421,1005,6.Miscellaneous receipts
二、非消費支出,190622,81820,142513,174786,221828,332162,B.Nonconsumption expenditures
1.利息支出,43332,24369,39604,42207,49513,60970,1.Interest
2.經常移轉支出,147289,57451,102910,132579,172315,271192,2.Current transfer expenditures
(1)對私人,48991,21915,35475,43643,57242,86682,(1)To private
(2)對政府,30439,6659,14976,21656,33224,75682,(2)To government
(3)社會保險,65621,27351,51781,66241,79335,103398,(3)Social insurance
(4)對國外,2238,1526,678,1040,2514,5430,(4)To abroad
,,,,,,,
86年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,
第6表 平均每戶家庭收支依可支配所得按戶數五等分位分(續),,,,Table 6. Average Family Income and Expenditure per Household by Five Equal,,,
,,,,Divisions of Households According to Disposable Income (Cont.),,,
民 國 86 年,,,單位：元,1 9 9 7 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,,按  戶  數  五  等  分  位  分,,,
,Five equal divisions of,,households according to disposable income,,,,
,General average,1,2,3,4,5,
,,,,,,,
三、消費支出,634477,292464,487183,612672,747747,1032317,C.Consumption expenditures
1.食品費,151355,74464,126960,154235,178402,222714,1.Food
2.飲料費,6849,3429,5506,6686,8132,10494,2.Beverage
3.菸草,5103,3272,4811,5330,5917,6184,3.Tobacco
4.衣著、鞋、襪類,28540,10278,20022,25871,34427,52099,4.Clothing and footwear
5.房地租及水費,141474,78211,115703,137989,162065,213400,5.Rent and water charges
6.燃料及燈光,17767,10646,15844,17975,20133,24237,6.Fuel and light
7.家具及家庭設備,14433,4905,8874,12885,17708,27793,7.Furniture and family facilities
8.家事管理,13357,4224,6893,11259,16023,28383,8.Household operations
9.保健及醫療,63348,42085,55583,65409,69341,84321,9.Health care and medical
10.運輸交通及通訊,66111,22228,44887,61267,80725,121447,10.Transport and communications
(1)交通及通訊工具之購置,13897,3625,6274,11372,18216,30000,(1)Purchases of transport equipment
(2)交通通訊設備使用管理及保養費,30935,9227,23025,30467,37416,54542,(2)Operation of transport equipment
(3)乘交通設備之費用,9520,4683,7017,8812,11354,15737,(3)Purchased transportation
(4)其他通訊費,7636,3979,6058,7249,8883,12010,(4)Other communications
(5)汽機車保險費支出,4122,715,2513,3366,4857,9157,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,83192,22934,53785,76959,104755,157529,"11.Recreation ,education and culture"
(1)旅遊費用,22768,6442,10704,15660,25462,55572,(1)Traveling
(2)娛樂消遣服務,8806,4073,6904,8412,10428,14213,(2)Recreation service
(3)書報雜誌文具,6078,2065,4442,5822,7259,10803,(3)Books and stationery
(4)娛樂器材及附屬品,8472,2554,5464,7309,10659,16371,(4)Recreation facilities
(5)教育與研究費,37069,7800,26272,39756,50946,60569,(5)Education and research
12.什項消費,42949,15787,28315,36808,50120,83717,12.Miscellaneous
可支配所得,863427,312458,557429,753919,1003815,1689517,Disposable income
消費支出,634477,292464,487183,612672,747747,1032317,Consumption expenditures
儲蓄,228951,19994,70245,141247,256068,657199,Saving
所得總額,1097363,419387,736365,970129,1273936,2087001,Current receipts
